algebraic_degree,differential_uniformity,differing_bytes_vs_aes,fixed_points,generator,nonlinearity,polynomial,polynomial_hex,same_table_as_aes
7,4,0,0,0x03,112,x^8 + x^4 + x^3 + x + 1,0x11B,True
7,4,254,0,0x02,112,x^8 + x^4 + x^3 + x^2 + 1,0x11D,False
7,4,254,2,0x02,112,x^8 + x^5 + x^3 + x + 1,0x12B,False
7,4,254,1,0x02,112,x^8 + x^5 + x^3 + x^2 + 1,0x12D,False
7,4,254,0,0x03,112,x^8 + x^5 + x^4 + x^3 + 1,0x139,False
7,4,254,0,0x03,112,x^8 + x^5 + x^4 + x^3 + x^2 + x + 1,0x13F,False
7,4,254,1,0x02,112,x^8 + x^6 + x^3 + x^2 + 1,0x14D,False
7,4,254,1,0x02,112,x^8 + x^6 + x^4 + x^3 + x^2 + x + 1,0x15F,False
7,4,254,1,0x02,112,x^8 + x^6 + x^5 + x + 1,0x163,False
7,4,254,2,0x02,112,x^8 + x^6 + x^5 + x^2 + 1,0x165,False
7,4,254,0,0x02,112,x^8 + x^6 + x^5 + x^3 + 1,0x169,False
7,4,254,2,0x02,112,x^8 + x^6 + x^5 + x^4 + 1,0x171,False
7,4,254,1,0x03,112,x^8 + x^6 + x^5 + x^4 + x^2 + x + 1,0x177,False
7,4,254,2,0x09,112,x^8 + x^6 + x^5 + x^4 + x^3 + x + 1,0x17B,False
7,4,254,0,0x02,112,x^8 + x^7 + x^2 + x + 1,0x187,False
7,4,254,0,0x06,112,x^8 + x^7 + x^3 + x + 1,0x18B,False
7,4,254,1,0x02,112,x^8 + x^7 + x^3 + x^2 + 1,0x18D,False
7,4,254,1,0x03,112,x^8 + x^7 + x^4 + x^3 + x^2 + x + 1,0x19F,False
7,4,254,1,0x03,112,x^8 + x^7 + x^5 + x + 1,0x1A3,False
7,4,254,2,0x02,112,x^8 + x^7 + x^5 + x^3 + 1,0x1A9,False
7,4,254,0,0x06,112,x^8 + x^7 + x^5 + x^4 + 1,0x1B1,False
7,4,254,2,0x07,112,x^8 + x^7 + x^5 + x^4 + x^3 + x^2 + 1,0x1BD,False
7,4,254,0,0x02,112,x^8 + x^7 + x^6 + x + 1,0x1C3,False
7,4,254,0,0x02,112,x^8 + x^7 + x^6 + x^3 + x^2 + x + 1,0x1CF,False
7,4,254,2,0x07,112,x^8 + x^7 + x^6 + x^4 + x^2 + x + 1,0x1D7,False
7,4,254,0,0x06,112,x^8 + x^7 + x^6 + x^4 + x^3 + x^2 + 1,0x1DD,False
7,4,254,2,0x02,112,x^8 + x^7 + x^6 + x^5 + x^2 + x + 1,0x1E7,False
7,4,254,2,0x06,112,x^8 + x^7 + x^6 + x^5 + x^4 + x + 1,0x1F3,False
7,4,254,0,0x02,112,x^8 + x^7 + x^6 + x^5 + x^4 + x^2 + 1,0x1F5,False
7,4,254,0,0x03,112,x^8 + x^7 + x^6 + x^5 + x^4 + x^3 + 1,0x1F9,False
