channel,exact_pixels_pct,median_codeword_distance,method,psnr_db,source_bits,tolerance_levels
clean,68.85,,B0a,53.2,8,
clean,68.85,,B0a-R,53.2,8,
clean,68.85,,B1,53.2,8,
clean,68.85,,B2,53.2,8,
clean,100.0,8.544,B2l-8bit,99.0,8,4.27
clean,100.0,13.247,B2l-7bit,99.0,7,6.62
clean,100.0,17.378,B2l-6bit,99.0,6,8.69
clean,100.0,31.972,B2l-5bit,99.0,5,15.99
clean,100.0,43.012,B2l-4bit,99.0,4,21.51
clean,100.0,92.738,B2l-3bit,99.0,3,46.37
mild,5.38,,B0a,30.32,8,
mild,5.12,,B0a-R,30.65,8,
mild,5.22,,B1,29.6,8,
mild,5.15,,B2,29.65,8,
mild,5.09,8.544,B2l-8bit,9.65,8,4.27
mild,12.13,13.247,B2l-7bit,10.12,7,6.62
mild,27.36,17.378,B2l-6bit,10.8,6,8.69
mild,49.12,31.972,B2l-5bit,12.93,5,15.99
mild,68.98,43.012,B2l-4bit,12.43,4,21.51
mild,92.79,92.738,B2l-3bit,20.35,3,46.37
moderate,2.84,,B0a,23.25,8,
moderate,3.19,,B0a-R,24.96,8,
moderate,2.76,,B1,23.03,8,
moderate,2.85,,B2,23.02,8,
moderate,2.34,8.544,B2l-8bit,9.54,8,4.27
moderate,6.25,13.247,B2l-7bit,9.85,7,6.62
moderate,15.83,17.378,B2l-6bit,10.27,6,8.69
moderate,33.79,31.972,B2l-5bit,12.14,5,15.99
moderate,53.07,43.012,B2l-4bit,11.13,4,21.51
moderate,78.38,92.738,B2l-3bit,17.34,3,46.37
bursty,2.27,,B0a,13.21,8,
bursty,4.52,,B0a-R,15.88,8,
bursty,2.14,,B1,12.95,8,
bursty,2.7,,B2,16.24,8,
bursty,0.98,8.544,B2l-8bit,9.14,8,4.27
bursty,2.2,13.247,B2l-7bit,9.65,7,6.62
bursty,4.01,17.378,B2l-6bit,9.73,6,8.69
bursty,7.98,31.972,B2l-5bit,10.36,5,15.99
bursty,15.7,43.012,B2l-4bit,9.35,4,21.51
bursty,22.13,92.738,B2l-3bit,10.85,3,46.37
harsh,1.38,,B0a,16.87,8,
harsh,1.69,,B0a-R,19.2,8,
harsh,1.37,,B1,16.66,8,
harsh,1.37,,B2,16.69,8,
harsh,0.76,8.544,B2l-8bit,9.49,8,4.27
harsh,1.84,13.247,B2l-7bit,9.67,7,6.62
harsh,4.66,17.378,B2l-6bit,9.95,6,8.69
harsh,10.85,31.972,B2l-5bit,10.37,5,15.99
harsh,24.85,43.012,B2l-4bit,9.54,4,21.51
harsh,50.27,92.738,B2l-3bit,12.58,3,46.37
