capacity_bits,colours,fits_colour_24_bit,fits_monochrome_8_bit,luma_level,usable_bits
2.807,7,False,False,0,2
10.819,1806,False,True,8,10
12.733,6810,False,True,16,12
13.874,15017,False,True,24,13
14.674,26142,False,True,32,14
15.207,37819,False,True,40,15
15.595,49506,False,True,48,15
15.901,61180,False,True,56,15
16.153,72855,False,True,64,16
16.367,84533,False,True,72,16
16.548,95820,False,True,80,16
16.671,104320,False,True,88,16
16.742,109609,False,True,96,16
16.769,111675,False,True,104,16
16.77,111735,False,True,112,16
16.77,111733,False,True,120,16
16.769,111716,False,True,128,16
16.77,111749,False,True,130,16
16.77,111741,False,True,136,16
16.77,111739,False,True,144,16
16.768,111610,False,True,152,16
16.736,109122,False,True,160,16
16.658,103415,False,True,168,16
16.528,94526,False,True,176,16
16.342,83068,False,True,184,16
16.123,71378,False,True,192,16
15.865,59700,False,True,200,15
15.552,48027,False,True,208,15
15.15,36356,False,True,216,15
14.591,24681,False,True,224,14
13.753,13808,False,True,232,13
12.553,6009,False,True,240,12
10.461,1410,False,True,248,10
