cipher_luma_levels_after,cipher_luma_std_after,exact_mean_abs_error,exact_pixels_pct,exact_psnr_db,impairment,nearest_mean_abs_error,nearest_pixels_pct,nearest_psnr_db,strength
1,0.269259,0.0,100.0,99.0,gauss,0.0,100.0,99.0,0.0
3,0.430784,85.86,12.68,8.45,gauss,0.07,99.78,43.3,0.25
5,0.475311,87.5,11.01,8.37,gauss,0.14,99.63,38.86,0.5
6,0.601225,91.61,6.83,8.17,gauss,0.39,99.16,33.47,0.75
7,0.750328,94.46,3.9,8.04,gauss,0.79,98.5,30.15,1.0
10,1.051678,96.75,1.58,7.93,gauss,2.0,96.69,25.57,1.5
12,1.377368,97.63,0.72,7.89,gauss,3.79,93.79,22.81,2.0
17,2.022975,98.12,0.22,7.87,gauss,9.12,85.96,18.85,3.0
22,2.68507,98.24,0.1,7.87,gauss,15.73,76.5,16.38,4.0
33,4.021897,98.32,0.03,7.86,gauss,28.79,58.24,13.64,6.0
45,5.342943,98.32,0.02,7.86,gauss,38.74,44.47,12.27,8.0
67,7.940715,98.34,0.0,7.86,gauss,51.54,26.56,10.98,12.0
84,10.572263,98.35,0.0,7.86,gauss,59.0,17.43,10.31,16.0
1,0.269259,0.0,100.0,99.0,uniform,0.0,100.0,99.0,0.0
3,0.430077,86.04,12.53,8.44,uniform,0.08,99.75,42.83,0.25
3,0.428922,86.16,12.5,8.43,uniform,0.07,99.77,43.19,0.5
3,0.426995,86.1,12.46,8.44,uniform,0.07,99.76,43.29,0.75
3,0.429481,86.13,12.46,8.44,uniform,0.08,99.75,42.01,1.0
4,0.692049,94.64,3.73,8.03,uniform,0.58,98.83,31.58,1.5
5,0.795635,96.85,1.5,7.93,uniform,0.86,98.41,29.51,2.0
7,1.167113,97.8,0.55,7.89,uniform,2.46,95.96,24.72,3.0
8,1.556871,98.12,0.22,7.87,uniform,4.9,92.1,21.65,4.0
12,2.31558,98.31,0.05,7.86,uniform,12.04,81.44,17.65,6.0
16,3.091212,98.32,0.02,7.86,uniform,21.1,68.82,15.06,8.0
24,4.609788,98.33,0.01,7.86,uniform,37.11,46.51,12.52,12.0
32,6.152769,98.35,0.0,7.86,uniform,48.05,31.36,11.32,16.0
1,0.269259,0.0,100.0,99.0,chroma_lowpass,0.0,100.0,99.0,0.0
2,0.369794,93.73,4.4,8.08,chroma_lowpass,70.13,6.66,9.56,2.0
2,0.344171,97.65,0.61,7.89,chroma_lowpass,72.51,1.58,9.47,3.0
2,0.337585,98.12,0.18,7.87,chroma_lowpass,73.03,0.89,9.5,4.0
2,0.332316,98.3,0.01,7.86,chroma_lowpass,73.46,0.51,9.52,6.0
2,0.332467,98.31,0.0,7.86,chroma_lowpass,74.53,0.39,9.45,8.0
2,0.332617,98.31,0.0,7.86,chroma_lowpass,75.08,0.37,9.42,12.0
2,0.330594,98.32,0.0,7.86,chroma_lowpass,76.41,0.32,9.29,16.0
1,0.269259,0.0,100.0,99.0,gain_offset,0.0,100.0,99.0,0.0
2,0.353131,98.35,0.0,7.86,gain_offset,0.1,99.88,38.52,0.5
2,0.45214,98.35,0.0,7.86,gain_offset,0.82,97.18,32.68,1.0
4,0.709522,98.35,0.0,7.86,gain_offset,1.44,97.32,27.97,2.0
8,1.424255,98.35,0.0,7.86,gain_offset,50.64,25.2,11.29,4.0
13,3.369837,98.35,0.0,7.86,gain_offset,71.11,6.98,9.32,8.0
1,0.269259,0.0,100.0,99.0,burst,0.0,100.0,99.0,0.0
221,10.067765,4.34,95.83,21.22,burst,2.94,95.85,23.42,2.0
224,12.875026,7.21,93.23,18.94,burst,4.81,93.24,21.26,4.0
240,20.076484,17.69,83.33,15.1,burst,11.84,83.39,17.42,8.0
244,24.884969,23.19,75.0,14.29,burst,18.47,75.07,15.16,16.0
244,33.281917,45.41,54.69,11.25,burst,32.43,54.86,12.96,24.0
