channel,coverage,method,n_frames,psnr_full_db,psnr_min_db,scene
clean,1.0,B1,3,53.16,53.15,sky_horizon
clean,1.0,B2,3,53.16,53.15,sky_horizon
clean,1.0,B2s,3,14.48,14.22,sky_horizon
clean,1.0,B1,3,53.22,53.2,village
clean,1.0,B2,3,53.22,53.2,village
clean,1.0,B2s,3,14.5,14.41,village
mild,1.0,B1,3,30.18,30.08,sky_horizon
mild,1.0,B2,3,30.25,30.1,sky_horizon
mild,1.0,B2s,3,9.53,9.49,sky_horizon
mild,1.0,B1,3,29.6,29.42,village
mild,1.0,B2,3,29.64,29.49,village
mild,1.0,B2s,3,9.54,9.48,village
moderate,1.0,B1,3,22.58,21.92,sky_horizon
moderate,1.0,B2,3,22.37,21.82,sky_horizon
moderate,1.0,B2s,3,9.51,9.51,sky_horizon
moderate,1.0,B1,3,23.0,22.49,village
moderate,1.0,B2,3,22.96,22.47,village
moderate,1.0,B2s,3,9.55,9.54,village
bursty,1.0,B1,3,14.77,13.54,sky_horizon
bursty,1.0,B2,3,14.71,13.5,sky_horizon
bursty,1.0,B2s,3,9.53,9.43,sky_horizon
bursty,1.0,B1,3,16.22,14.85,village
bursty,1.0,B2,3,13.08,5.04,village
bursty,1.0,B2s,3,9.65,9.5,village
harsh,1.0,B1,3,16.42,15.83,sky_horizon
harsh,1.0,B2,3,16.42,15.97,sky_horizon
harsh,1.0,B2s,3,9.47,9.45,sky_horizon
harsh,1.0,B1,3,16.69,15.8,village
harsh,1.0,B2,3,16.7,15.67,village
harsh,1.0,B2s,3,9.53,9.49,village
