authenticated,corrected_symbols,coverage,estimated_fraction,frame_id,max_age_frames,method,payload_bytes,provenance,psnr_full,psnr_verified,rasters,realisation,resynchronised,source,ssim_full,ssim_verified,stale_fraction,status_auth_failed,status_filler,status_fragment_ok,status_frame_incomplete,status_frame_verified,status_header_invalid,status_header_unrecoverable,status_no_sync,status_payload_unrecoverable,status_verified,symbol_error_denominator,symbol_errors_pre_fec,sync_found,units_rejected,units_sent,units_verified,wire_bytes,x_authenticated,x_coverage_meaning,x_est_dx,x_est_dy,x_filler_units,x_fragments,x_fragments_recovered,x_segments,x_sync_score,x_units_per_raster
False,0,1.0,0.0,0,0.0,B0a,0,synthetic,21.69040484483133,21.69040484483133,1,0,False,still_smooth,0.4725587697264188,0.4725587697264188,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",3.0,1.0,,,,,0.9631296493834868,
False,0,1.0,0.0,0,0.0,B0a,0,synthetic,23.934804387914014,23.934804387914014,1,1,False,still_smooth,0.5194493762388563,0.5194493762388563,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",4.0,1.0,,,,,0.9376387936207624,
False,0,1.0,0.0,0,0.0,B0a,0,synthetic,24.860443318101034,24.860443318101034,1,2,False,still_smooth,0.539584596503122,0.539584596503122,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",3.0,1.0,,,,,0.9503437980378994,
False,0,1.0,0.0,0,0.0,B0a,0,synthetic,18.58834542945989,18.58834542945989,1,0,False,still_text,0.6446151565690231,0.6446151565690231,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",3.0,1.0,,,,,0.9360405119957841,
False,0,1.0,0.0,0,0.0,B0a,0,synthetic,18.747312153301323,18.747312153301323,1,1,False,still_text,0.6559687959083962,0.6559687959083962,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",3.0,1.0,,,,,0.9373960580237961,
False,0,1.0,0.0,0,0.0,B0a,0,synthetic,20.69527551932126,20.69527551932126,1,2,False,still_text,0.6982427712362577,0.6982427712362577,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",3.0,1.0,,,,,0.9336637609706426,
False,0,1.0,0.0,0,0.0,B0a,0,synthetic,22.468972255417015,22.468972255417015,1,0,False,still_texture,0.7932013223608432,0.7932013223608432,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",4.0,1.0,,,,,0.9320486346631582,
False,0,1.0,0.0,0,0.0,B0a,0,synthetic,23.2289089818553,23.2289089818553,1,1,False,still_texture,0.8184190998357774,0.8184190998357774,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",4.0,1.0,,,,,0.9229670309066242,
False,0,1.0,0.0,0,0.0,B0a,0,synthetic,23.231426988401374,23.231426988401374,1,2,False,still_texture,0.8159764132943416,0.8159764132943416,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",4.0,1.0,,,,,0.9608770074467085,
False,0,1.0,0.0,0,0.0,B0a,0,synthetic,19.097176780053726,19.097176780053726,1,0,False,still_edges,0.5472214715602765,0.5472214715602765,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",4.0,1.0,,,,,0.9290187414466219,
False,0,1.0,0.0,0,0.0,B0a,0,synthetic,21.242747801570605,21.242747801570605,1,1,False,still_edges,0.5791503407550428,0.5791503407550428,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",3.0,1.0,,,,,0.960904329740766,
False,0,1.0,0.0,0,0.0,B0a,0,synthetic,23.019640212755927,23.019640212755927,1,2,False,still_edges,0.6055525656397028,0.6055525656397028,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",3.0,1.0,,,,,0.9508710956172042,
False,0,1.0,0.0,0,0.0,B0a,0,synthetic,19.886979025694128,19.886979025694128,1,0,False,seq_illumination_slow,0.49763486397426226,0.49763486397426226,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",4.0,1.0,,,,,0.9560879079928727,
False,0,1.0,0.0,1,0.0,B0a,0,synthetic,20.58486404946317,20.58486404946317,1,0,False,seq_illumination_slow,0.523447886185974,0.523447886185974,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",4.0,1.0,,,,,0.9451413775580574,
False,0,1.0,0.0,2,0.0,B0a,0,synthetic,15.835944538390915,15.835944538390915,1,0,False,seq_illumination_slow,0.3497980154314148,0.3497980154314148,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",4.0,0.0,,,,,0.4301957987931164,
False,0,1.0,0.0,3,0.0,B0a,0,synthetic,22.873489397629996,22.873489397629996,1,0,False,seq_illumination_slow,0.5790411708326969,0.5790411708326969,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",3.0,1.0,,,,,0.9351792466196506,
False,0,1.0,0.0,0,0.0,B0a,0,synthetic,21.627326339973628,21.627326339973628,1,1,False,seq_illumination_slow,0.5342691215474616,0.5342691215474616,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",3.0,1.0,,,,,0.9213450431418946,
False,0,1.0,0.0,1,0.0,B0a,0,synthetic,19.607525498680367,19.607525498680367,1,1,False,seq_illumination_slow,0.5128442132611382,0.5128442132611382,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",3.0,1.0,,,,,0.9482444698350481,
False,0,1.0,0.0,2,0.0,B0a,0,synthetic,23.279863787302194,23.279863787302194,1,1,False,seq_illumination_slow,0.5773372701422356,0.5773372701422356,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",3.0,1.0,,,,,0.9407135328704093,
False,0,1.0,0.0,3,0.0,B0a,0,synthetic,21.695522858858247,21.695522858858247,1,1,False,seq_illumination_slow,0.5705065913292303,0.5705065913292303,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",4.0,1.0,,,,,0.9411449568264435,
False,0,1.0,0.0,0,0.0,B0a,0,synthetic,19.698167791886487,19.698167791886487,1,2,False,seq_illumination_slow,0.5110217039864001,0.5110217039864001,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",3.0,1.0,,,,,0.9490033226055132,
False,0,1.0,0.0,1,0.0,B0a,0,synthetic,20.977576987548062,20.977576987548062,1,2,False,seq_illumination_slow,0.5349847976168444,0.5349847976168444,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",3.0,1.0,,,,,0.9473211216864098,
False,0,1.0,0.0,2,0.0,B0a,0,synthetic,15.27689713144717,15.27689713144717,1,2,False,seq_illumination_slow,0.46863604646009943,0.46863604646009943,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",3.0,5.0,,,,,0.7267316584295884,
False,0,1.0,0.0,3,0.0,B0a,0,synthetic,17.87745221936538,17.87745221936538,1,2,False,seq_illumination_slow,0.4900907191661383,0.4900907191661383,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",4.0,1.0,,,,,0.9344220136305115,
False,0,1.0,0.0,0,0.0,B0a,0,synthetic,23.009801297380665,23.009801297380665,1,0,False,seq_edges_slow,0.6052464136344757,0.6052464136344757,0.0,,,,,,,,,,,0,nan,True,0,0,0,0,False,"picture displayed, not verified",3.0,1.0,,,,,0.9391118612585516,
