admissible,availability,coverage,delta_availability,delta_availability_hi,delta_availability_lo,delta_availability_significant,delta_coverage,delta_coverage_hi,delta_coverage_lo,delta_coverage_significant,delta_psnr,delta_psnr_displayed,delta_psnr_displayed_hi,delta_psnr_displayed_lo,delta_psnr_displayed_significant,delta_psnr_full,delta_psnr_full_hi,delta_psnr_full_lo,delta_psnr_full_significant,fec_nsym,interleaver,label,max_unit_payload,n_descriptions,n_scenes,n_scenes_available,order,p_raw,psnr_all_scenes,psnr_displayed,psnr_full,psnr_sd,quality,reason,step
True,0.9436274509803922,0.7126225490196079,0.0,,,,0.0,,,,,0.0,,,,0.0,,,,,,B4 (база),,,17,17,fwd,,22.63990578116549,22.952870357748342,22.63990578116549,2.557688015203022,,,0
True,0.9436274509803922,0.7185441559436275,0.0,0.0294,-0.0417,False,0.0059,0.0283,-0.0272,False,0.0095,-0.2132,0.1619,-0.6634,False,0.0095,0.2641,-0.2775,False,,,+ менша одиниця 640→320 Б,320,,17,17,fwd,0.9545113721569608,22.649409079259446,22.7396871871078,22.649409079259446,2.693281401639006,,,1
True,0.9754901960784315,0.8690257352941176,0.0319,0.0466,0.0172,True,0.1505,0.1761,0.1259,True,3.0383,2.8009,3.4303,2.2602,True,3.0383,3.6244,2.5181,True,128,,+ сильніший FEC nsym 96→128,320,,17,17,fwd,0.00024993751562109475,25.687708965946705,25.540612756990594,25.687708965946705,2.4666816976223167,,,2
True,0.9975490196078433,0.8832720588235293,0.0221,0.0662,0.0,False,0.0142,0.0496,-0.0065,False,-0.7644,-0.5786,-0.1985,-0.9116,True,-0.7644,-0.4253,-1.0907,True,128,,+ нижча якість 12→8,320,,17,17,fwd,0.00024993751562109475,24.923315361287287,24.962055559965798,24.923315361287287,2.4488192868160263,8,,3
True,1.0,0.8805147058823529,0.0025,0.0074,0.0,False,-0.0028,0.0061,-0.011,False,-0.9234,-0.9622,-0.7801,-1.1654,True,-0.9234,-0.7208,-1.1381,True,128,,+ два описи (MDC),320,2,17,17,fwd,0.00024993751562109475,23.99987814855675,23.99987814855675,23.99987814855675,2.3873439302933033,8,,4
True,1.0,0.8239889705882352,0.0,0.0,0.0,False,-0.0565,-0.0481,-0.0663,True,0.2553,0.2553,0.4459,0.1004,True,0.2553,0.4459,0.1004,True,128,bawp/0/8,+ BAWP = P,320,2,17,17,fwd,0.005998500374906273,24.25515559572607,24.25515559572607,24.25515559572607,2.5889031040252175,8,,5
True,0.9436274509803922,0.7126225490196079,0.0,,,,0.0,,,,,0.0,,,,0.0,,,,,,B4 (база),,,17,17,rev,,22.63990578116549,22.952870357748342,22.63990578116549,2.557688015203022,,,0
False,0.0,,,,,,,,,,,,,,,,,,,,,+ два описи (MDC),,2,,,rev,,,,,,,"жоден запланований момент не дав картинки (capacityx408): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",1
False,0.0,,,,,,,,,,,,,,,,,,,,bawp/0/8,+ BAWP,,2,,,rev,,,,,,,"жоден запланований момент не дав картинки (capacityx408): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",2
True,1.0,0.6705729166666666,0.0564,0.0735,0.0392,True,-0.042,-0.0265,-0.0571,True,1.3548,1.0419,1.5606,0.572,True,1.3548,1.8725,0.8622,True,,bawp/0/8,+ менша одиниця 640→320 Б,320,2,17,17,rev,0.00024993751562109475,23.994726367049008,23.994726367049008,23.994726367049008,2.738920000899501,,,3
True,1.0,0.8239123774509804,0.0,0.0,0.0,False,0.1533,0.169,0.1383,True,1.0901,1.0901,1.3931,0.8151,True,1.0901,1.3931,0.8151,True,128,bawp/0/8,+ сильніший FEC nsym 96→128,320,2,17,17,rev,0.00024993751562109475,25.084836327391763,25.084836327391763,25.084836327391763,2.778287107720452,,,4
True,1.0,0.8239889705882352,0.0,0.0,0.0,False,0.0001,0.0023,-0.0021,False,-0.8297,-0.8297,-0.7408,-0.9475,True,-0.8297,-0.7408,-0.9475,True,128,bawp/0/8,+ нижча якість 12→8 = P,320,2,17,17,rev,0.00024993751562109475,24.25515559572607,24.25515559572607,24.25515559572607,2.5889031040252175,8,,5
