category,clip_id,content_sha256,crop,derivation,first_frame_dhash,fps,height,license,n_frames,notes,parent_scene_id,provenance,source_credit,source_id,source_kind,source_license,source_sha256,split,t_end_s,t_start_s,width
low-detail,uav_sea_open,807b17cc60bcb0e0f9d8504838bbbffdc7d692eb2e7a9b27e349c084b6fc0358,"60,620,1580,1660","послідовність зі штучним рухом вікна по природному зображенні: одна фотографія, вирізка панорамується між двома прямокутниками",17ffbe78e4861481,8.333,192,unknown,16,"window-motion sequence over a natural image: pan across 'sea_open' in the Epha Dune photograph, motion=slow, 256x192, 16 frames",uav:sea_open,local_file,A.Savin,photo:curonian_spit_epha_dune,data\real\curonian_spit_epha_dune.jpg,,,test,1.9201,0.0,256
low-detail,uav_sky_horizon,91b97bf45cc25e51a9ac44c549aae3d44870d3b816780240504e4832e28c17c3,"1500,40,3020,1050","послідовність зі штучним рухом вікна по природному зображенні: одна фотографія, вирізка панорамується між двома прямокутниками",ffffff73982667b6,8.333,192,unknown,16,"window-motion sequence over a natural image: pan across 'sky_horizon' in the Epha Dune photograph, motion=slow, 256x192, 16 frames",uav:sky_horizon,local_file,A.Savin,photo:curonian_spit_epha_dune,data\real\curonian_spit_epha_dune.jpg,,,test,1.9201,0.0,256
high-detail,uav_forest_canopy,761310394e67760b676621988426895569f151f5b1d3fa99c2a3edbb38aac898,"900,1500,2420,2520","послідовність зі штучним рухом вікна по природному зображенні: одна фотографія, вирізка панорамується між двома прямокутниками",59939cdf4fb6bf66,8.333,192,unknown,16,"window-motion sequence over a natural image: pan across 'forest_canopy' in the Epha Dune photograph, motion=slow, 256x192, 16 frames",uav:forest_canopy,local_file,A.Savin,photo:curonian_spit_epha_dune,data\real\curonian_spit_epha_dune.jpg,,,test,1.9201,0.0,256
high-detail,uav_forest_fast,8d77d63cd8d08e2b7dd373a18e7c34087b4cb54413abf2c96b8d7a3642af3357,"300,1420,2220,2580","послідовність зі штучним рухом вікна по природному зображенні: одна фотографія, вирізка панорамується між двома прямокутниками",52695329a5a5d95b,8.333,192,unknown,16,"window-motion sequence over a natural image: pan across 'forest_fast' in the Epha Dune photograph, motion=fast, 256x192, 16 frames",uav:forest_fast,local_file,A.Savin,photo:curonian_spit_epha_dune,data\real\curonian_spit_epha_dune.jpg,,,test,1.9201,0.0,256
structure,uav_dune_ridge,5e397aa1c6e2b419181f2468145cc0124e854dd98818ed99a574036921b0d79e,"2500,1450,4020,2480","послідовність зі штучним рухом вікна по природному зображенні: одна фотографія, вирізка панорамується між двома прямокутниками",4a79da3b2db9a9a8,8.333,192,unknown,16,"window-motion sequence over a natural image: pan across 'dune_ridge' in the Epha Dune photograph, motion=slow, 256x192, 16 frames",uav:dune_ridge,local_file,A.Savin,photo:curonian_spit_epha_dune,data\real\curonian_spit_epha_dune.jpg,,,test,1.9201,0.0,256
structure,uav_dune_fast,4133e1fda185886f0663bc0dc901307fdbd7261f8465f38a91b8141b6c82092c,"2180,1300,4080,2520","послідовність зі штучним рухом вікна по природному зображенні: одна фотографія, вирізка панорамується між двома прямокутниками",b06ae56a7ca46667,8.333,192,unknown,16,"window-motion sequence over a natural image: pan across 'dune_fast' in the Epha Dune photograph, motion=fast, 256x192, 16 frames",uav:dune_fast,local_file,A.Savin,photo:curonian_spit_epha_dune,data\real\curonian_spit_epha_dune.jpg,,,test,1.9201,0.0,256
structure,uav_shoreline,c038292581b2c9d499cf1d4ba0fcf6d80f42030bd5a8ea3a0d5762b1b51b8d46,"120,760,1800,1860","послідовність зі штучним рухом вікна по природному зображенні: одна фотографія, вирізка панорамується між двома прямокутниками",bcf1cd0d1d0a1232,8.333,192,unknown,16,"window-motion sequence over a natural image: pan across 'shoreline' in the Epha Dune photograph, motion=slow, 256x192, 16 frames",uav:shoreline,local_file,A.Savin,photo:curonian_spit_epha_dune,data\real\curonian_spit_epha_dune.jpg,,,test,1.9201,0.0,256
high-detail,uav_village,4d3145cb7811c418cc3fb757e62320ebdc63485d5ea41bff51347649fcc2160a,"2320,700,3240,1330","послідовність зі штучним рухом вікна по природному зображенні: одна фотографія, вирізка панорамується між двома прямокутниками",61bbd8c66a3f330f,8.333,192,unknown,16,"window-motion sequence over a natural image: pan across 'village' in the Epha Dune photograph, motion=slow, 256x192, 16 frames",uav:village,local_file,A.Savin,photo:curonian_spit_epha_dune,data\real\curonian_spit_epha_dune.jpg,,,test,1.9201,0.0,256
structure,uav_dune_forest_edge,24268f4c98cda6aa04e2048b2ec9fd38e96a75edca335e1e3ea026685ca6e4bf,"2000,1660,3520,2660","послідовність зі штучним рухом вікна по природному зображенні: одна фотографія, вирізка панорамується між двома прямокутниками",3973c553d95cf4e6,8.333,192,unknown,16,"window-motion sequence over a natural image: pan across 'dune_forest_edge' in the Epha Dune photograph, motion=slow, 256x192, 16 frames",uav:dune_forest_edge,local_file,A.Savin,photo:curonian_spit_epha_dune,data\real\curonian_spit_epha_dune.jpg,,,test,1.9201,0.0,256
low-detail,uav_spit_far,47d32a634b45738332fccab7224e890ee440fcfd5b7459ae49b7426f9a117ef1,"1150,300,2670,1320","послідовність зі штучним рухом вікна по природному зображенні: одна фотографія, вирізка панорамується між двома прямокутниками",ffefe6c01424c3b0,8.333,192,unknown,16,"window-motion sequence over a natural image: pan across 'spit_far' in the Epha Dune photograph, motion=slow, 256x192, 16 frames",uav:spit_far,local_file,A.Savin,photo:curonian_spit_epha_dune,data\real\curonian_spit_epha_dune.jpg,,,test,1.9201,0.0,256
low-detail,uav_cal_sea_edge,c830a35e557ec46100275470b08edc26ed1ba433699cd9b06a3473ab9f6d29f5,"0,1100,1520,2120","послідовність зі штучним рухом вікна по природному зображенні: одна фотографія, вирізка панорамується між двома прямокутниками",f2c60e950b142935,8.333,192,unknown,16,"window-motion sequence over a natural image: pan across 'cal_sea_edge' in the Epha Dune photograph, motion=slow, 256x192, 16 frames",uav:cal_sea_edge,local_file,A.Savin,photo:curonian_spit_epha_dune,data\real\curonian_spit_epha_dune.jpg,,,test,1.9201,0.0,256
high-detail,uav_cal_canopy_mix,f62931da69f5af6f83bd7c8fb65d8dc042aba135799b4bf47b1b63c5bbe4211c,"1400,1760,2920,2620","послідовність зі штучним рухом вікна по природному зображенні: одна фотографія, вирізка панорамується між двома прямокутниками",efdefcf5edb6ed7a,8.333,192,unknown,16,"window-motion sequence over a natural image: pan across 'cal_canopy_mix' in the Epha Dune photograph, motion=slow, 256x192, 16 frames",uav:cal_canopy_mix,local_file,A.Savin,photo:curonian_spit_epha_dune,data\real\curonian_spit_epha_dune.jpg,,,test,1.9201,0.0,256
structure,uav_cal_dune_flat,ed593d926be25f6ad2f4b9937c890540967171bb585acf44da95e4f1c1d4b580,"3000,1800,4200,2620","послідовність зі штучним рухом вікна по природному зображенні: одна фотографія, вирізка панорамується між двома прямокутниками",f4b0982b160e0e87,8.333,192,unknown,16,"window-motion sequence over a natural image: pan across 'cal_dune_flat' in the Epha Dune photograph, motion=slow, 256x192, 16 frames",uav:cal_dune_flat,local_file,A.Savin,photo:curonian_spit_epha_dune,data\real\curonian_spit_epha_dune.jpg,,,test,1.9201,0.0,256
low-detail,uav_cal_water_east,628f50064834b24bf7d5374b56d432d80308fd99484b9aeefd7d9e585c9a3a14,"2980,600,4180,1470","послідовність зі штучним рухом вікна по природному зображенні: одна фотографія, вирізка панорамується між двома прямокутниками",01202000020381e0,8.333,192,unknown,16,"window-motion sequence over a natural image: pan across 'cal_water_east' in the Epha Dune photograph, motion=slow, 256x192, 16 frames",uav:cal_water_east,local_file,A.Savin,photo:curonian_spit_epha_dune,data\real\curonian_spit_epha_dune.jpg,,,test,1.9201,0.0,256
structure,uav_val_treeline,6665ce4410f0ab0b193b518f8910aaba23ac4466b82ec5bd56d0e40321d50d57,"700,1150,2220,2170","послідовність зі штучним рухом вікна по природному зображенні: одна фотографія, вирізка панорамується між двома прямокутниками",d65edeaeaa0f2ea7,8.333,192,unknown,16,"window-motion sequence over a natural image: pan across 'val_treeline' in the Epha Dune photograph, motion=slow, 256x192, 16 frames",uav:val_treeline,local_file,A.Savin,photo:curonian_spit_epha_dune,data\real\curonian_spit_epha_dune.jpg,,,test,1.9201,0.0,256
high-detail,uav_val_sand_texture,123468c2ae8203ecb32bc0953289dfec86d36ad9663819ca9f24f56ed32b5be8,"2600,1980,4120,2630","послідовність зі штучним рухом вікна по природному зображенні: одна фотографія, вирізка панорамується між двома прямокутниками",3b73d2d091495078,8.333,192,unknown,16,"window-motion sequence over a natural image: pan across 'val_sand_texture' in the Epha Dune photograph, motion=fast, 256x192, 16 frames",uav:val_sand_texture,local_file,A.Savin,photo:curonian_spit_epha_dune,data\real\curonian_spit_epha_dune.jpg,,,test,1.9201,0.0,256
structure,uav_val_coast_curve,ba676f9b32a1b625314c9aaa2857b8004d0d2cf37651d7426ac244d20352cbfb,"200,500,1720,1520","послідовність зі штучним рухом вікна по природному зображенні: одна фотографія, вирізка панорамується між двома прямокутниками",1b2fff7cf0c80d29,8.333,192,unknown,16,"window-motion sequence over a natural image: pan across 'val_coast_curve' in the Epha Dune photograph, motion=slow, 256x192, 16 frames",uav:val_coast_curve,local_file,A.Savin,photo:curonian_spit_epha_dune,data\real\curonian_spit_epha_dune.jpg,,,test,1.9201,0.0,256
