bit_exact,channel,channel_axis,channel_plan,channel_value,clip,corrected_symbols,coverage,estimated_fraction,frame_id,impaired,job_id,max_age_frames,method,mse_full,payload_bytes,provenance,psnr_full,psnr_verified,rasters,repetition,resynchronised,scenario,scenario_label,scene,ssim_full,ssim_verified,stale_fraction,status_filler,status_header_invalid,status_header_unrecoverable,status_no_sync,status_payload_unrecoverable,status_raster_dropped,status_verified,symbol_error_denominator,symbol_errors_pre_fec,sync_found,t_frame,trace_id,units_rejected,units_sent,units_verified,wire_bytes,x_authenticated,x_channel_trace,x_combine,x_coverage_meaning,x_filler_units,x_rasters_delivered,x_repetitions_received,x_repetitions_sent,x_segments,x_units_from_other_frames,x_units_per_raster
False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,0.0,0,False,7a8bd7e31202580d,0.0,B0a-R,42.609212239583336,0,synthetic,31.835768558428754,31.835768558428754,3,0,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9392048371081451,0.9392048371081451,0.0,,,,,,,,0,nan,True,0,mild|clip_horizon_slow_v0|mild|rep0|seed20240909,0,0,0,0,False,mild|clip_horizon_slow_v0|mild|rep0|seed20240909,median,"picture displayed, not verified",,,3,3,,,
False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,0.0,1,False,7a8bd7e31202580d,0.0,B0a-R,42.0697021484375,0,synthetic,31.891109236250507,31.891109236250507,3,0,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9396958099316874,0.9396958099316874,0.0,,,,,,,,0,nan,True,1,mild|clip_horizon_slow_v0|mild|rep0|seed20240909,0,0,0,0,False,mild|clip_horizon_slow_v0|mild|rep0|seed20240909,median,"picture displayed, not verified",,,3,3,,,
False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,0.0,2,False,7a8bd7e31202580d,0.0,B0a-R,41.737528483072914,0,synthetic,31.92553632428432,31.92553632428432,3,0,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9391398081244456,0.9391398081244456,0.0,,,,,,,,0,nan,True,2,mild|clip_horizon_slow_v0|mild|rep0|seed20240909,0,0,0,0,False,mild|clip_horizon_slow_v0|mild|rep0|seed20240909,median,"picture displayed, not verified",,,3,3,,,
False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,0.0,3,False,7a8bd7e31202580d,0.0,B0a-R,42.3631591796875,0,synthetic,31.860920212562064,31.860920212562064,3,0,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9387837770635601,0.9387837770635601,0.0,,,,,,,,0,nan,True,3,mild|clip_horizon_slow_v0|mild|rep0|seed20240909,0,0,0,0,False,mild|clip_horizon_slow_v0|mild|rep0|seed20240909,median,"picture displayed, not verified",,,3,3,,,
False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,0.0,4,False,7a8bd7e31202580d,0.0,B0a-R,42.787740071614586,0,synthetic,31.817610119943115,31.817610119943115,3,0,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9383609497930556,0.9383609497930556,0.0,,,,,,,,0,nan,True,4,mild|clip_horizon_slow_v0|mild|rep0|seed20240909,0,0,0,0,False,mild|clip_horizon_slow_v0|mild|rep0|seed20240909,median,"picture displayed, not verified",,,3,3,,,
False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,0.0,5,False,7a8bd7e31202580d,0.0,B0a-R,41.65155029296875,0,synthetic,31.934491901514782,31.934491901514782,3,0,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9384416270383759,0.9384416270383759,0.0,,,,,,,,0,nan,True,5,mild|clip_horizon_slow_v0|mild|rep0|seed20240909,0,0,0,0,False,mild|clip_horizon_slow_v0|mild|rep0|seed20240909,median,"picture displayed, not verified",,,3,3,,,
False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,0.0,6,False,7a8bd7e31202580d,0.0,B0a-R,41.621805826822914,0,synthetic,31.937594420415326,31.937594420415326,3,0,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9385561992189729,0.9385561992189729,0.0,,,,,,,,0,nan,True,6,mild|clip_horizon_slow_v0|mild|rep0|seed20240909,0,0,0,0,False,mild|clip_horizon_slow_v0|mild|rep0|seed20240909,median,"picture displayed, not verified",,,3,3,,,
False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,0.0,7,False,7a8bd7e31202580d,0.0,B0a-R,41.767232259114586,0,synthetic,31.92244663539568,31.92244663539568,3,0,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9389824666933676,0.9389824666933676,0.0,,,,,,,,0,nan,True,7,mild|clip_horizon_slow_v0|mild|rep0|seed20240909,0,0,0,0,False,mild|clip_horizon_slow_v0|mild|rep0|seed20240909,median,"picture displayed, not verified",,,3,3,,,
False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,0.0,8,False,7a8bd7e31202580d,0.0,B0a-R,41.926595052083336,0,synthetic,31.905907670103943,31.905907670103943,3,0,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9387777964359955,0.9387777964359955,0.0,,,,,,,,0,nan,True,8,mild|clip_horizon_slow_v0|mild|rep0|seed20240909,0,0,0,0,False,mild|clip_horizon_slow_v0|mild|rep0|seed20240909,median,"picture displayed, not verified",,,3,3,,,
False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,0.0,9,False,7a8bd7e31202580d,0.0,B0a-R,44.6173095703125,0,synthetic,31.635769821454396,31.635769821454396,3,0,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9384959006929918,0.9384959006929918,0.0,,,,,,,,0,nan,True,9,mild|clip_horizon_slow_v0|mild|rep0|seed20240909,0,0,0,0,False,mild|clip_horizon_slow_v0|mild|rep0|seed20240909,median,"picture displayed, not verified",,,3,3,,,
