admissible,bits_per_frame,codec,n_descriptions,n_frames,psnr_full,quality,reason,ssim_full,stripe_height,units_per_frame,wire_bytes_per_frame
False,,raw,1,,,8,не вміщується у спільний бюджет каналу,,16,,
False,,raw,1,,,8,не вміщується у спільний бюджет каналу,,24,,
False,,raw,1,,,8,не вміщується у спільний бюджет каналу,,48,,
False,,raw,2,,,8,не вміщується у спільний бюджет каналу,,16,,
False,,raw,2,,,8,не вміщується у спільний бюджет каналу,,24,,
False,,raw,2,,,8,не вміщується у спільний бюджет каналу,,48,,
False,,raw,4,,,8,не вміщується у спільний бюджет каналу,,16,,
False,,raw,4,,,8,не вміщується у спільний бюджет каналу,,24,,
False,,raw,4,,,8,не вміщується у спільний бюджет каналу,,48,,
True,13814.0,dct,1,16,28.104614397754055,8,,0.7668738907512743,16,12.0,15456.0
True,19511.0,dct,1,16,29.560941457925654,12,,0.8181888961244983,16,12.0,15456.0
True,27051.0,dct,1,16,30.7839785323156,18,,0.8561178734489308,16,12.0,15456.0
True,34528.0,dct,1,16,31.75037409717263,25,,0.8820176312519372,16,12.0,15456.0
True,20037.0,dct,1,8,36.58774946654807,35,,0.9309848346317002,16,12.0,15456.0
True,26066.0,dct,1,8,37.631156459748226,50,,0.9430876489949745,16,12.0,15456.0
False,,dct,1,,,70,не вміщується у спільний бюджет каналу,,16,,
True,12906.5,dct,1,16,28.104614397754055,8,,0.7668738907512743,24,8.0,10304.0
True,18472.0,dct,1,16,29.560941457925654,12,,0.8181888961244983,24,8.0,10304.0
True,19426.18181818182,dct,1,11,32.437792174326205,18,,0.8697559797750704,24,9.0,11709.09090909091
True,14406.0,dct,1,8,35.639854358267854,25,,0.9174701300910102,24,8.0,10304.0
True,18820.0,dct,1,8,36.58774946654807,35,,0.9309848346317002,24,8.0,10304.0
True,25284.0,dct,1,8,37.631156459748226,50,,0.9430876489949745,24,9.75,15456.0
True,32084.8,dct,1,5,40.01262316750093,70,,0.9611068700203026,24,11.2,15456.0
True,11955.5,dct,1,16,28.104614397754055,8,,0.7668738907512743,48,4.5,6440.0
True,17827.0,dct,1,16,29.560941457925654,12,,0.8181888961244983,48,6.0,7728.0
True,26095.0,dct,1,16,30.79092434890404,18,,0.856240930012961,48,7.75,10304.0
True,13551.0,dct,1,8,35.639854358267854,25,,0.9174701300910102,48,5.0,10304.0
True,18396.0,dct,1,8,36.59264795985678,35,,0.9308918622955925,48,6.5,10304.0
True,25113.0,dct,1,8,37.626086872500125,50,,0.9429943535285392,48,8.625,12880.0
True,29488.0,dct,1,4,40.552728738730934,70,,0.9640782327769427,48,10.25,15456.0
False,,dct,2,,,8,не вміщується у спільний бюджет каналу,,16,,
