channel,method,n_deadline_miss,n_failed,n_no_sync,n_observations,n_ok
bursty,B0a,,0,,1360,1360
bursty,B0a-R,,0,,1360,1360
bursty,B0d,40,81,41,1360,1279
bursty,B1,,0,,1360,1360
bursty,B2,,0,,1360,1360
bursty,B3,395,561,166,1360,799
bursty,B4,41,80,39,1360,1280
bursty,B4t,1,8,7,1360,1352
bursty,P,,1,1,1360,1359
clean,B0a,,0,,1360,1360
clean,B0a-R,,0,,1360,1360
clean,B0d,,0,,1360,1360
clean,B1,,0,,1360,1360
clean,B2,,0,,1360,1360
clean,B3,,0,,1360,1360
clean,B4,,0,,1360,1360
clean,B4t,,0,,1360,1360
clean,P,,0,,1360,1360
harsh,B0a,,60,60,1360,1300
harsh,B0a-R,,0,,1360,1360
harsh,B0d,1084,1360,276,1360,
harsh,B1,,60,60,1360,1300
harsh,B2,,60,60,1360,1300
harsh,B3,1142,1360,218,1360,
harsh,B4,1084,1360,276,1360,
harsh,B4t,1071,1360,289,1360,
harsh,P,981,1360,379,1360,
mild,B0a,,0,,1360,1360
mild,B0a-R,,0,,1360,1360
mild,B0d,,0,,1360,1360
mild,B1,,0,,1360,1360
mild,B2,,0,,1360,1360
mild,B3,,0,,1360,1360
mild,B4,,0,,1360,1360
mild,B4t,,0,,1360,1360
mild,P,,0,,1360,1360
moderate,B0a,,0,,1360,1360
moderate,B0a-R,,0,,1360,1360
moderate,B0d,8,10,2,1360,1350
moderate,B1,,0,,1360,1360
moderate,B2,,0,,1360,1360
moderate,B3,307,342,35,1360,1018
moderate,B4,17,23,6,1360,1337
moderate,B4t,,0,,1360,1360
moderate,P,,0,,1360,1360
