authenticated,channel,hi,lo,mean,method,metric,n_scenes
False,clean,1.0,1.0,1.0,B0a,coverage,17
False,mild,1.0,1.0,1.0,B0a,coverage,17
False,moderate,1.0,1.0,1.0,B0a,coverage,17
False,bursty,1.0,1.0,1.0,B0a,coverage,17
False,harsh,1.0,1.0,1.0,B0a,coverage,17
False,clean,1.0,1.0,1.0,B0a-R,coverage,17
False,mild,1.0,1.0,1.0,B0a-R,coverage,17
False,moderate,1.0,1.0,1.0,B0a-R,coverage,17
False,bursty,1.0,1.0,1.0,B0a-R,coverage,17
False,harsh,1.0,1.0,1.0,B0a-R,coverage,17
False,clean,1.0,1.0,1.0,B0d,coverage,17
False,mild,1.0,1.0,1.0,B0d,coverage,17
False,moderate,0.9013725490196078,0.8813661151960785,0.8913602941176471,B0d,coverage,17
False,bursty,0.763852569152661,0.7322775516456583,0.7492086834733893,B0d,coverage,17
False,harsh,nan,nan,nan,B0d,coverage,0
False,clean,1.0,1.0,1.0,B1,coverage,17
False,mild,1.0,1.0,1.0,B1,coverage,17
False,moderate,1.0,1.0,1.0,B1,coverage,17
False,bursty,1.0,1.0,1.0,B1,coverage,17
False,harsh,1.0,1.0,1.0,B1,coverage,17
False,clean,1.0,1.0,1.0,B2,coverage,17
False,mild,1.0,1.0,1.0,B2,coverage,17
False,moderate,1.0,1.0,1.0,B2,coverage,17
False,bursty,1.0,1.0,1.0,B2,coverage,17
False,harsh,1.0,1.0,1.0,B2,coverage,17
True,clean,1.0,1.0,1.0,B3,coverage,17
True,mild,1.0,1.0,1.0,B3,coverage,17
True,moderate,1.0,1.0,1.0,B3,coverage,17
True,bursty,1.0,1.0,1.0,B3,coverage,17
True,harsh,nan,nan,nan,B3,coverage,0
True,clean,1.0,1.0,1.0,B4,coverage,17
True,mild,1.0,1.0,1.0,B4,coverage,17
True,moderate,0.8806444327731093,0.858829350490196,0.8698415616246499,B4,coverage,17
True,bursty,0.7626164653361344,0.7330116202731093,0.7488576680672269,B4,coverage,17
True,harsh,nan,nan,nan,B4,coverage,0
True,clean,1.0,1.0,1.0,P,coverage,17
True,mild,1.0,1.0,1.0,P,coverage,17
True,moderate,0.9559742647058824,0.9441636029411765,0.9504595588235293,P,coverage,17
True,bursty,0.8232757352941177,0.807441712622549,0.8150490196078432,P,coverage,17
True,harsh,nan,nan,nan,P,coverage,0
True,clean,1.0,1.0,1.0,B4t,coverage,17
True,mild,1.0,1.0,1.0,B4t,coverage,17
True,moderate,0.9777113970588235,0.9645680147058824,0.9716911764705881,B4t,coverage,17
True,bursty,0.889592524509804,0.8724047947303922,0.881124387254902,B4t,coverage,17
True,harsh,nan,nan,nan,B4t,coverage,0
