authenticated,channel,criterion,method,n_scenes,operable_fraction,sd_over_scenes
False,clean,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0a,10,1.0,0.0
False,mild,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0a,10,1.0,0.0
False,moderate,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0a,10,0.86,0.07236097782030802
False,bursty,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0a,10,0.1025,0.06422616289332565
False,harsh,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0a,10,0.0037500000000000007,0.0060380736442456
False,clean,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0a-R,10,1.0,0.0
False,mild,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0a-R,10,1.0,0.0
False,moderate,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0a-R,10,0.99875,0.003952847075210461
False,bursty,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0a-R,10,0.6199999999999999,0.14721960165382567
False,harsh,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0a-R,10,0.29874999999999996,0.23044718001697867
False,clean,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0d,10,1.0,0.0
False,mild,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0d,10,1.0,0.0
False,moderate,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0d,10,0.72625,0.04581439002467822
False,bursty,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0d,10,0.4362500000000001,0.06807114333956464
False,harsh,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B0d,10,0.0,0.0
False,clean,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B1,10,1.0,0.0
False,mild,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B1,10,1.0,0.0
False,moderate,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B1,10,0.7987500000000001,0.1296964939987028
False,bursty,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B1,10,0.10374999999999998,0.06265259150443996
False,harsh,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B1,10,0.0,0.0
False,clean,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B2,10,1.0,0.0
False,mild,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B2,10,1.0,0.0
False,moderate,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B2,10,0.7887500000000001,0.13698768192797484
False,bursty,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B2,10,0.10375000000000001,0.06536489458757234
False,harsh,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B2,10,0.0,0.0
True,clean,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B3,10,1.0,0.0
True,mild,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B3,10,1.0,0.0
True,moderate,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B3,10,0.75,0.07949493345141213
True,bursty,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B3,10,0.5650000000000001,0.15386231218563926
True,harsh,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B3,10,0.0,0.0
True,clean,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B4,10,1.0,0.0
True,mild,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B4,10,1.0,0.0
True,moderate,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B4,10,0.70625,0.04340138886666595
True,bursty,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B4,10,0.43624999999999997,0.07251676051476345
True,harsh,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),B4,10,0.0,0.0
True,clean,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),P,10,1.0,0.0
True,mild,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),P,10,1.0,0.0
True,moderate,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),P,10,0.81375,0.04875178059426252
True,bursty,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),P,10,0.38,0.041331989225457486
True,harsh,coverage>=0.9 and psnr_full>=20.0 (engineering requirement of this study),P,10,0.0,0.0
