P_wins,channel,psnr_B4,psnr_P,scene
False,clean,26.38058084428018,23.74351859474816,uav:cal_canopy_mix
False,clean,31.708623921611274,29.2727997071918,uav:cal_dune_flat
False,clean,25.410634401888736,23.183136329335646,uav:cal_sea_edge
False,clean,33.5710587910727,30.596428180327724,uav:cal_water_east
False,clean,27.97542853065561,25.437996547877752,uav:dune_fast
False,clean,28.547520109451614,25.997856180866865,uav:dune_forest_edge
False,clean,30.200371715834955,27.85103284517941,uav:dune_ridge
False,clean,24.853040670479487,22.362685868141373,uav:forest_canopy
False,clean,25.913310581181598,23.348749594918196,uav:forest_fast
False,clean,27.076809909752626,24.97866267900229,uav:sea_open
False,clean,26.021980159490717,23.995786424808017,uav:shoreline
False,clean,29.543999219573188,27.398503630070003,uav:sky_horizon
False,clean,28.29574327281541,26.55256282875314,uav:spit_far
False,clean,27.81262884334607,25.777134308508426,uav:val_coast_curve
False,clean,31.03020422862424,28.60954854992128,uav:val_sand_texture
False,clean,24.99835831074616,22.840545108171035,uav:val_treeline
False,clean,26.32192318039197,24.15759208349436,uav:village
False,mild,26.38058084428018,23.74351859474816,uav:cal_canopy_mix
False,mild,31.708623921611274,29.2727997071918,uav:cal_dune_flat
False,mild,25.410634401888736,23.183136329335646,uav:cal_sea_edge
False,mild,33.5710587910727,30.596428180327724,uav:cal_water_east
False,mild,27.97542853065561,25.437996547877752,uav:dune_fast
False,mild,28.547520109451614,25.997856180866865,uav:dune_forest_edge
False,mild,30.200371715834955,27.85103284517941,uav:dune_ridge
False,mild,24.853040670479487,22.362685868141373,uav:forest_canopy
False,mild,25.913310581181598,23.348749594918196,uav:forest_fast
False,mild,27.076809909752626,24.97866267900229,uav:sea_open
False,mild,26.021980159490717,23.995786424808017,uav:shoreline
False,mild,29.543999219573188,27.398503630070003,uav:sky_horizon
False,mild,28.29574327281541,26.55256282875314,uav:spit_far
False,mild,27.81262884334607,25.777134308508426,uav:val_coast_curve
False,mild,31.03020422862424,28.60954854992128,uav:val_sand_texture
False,mild,24.99835831074616,22.840545108171035,uav:val_treeline
False,mild,26.32192318039197,24.15759208349436,uav:village
False,moderate,23.78303080790809,23.32390267656905,uav:cal_canopy_mix
False,moderate,29.6212646941034,29.170959942050978,uav:cal_dune_flat
False,moderate,23.532749210390314,22.735249379057308,uav:cal_sea_edge
False,moderate,30.605055266621356,30.286269015463393,uav:cal_water_east
True,moderate,24.039604486546086,25.035558221492614,uav:dune_fast
True,moderate,25.44082950942189,25.541035257991105,uav:dune_forest_edge
True,moderate,25.50210848742659,27.548813792127852,uav:dune_ridge
False,moderate,22.502116015996744,22.113339043067775,uav:forest_canopy
False,moderate,23.740821139480232,23.2260923124137,uav:forest_fast
False,moderate,24.615164819587363,24.60129805195117,uav:sea_open
True,moderate,23.06509747470046,23.749104361254183,uav:shoreline
True,moderate,26.120392653988933,26.929641356459875,uav:sky_horizon
False,moderate,26.858278271510915,26.357920749741748,uav:spit_far
True,moderate,24.224297281107045,25.127070184871712,uav:val_coast_curve
False,moderate,28.65263963728798,28.50081659651021,uav:val_sand_texture
False,moderate,23.534284590640805,22.722875643755735,uav:val_treeline
False,moderate,24.369879301713006,23.974231025208802,uav:village
True,bursty,20.851408592141702,22.158511406178075,uav:cal_canopy_mix
True,bursty,26.28980930075695,28.15322215890567,uav:cal_dune_flat
True,bursty,21.402778752757172,22.314911747010587,uav:cal_sea_edge
True,bursty,27.006489636071457,28.268125746299688,uav:cal_water_east
True,bursty,21.613645187115644,23.465881420719505,uav:dune_fast
True,bursty,23.572693588184894,23.664633201036413,uav:dune_forest_edge
True,bursty,22.669419781332767,25.86247929615995,uav:dune_ridge
True,bursty,18.410644902653218,20.596546707752776,uav:forest_canopy
True,bursty,21.800488385758165,22.422791174334865,uav:forest_fast
True,bursty,21.445909265433237,23.54939689703228,uav:sea_open
True,bursty,20.74007687749789,22.354064106303152,uav:shoreline
True,bursty,21.58623745318766,25.624453855857666,uav:sky_horizon
True,bursty,22.48195631270205,24.977041759631554,uav:spit_far
True,bursty,22.04173113891043,23.12196502445027,uav:val_coast_curve
True,bursty,26.629129754158065,27.696723194955393,uav:val_sand_texture
True,bursty,21.823088438375493,22.151108350876473,uav:val_treeline
True,bursty,22.318223871895402,22.92127236406049,uav:village
False,harsh,11.315667667430859,11.315667667430859,uav:cal_canopy_mix
False,harsh,9.79023350724734,9.79023350724734,uav:cal_dune_flat
False,harsh,11.677327685434305,11.677327685434305,uav:cal_sea_edge
False,harsh,14.615968831853522,14.615968831853522,uav:cal_water_east
False,harsh,10.644660398053272,10.644660398053272,uav:dune_fast
False,harsh,10.515982129756663,10.515982129756663,uav:dune_forest_edge
False,harsh,9.84971582492646,9.84971582492646,uav:dune_ridge
False,harsh,11.507968484660719,11.507968484660719,uav:forest_canopy
False,harsh,11.142625513208035,11.142625513208035,uav:forest_fast
False,harsh,13.050599107093808,13.050599107093808,uav:sea_open
False,harsh,12.837063318985662,12.837063318985662,uav:shoreline
False,harsh,15.327819485456866,15.327819485456866,uav:sky_horizon
False,harsh,14.636560544417955,14.636560544417955,uav:spit_far
False,harsh,13.54384416389233,13.54384416389233,uav:val_coast_curve
False,harsh,9.941507161357205,9.941507161357205,uav:val_sand_texture
False,harsh,12.117116197235125,12.117116197235125,uav:val_treeline
False,harsh,15.54790485984285,15.54790485984285,uav:village
