channel,diff_P_minus_B4,scene
clean,-2.5645466083151867,uav:dune_fast
clean,-2.549649505811221,uav:dune_forest_edge
clean,-2.537412222492094,uav:dune_ridge
clean,-2.4903290171730994,uav:forest_canopy
clean,-2.3493442947847534,uav:forest_fast
clean,-2.1643310441972226,uav:sea_open
clean,-2.145460371646145,uav:shoreline
clean,-2.098133205273932,uav:sky_horizon
clean,-2.0261994171798,uav:spit_far
clean,-1.7431911034042002,uav:village
mild,-2.5645466083151867,uav:dune_fast
mild,-2.549649505811221,uav:dune_forest_edge
mild,-2.537412222492094,uav:dune_ridge
mild,-2.4903290171730994,uav:forest_canopy
mild,-2.3493442947847534,uav:forest_fast
mild,-2.1643310441972226,uav:sea_open
mild,-2.145460371646145,uav:shoreline
mild,-2.098133205273932,uav:sky_horizon
mild,-2.0261994171798,uav:spit_far
mild,-1.7431911034042002,uav:village
moderate,-0.4780688911618327,uav:dune_fast
moderate,-0.44090974357810353,uav:dune_forest_edge
moderate,-0.39458640413771917,uav:dune_ridge
moderate,-0.3896360150210185,uav:forest_canopy
moderate,-0.060892179415724,uav:forest_fast
moderate,0.08013116077322024,uav:sea_open
moderate,0.6079593536303456,uav:shoreline
moderate,0.6421333769145257,uav:sky_horizon
moderate,0.6733102284078356,uav:spit_far
moderate,1.8806736264166055,uav:village
bursty,-0.009962566453932453,uav:dune_fast
bursty,0.6151166072797771,uav:dune_forest_edge
bursty,0.7004082366750595,uav:dune_ridge
bursty,1.7385850961616462,uav:forest_canopy
bursty,1.7637745234932254,uav:forest_fast
bursty,2.0736828002931986,uav:sea_open
bursty,2.1571273450096946,uav:shoreline
bursty,2.4857305512693593,uav:sky_horizon
bursty,3.079127871654535,uav:spit_far
bursty,3.9808921821991916,uav:village
harsh,0.0,uav:dune_fast
harsh,0.0,uav:dune_forest_edge
harsh,0.0,uav:dune_ridge
harsh,0.0,uav:forest_canopy
harsh,0.0,uav:forest_fast
harsh,0.0,uav:sea_open
harsh,0.0,uav:shoreline
harsh,0.0,uav:sky_horizon
harsh,0.0,uav:spit_far
harsh,0.0,uav:village
