authenticated_bits_per_s,method,noise_sigma
0.0,B0a-R,0.0
0.0,B0a-R,2.0
0.0,B0a-R,4.0
0.0,B0a-R,6.0
0.0,B0a-R,8.0
0.0,B0a-R,12.0
0.0,B0a-R,16.0
0.0,B0a-R,24.0
179012.96296296298,B4,0.0
179012.96296296298,B4,2.0
179012.96296296298,B4,4.0
179012.96296296298,B4,6.0
179012.96296296298,B4,8.0
179012.96296296298,B4,12.0
179012.96296296298,B4,16.0
179012.96296296298,B4,24.0
141007.40740740745,P,0.0
141007.40740740745,P,2.0
141007.40740740745,P,4.0
141007.40740740745,P,6.0
141007.40740740745,P,8.0
141007.40740740745,P,12.0
141007.40740740745,P,16.0
141007.40740740745,P,24.0
