channel,hi,latency_s,lo,method,psnr_full
clean,29.17458951784838,0.15861111111111112,26.86859496738849,B0d,27.980130393599797
clean,29.17458951784838,0.15861111111111112,26.86859496738849,B3,27.980130393599797
clean,29.17458951784838,0.15861111111111112,26.86859496738849,B4,27.980130393599797
clean,27.840859394372497,0.15861111111111112,25.67285117800928,B4t,26.723534623728
clean,26.801482785580802,0.15861111111111112,24.565244649283834,P,25.653208203606795
mild,29.17458951784838,0.15861111111111112,26.86859496738849,B0d,27.980130393599797
mild,29.17458951784838,0.15861111111111112,26.86859496738849,B3,27.980130393599797
mild,29.17458951784838,0.15861111111111112,26.86859496738849,B4,27.980130393599797
mild,27.840859394372497,0.15861111111111112,25.67285117800928,B4t,26.723534623728
mild,26.801482785580802,0.15861111111111112,24.565244649283834,P,25.653208203606795
moderate,27.10033298455828,0.15861111111111112,24.76803021660946,B0d,25.874898363957694
moderate,29.181331859976577,0.15861111111111112,26.879631697941328,B3,27.98870467927935
moderate,26.67942613644725,0.15861111111111112,24.478200191749323,B4,25.525558796519455
moderate,27.375987013662787,0.15861111111111112,25.216253683631987,B4t,26.26340432198779
moderate,26.51207117644005,0.15861111111111112,24.255725432849022,P,25.34965750646984
bursty,24.402823563923487,0.15861111111111112,22.148969701219933,B0d,23.210721493799895
bursty,29.184048027037694,0.15861111111111112,26.874561203191394,B3,27.9896791422945
bursty,24.360553255555693,0.15861111111111112,22.112586827755763,B4,23.177036178616277
bursty,25.945332063222878,0.15861111111111112,23.814526789463436,B4t,24.84840238158835
bursty,25.18925104432313,0.15861111111111112,23.071458549212288,P,24.083913708419708
harsh,nan,0.15861111111111112,nan,B0d,nan
harsh,nan,0.15861111111111112,nan,B3,nan
harsh,nan,0.15861111111111112,nan,B4,nan
harsh,nan,0.15861111111111112,nan,B4t,nan
harsh,nan,0.15861111111111112,nan,P,nan
