axis,coverage,method,n_scenes,psnr_full,value
burst_rate_per_frame,,B0a-R,6,29.161090874489002,0.0
burst_rate_per_frame,,B0a-R,6,29.002445653565783,1.0
burst_rate_per_frame,,B0a-R,6,27.413448635257428,2.0
burst_rate_per_frame,,B0a-R,6,24.83911867494275,4.0
burst_rate_per_frame,,B0a-R,6,22.37569835714878,6.0
burst_rate_per_frame,,B0a-R,6,20.522437440777008,8.0
burst_rate_per_frame,,B4,6,27.745664417433858,0.0
burst_rate_per_frame,,B4,6,27.626843437457712,1.0
burst_rate_per_frame,,B4,6,26.848961833255803,2.0
burst_rate_per_frame,,B4,6,25.949191029162563,4.0
burst_rate_per_frame,,B4,6,24.676577658093745,6.0
burst_rate_per_frame,,B4,6,22.02500947430021,8.0
burst_rate_per_frame,,P,6,25.407479332079145,0.0
burst_rate_per_frame,,P,6,25.35817584963755,1.0
burst_rate_per_frame,,P,6,24.71848240225467,2.0
burst_rate_per_frame,,P,6,23.925743826315227,4.0
burst_rate_per_frame,,P,6,24.32110366876273,6.0
burst_rate_per_frame,,P,6,23.594101656979078,8.0
burst_rate_per_frame,1.0,B0a-R,6,,0.0
burst_rate_per_frame,1.0,B0a-R,6,,1.0
burst_rate_per_frame,1.0,B0a-R,6,,2.0
burst_rate_per_frame,1.0,B0a-R,6,,4.0
burst_rate_per_frame,1.0,B0a-R,6,,6.0
burst_rate_per_frame,1.0,B0a-R,6,,8.0
burst_rate_per_frame,1.0,B4,6,,0.0
burst_rate_per_frame,0.9953703703703703,B4,6,,1.0
burst_rate_per_frame,0.9629629629629629,B4,6,,2.0
burst_rate_per_frame,0.9120370370370371,B4,6,,4.0
burst_rate_per_frame,0.8368055555555557,B4,6,,6.0
burst_rate_per_frame,0.7199074074074074,B4,6,,8.0
burst_rate_per_frame,1.0,P,6,,0.0
burst_rate_per_frame,0.9918981481481483,P,6,,1.0
burst_rate_per_frame,0.9652777777777777,P,6,,2.0
burst_rate_per_frame,0.9085648148148148,P,6,,4.0
burst_rate_per_frame,0.8883101851851851,P,6,,6.0
burst_rate_per_frame,0.8165509259259259,P,6,,8.0
