axis,method,n_scenes,psnr_full,symbol_errors_pre_fec,value
lowpass_sigma,B0a-R,6,,nan,0.5
lowpass_sigma,B0a-R,6,,nan,1.0
lowpass_sigma,B0a-R,6,,nan,1.5
lowpass_sigma,B0a-R,6,,nan,2.0
lowpass_sigma,B0a-R,6,,nan,2.5
lowpass_sigma,B4,6,,0.0,0.5
lowpass_sigma,B4,6,,0.0,1.0
lowpass_sigma,B4,6,,0.0,1.5
lowpass_sigma,B4,6,,0.0,2.0
lowpass_sigma,B4,6,,0.0,2.5
lowpass_sigma,P,6,,0.0,0.5
lowpass_sigma,P,6,,0.0,1.0
lowpass_sigma,P,6,,0.0,1.5
lowpass_sigma,P,6,,0.0,2.0
lowpass_sigma,P,6,,0.0,2.5
lowpass_sigma,B0a-R,6,29.17518901813375,,0.5
lowpass_sigma,B0a-R,6,29.148911938383225,,1.0
lowpass_sigma,B0a-R,6,29.1514366345599,,1.5
lowpass_sigma,B0a-R,6,29.159546963607593,,2.0
lowpass_sigma,B0a-R,6,29.16097654323049,,2.5
lowpass_sigma,B4,6,27.745664417433858,,0.5
lowpass_sigma,B4,6,27.745664417433858,,1.0
lowpass_sigma,B4,6,27.745664417433858,,1.5
lowpass_sigma,B4,6,27.745664417433858,,2.0
lowpass_sigma,B4,6,27.745664417433858,,2.5
lowpass_sigma,P,6,25.407479332079145,,0.5
lowpass_sigma,P,6,25.407479332079145,,1.0
lowpass_sigma,P,6,25.407479332079145,,1.5
lowpass_sigma,P,6,25.407479332079145,,2.0
lowpass_sigma,P,6,25.407479332079145,,2.5
