burst_len_lines,method,noise_sigma,sd,value
1.0,P-B4,0.0,3.428243825021516,-2.3332341551474194
1.0,P-B4,4.0,3.428243825021516,-2.3332341551474194
1.0,P-B4,8.0,3.428243825021516,-2.3332341551474194
1.0,P-B4,12.0,3.428243825021516,-2.3332341551474194
1.0,P-B4,16.0,3.428243825021516,-2.3332341551474194
4.0,P-B4,0.0,3.428243825021516,-2.3332341551474194
4.0,P-B4,4.0,3.428243825021516,-2.3332341551474194
4.0,P-B4,8.0,3.428243825021516,-2.3332341551474194
4.0,P-B4,12.0,3.428243825021516,-2.3332341551474194
4.0,P-B4,16.0,3.428243825021516,-2.3332341551474194
8.0,P-B4,0.0,3.428243825021516,-2.3332341551474194
8.0,P-B4,4.0,3.428243825021516,-2.3332341551474194
8.0,P-B4,8.0,3.428243825021516,-2.3332341551474194
8.0,P-B4,12.0,3.428243825021516,-2.3332341551474194
8.0,P-B4,16.0,3.428243825021516,-2.3332341551474194
16.0,P-B4,0.0,3.428243825021516,-2.3332341551474194
16.0,P-B4,4.0,3.428243825021516,-2.3332341551474194
16.0,P-B4,8.0,3.428243825021516,-2.3332341551474194
16.0,P-B4,12.0,3.428243825021516,-2.3332341551474194
16.0,P-B4,16.0,3.428243825021516,-2.3332341551474194
32.0,P-B4,0.0,3.428243825021516,-2.3332341551474194
32.0,P-B4,4.0,3.428243825021516,-2.3332341551474194
32.0,P-B4,8.0,3.428243825021516,-2.3332341551474194
32.0,P-B4,12.0,3.428243825021516,-2.3332341551474194
32.0,P-B4,16.0,3.428243825021516,-2.3332341551474194
48.0,P-B4,0.0,3.428243825021516,-2.3332341551474194
48.0,P-B4,4.0,3.428243825021516,-2.3332341551474194
48.0,P-B4,8.0,3.428243825021516,-2.3332341551474194
48.0,P-B4,12.0,3.428243825021516,-2.3332341551474194
48.0,P-B4,16.0,3.428243825021516,-2.3332341551474194
