admissible,fec_nsym,max_unit_payload,psnr_full,reason,rs_k
True,32,160,15.579962580813339,,223
True,32,240,14.393058941377411,,223
True,32,320,14.483304094066701,,223
True,32,480,14.779050065217609,,223
False,32,640,nan,не вміщується у спільний бюджет,223
False,32,960,nan,не вміщується у спільний бюджет,223
True,64,160,19.618771430514578,,191
True,64,240,19.020455396998745,,191
True,64,320,18.94154914841445,,191
True,64,480,19.47157387538763,,191
False,64,640,nan,не вміщується у спільний бюджет,191
False,64,960,nan,не вміщується у спільний бюджет,191
True,96,160,22.737611304934678,,159
True,96,240,22.81159156244686,,159
True,96,320,22.839142485799528,,159
False,96,480,nan,не вміщується у спільний бюджет,159
False,96,640,nan,не вміщується у спільний бюджет,159
False,96,960,nan,не вміщується у спільний бюджет,159
True,128,160,24.465820550965752,,127
True,128,240,23.789619254745805,,127
True,128,320,23.745152818586764,,127
False,128,480,nan,не вміщується у спільний бюджет,127
False,128,640,nan,не вміщується у спільний бюджет,127
False,128,960,nan,не вміщується у спільний бюджет,127
