calls,max_ms,mean_ms,median_ms,n_samples,p95_ms,p99_ms,resolution,stage,total_s,warmup_discarded
24,22.122300000773976,20.701324999966648,20.570499999848835,24,21.75833499959481,22.040834000472387,128x96,rx.demodulation,0.4968317999991996,1
36,25.221299999429903,20.734969444371625,20.546900000226742,36,22.418824999476783,24.503694999566502,384x288,rx.demodulation,0.7464588999973785,1
6,21.219700000074226,20.483400000102847,20.4303999998956,6,21.128300000100353,21.20142000007945,128x96,B3.demodulation,0.12290040000061708,1
6,21.353600000111328,20.4468333334565,20.428700000138633,6,21.16210000008323,21.315300000105708,256x192,B3.demodulation,0.122681000000739,1
42,33.89470000001893,20.903514285713584,20.40809999971316,42,23.503629999777324,29.914420000186475,256x192,rx.demodulation,0.8779475999999704,1
36,21.86710000023595,20.324383333293856,20.111199999973906,36,21.519200000511773,21.759510000356386,320x240,rx.demodulation,0.7316777999985788,1
6,20.83550000043033,20.005583333386312,19.937099999879138,6,20.68967500031249,20.80633500040676,320x240,B3.demodulation,0.12003350000031787,1
6,21.855500000128814,20.12533333330187,19.85454999976355,6,21.424275000072157,21.769255000117482,384x288,B3.demodulation,0.12075199999981123,1
126,34.97970000080386,15.560946031734876,17.659999999978027,126,24.471875000017462,28.500449999910415,384x288,rx.fec_payload,1.9606791999985944,1
172,34.368800000265765,16.214161627885915,17.412599999715894,172,27.249864999521375,33.03946900054142,256x192,rx.fec_payload,2.7888357999963773,1
105,35.64549999919109,15.92741523809742,17.339300000458024,105,27.891240000280956,33.00698399973044,128x96,rx.fec_payload,1.6723786000002292,1
127,26.847900000575464,14.432527559133238,16.021100000216393,127,23.043720000077883,26.140308000321962,320x240,rx.fec_payload,1.8329310000099213,1
14,6.355900000016845,5.609892857137311,5.565350000324543,14,6.2489749998803745,6.33451499998955,384x288,tx.source_coding,0.07853849999992235,1
6,4.971000000296044,4.651133333330411,4.623049999736395,6,4.89167500018084,4.955135000273003,384x288,B3.source_coding,0.027906799999982468,1
14,4.589000000123633,4.056592857068608,4.054999999880238,14,4.496504999906392,4.570501000080184,320x240,tx.source_coding,0.056792299998960516,1
6,3.5054999998465064,3.3201166667519524,3.3248000004277856,6,3.4716749999006424,3.4987349998573336,320x240,B3.source_coding,0.019920700000511715,1
18,4.615699999703793,3.046716666580728,2.9678999999305233,18,3.571899999633386,4.40693999968971,256x192,tx.source_coding,0.054840899998453096,1
144,4.201900000225578,2.457819444461822,2.7920999996240425,144,3.8733749997845734,4.13421000006565,384x288,tx.crypto,0.3539260000025024,1
