burst_lines,ci95,method,psnr_full
1.0,1.0723974683372204,B0a-R,28.611774194166003
2.0,1.1096410874409985,B0a-R,28.654604681369563
4.0,1.238374053731331,B0a-R,28.47791231848485
8.0,0.9274751897060614,B0a-R,26.95296345737155
16.0,1.2877689961727272,B0a-R,24.880473371079166
24.0,1.2177946577342398,B0a-R,23.380021495764197
32.0,1.1332835477403047,B0a-R,22.0101293974971
48.0,1.763392802492537,B0a-R,18.89365983042611
64.0,1.0909060143892393,B0a-R,17.182028995055752
1.0,1.8863421653217451,B4,27.537067396021133
2.0,1.8855571638724609,B4,27.745664417433858
4.0,1.972425561829259,B4,27.51173899156613
8.0,1.537671518133751,B4,26.473443964240744
16.0,1.4798065719417772,B4,26.357323217913716
24.0,1.6130582143621246,B4,26.06189390669019
32.0,0.9824632036955208,B4,23.091209748592814
48.0,2.4160196730728214,B4,20.64385435903877
64.0,1.0319511146190827,B4,15.789973244176101
1.0,1.9454029797555747,P,25.27701252274183
2.0,1.9390298115784055,P,25.394577057841236
4.0,1.9584405893348795,P,25.27054718951065
8.0,1.6529750583450513,P,24.60643055798568
16.0,1.6368735925804128,P,24.531782709421538
24.0,1.6943224263331604,P,24.607724767818667
32.0,1.7719266901224753,P,23.938303705484202
48.0,1.7143136220471809,P,23.4984502688589
64.0,1.5460894398700749,P,21.16561884718226
