bit_exact,channel,channel_axis,channel_plan,channel_value,clip,corrected_symbols,coverage,estimated_fraction,frame_id,job_id,max_age_frames,method,mse_full,payload_bytes,provenance,psnr_full,psnr_verified,rasters,repetition,resynchronised,scene,ssim_full,ssim_verified,stale_fraction,status_auth_failed,status_filler,status_fragment_recovered,status_frame_verified,status_header_invalid,status_header_unrecoverable,status_no_sync,status_payload_unrecoverable,status_raster_dropped,status_verified,symbol_error_denominator,symbol_errors_pre_fec,sync_found,trace_id,units_rejected,units_sent,units_verified,wire_bytes,x_authenticated,x_channel_trace,x_combine,x_coverage_meaning,x_est_dx,x_est_dy,x_filler_units,x_fragments,x_fragments_recovered,x_frame_verified,x_rasters_delivered,x_repetitions_received,x_repetitions_sent,x_segments,x_sync_score,x_units_from_other_frames,x_units_per_raster
False,clean,,clean,nan,uav_sea_open,0,1.0,0.0,0,2943d27a8646b2b8,0.0,B0a,0.3120524088541667,0,local_file,53.18852821449696,53.18852821449696,1,0,False,uav:sea_open,0.9980867171186137,0.9980867171186137,0.0,,,,,,,,,,,0,nan,True,clean|uav_sea_open|clean|rep0|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",0.0,0.0,,,,,,,,,0.9999999999999982,,
False,clean,,clean,nan,uav_sea_open,0,1.0,0.0,2,2943d27a8646b2b8,0.0,B0a,0.3022257486979167,0,local_file,53.32748898743627,53.32748898743627,1,0,False,uav:sea_open,0.998241699683947,0.998241699683947,0.0,,,,,,,,,,,0,nan,True,clean|uav_sea_open|clean|rep0|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",0.0,0.0,,,,,,,,,0.9999999999999982,,
False,clean,,clean,nan,uav_sea_open,0,1.0,0.0,4,2943d27a8646b2b8,0.0,B0a,0.3049723307291667,0,local_file,53.2881992203503,53.2881992203503,1,0,False,uav:sea_open,0.9982989739036245,0.9982989739036245,0.0,,,,,,,,,,,0,nan,True,clean|uav_sea_open|clean|rep0|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",0.0,0.0,,,,,,,,,0.9999999999999982,,
False,clean,,clean,nan,uav_sea_open,0,1.0,0.0,6,2943d27a8646b2b8,0.0,B0a,0.3070068359375,0,local_file,53.2593231510772,53.2593231510772,1,0,False,uav:sea_open,0.998371121735337,0.998371121735337,0.0,,,,,,,,,,,0,nan,True,clean|uav_sea_open|clean|rep0|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",0.0,0.0,,,,,,,,,0.9999999999999982,,
False,clean,,clean,nan,uav_sea_open,0,1.0,0.0,8,2943d27a8646b2b8,0.0,B0a,0.3076375325520833,0,local_file,53.250410414879006,53.250410414879006,1,0,False,uav:sea_open,0.9984525193389716,0.9984525193389716,0.0,,,,,,,,,,,0,nan,True,clean|uav_sea_open|clean|rep0|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",0.0,0.0,,,,,,,,,0.9999999999999982,,
False,clean,,clean,nan,uav_sea_open,0,1.0,0.0,10,2943d27a8646b2b8,0.0,B0a,0.3046061197916667,0,local_file,53.29341736440925,53.29341736440925,1,0,False,uav:sea_open,0.9985358094955105,0.9985358094955105,0.0,,,,,,,,,,,0,nan,True,clean|uav_sea_open|clean|rep0|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",0.0,0.0,,,,,,,,,0.9999999999999982,,
False,clean,,clean,nan,uav_sea_open,0,1.0,0.0,12,2943d27a8646b2b8,0.0,B0a,0.3058878580729167,0,local_file,53.27518122446773,53.27518122446773,1,0,False,uav:sea_open,0.9986195425097598,0.9986195425097598,0.0,,,,,,,,,,,0,nan,True,clean|uav_sea_open|clean|rep0|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",0.0,0.0,,,,,,,,,0.9999999999999982,,
False,clean,,clean,nan,uav_sea_open,0,1.0,0.0,14,2943d27a8646b2b8,0.0,B0a,0.3082478841145833,0,local_file,53.24180256688591,53.24180256688591,1,0,False,uav:sea_open,0.99867634066331,0.99867634066331,0.0,,,,,,,,,,,0,nan,True,clean|uav_sea_open|clean|rep0|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",0.0,0.0,,,,,,,,,0.9999999999999982,,
False,clean,,clean,nan,uav_sea_open,0,1.0,0.0,0,e42ee7a12c297f06,0.0,B0a,0.3120524088541667,0,local_file,53.18852821449696,53.18852821449696,1,1,False,uav:sea_open,0.9980867171186137,0.9980867171186137,0.0,,,,,,,,,,,0,nan,True,clean|uav_sea_open|clean|rep1|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",0.0,0.0,,,,,,,,,0.9999999999999982,,
False,clean,,clean,nan,uav_sea_open,0,1.0,0.0,2,e42ee7a12c297f06,0.0,B0a,0.3022257486979167,0,local_file,53.32748898743627,53.32748898743627,1,1,False,uav:sea_open,0.998241699683947,0.998241699683947,0.0,,,,,,,,,,,0,nan,True,clean|uav_sea_open|clean|rep1|seed20240909,0,0,0,0,False,,,"picture displayed, not verified",0.0,0.0,,,,,,,,,0.9999999999999982,,
