burst_len_lines,channel,coverage,gain,grid,method,n_scenes,noise_sigma,offset,psnr_full,psnr_full_sd
1,mild[noise_sigmaxburst_len_lines=0],1.0,,noise_x_burst,B0a-R,6,0,,29.1436598550991,1.6694617359028576
1,mild[noise_sigmaxburst_len_lines=0],1.0,,noise_x_burst,B4,6,0,,27.814705014858443,2.38756929112487
1,mild[noise_sigmaxburst_len_lines=0],1.0,,noise_x_burst,P,6,0,,25.481470859711024,2.4601562153399206
32,mild[noise_sigmaxburst_len_lines=10],1.0,,noise_x_burst,B0a-R,6,4,,29.017323172479404,1.4976300392346982
32,mild[noise_sigmaxburst_len_lines=10],1.0,,noise_x_burst,B4,6,4,,27.814705014858443,2.38756929112487
32,mild[noise_sigmaxburst_len_lines=10],1.0,,noise_x_burst,P,6,4,,25.481470859711024,2.4601562153399206
48,mild[noise_sigmaxburst_len_lines=11],1.0,,noise_x_burst,B0a-R,6,4,,29.012660392379868,1.4888461890422808
48,mild[noise_sigmaxburst_len_lines=11],1.0,,noise_x_burst,B4,6,4,,27.814705014858443,2.38756929112487
48,mild[noise_sigmaxburst_len_lines=11],1.0,,noise_x_burst,P,6,4,,25.481470859711024,2.4601562153399206
1,mild[noise_sigmaxburst_len_lines=12],1.0,,noise_x_burst,B0a-R,6,8,,28.301113021737834,1.166991920752512
1,mild[noise_sigmaxburst_len_lines=12],1.0,,noise_x_burst,B4,6,8,,27.814705014858443,2.38756929112487
1,mild[noise_sigmaxburst_len_lines=12],1.0,,noise_x_burst,P,6,8,,25.481470859711024,2.4601562153399206
4,mild[noise_sigmaxburst_len_lines=13],1.0,,noise_x_burst,B0a-R,6,8,,28.28016303486167,1.176917094990448
4,mild[noise_sigmaxburst_len_lines=13],1.0,,noise_x_burst,B4,6,8,,27.814705014858443,2.38756929112487
4,mild[noise_sigmaxburst_len_lines=13],1.0,,noise_x_burst,P,6,8,,25.481470859711024,2.4601562153399206
8,mild[noise_sigmaxburst_len_lines=14],1.0,,noise_x_burst,B0a-R,6,8,,28.269177954424674,1.168924922975882
8,mild[noise_sigmaxburst_len_lines=14],1.0,,noise_x_burst,B4,6,8,,27.814705014858443,2.38756929112487
8,mild[noise_sigmaxburst_len_lines=14],1.0,,noise_x_burst,P,6,8,,25.481470859711024,2.4601562153399206
16,mild[noise_sigmaxburst_len_lines=15],1.0,,noise_x_burst,B0a-R,6,8,,28.27754278486748,1.1693876876714377
16,mild[noise_sigmaxburst_len_lines=15],1.0,,noise_x_burst,B4,6,8,,27.814705014858443,2.38756929112487
16,mild[noise_sigmaxburst_len_lines=15],1.0,,noise_x_burst,P,6,8,,25.481470859711024,2.4601562153399206
32,mild[noise_sigmaxburst_len_lines=16],1.0,,noise_x_burst,B0a-R,6,8,,28.306520226642956,1.1782230767659139
32,mild[noise_sigmaxburst_len_lines=16],1.0,,noise_x_burst,B4,6,8,,27.814705014858443,2.38756929112487
32,mild[noise_sigmaxburst_len_lines=16],1.0,,noise_x_burst,P,6,8,,25.481470859711024,2.4601562153399206
48,mild[noise_sigmaxburst_len_lines=17],1.0,,noise_x_burst,B0a-R,6,8,,28.282112280224037,1.1629627673172267
48,mild[noise_sigmaxburst_len_lines=17],1.0,,noise_x_burst,B4,6,8,,27.814705014858443,2.38756929112487
48,mild[noise_sigmaxburst_len_lines=17],1.0,,noise_x_burst,P,6,8,,25.481470859711024,2.4601562153399206
1,mild[noise_sigmaxburst_len_lines=18],1.0,,noise_x_burst,B0a-R,6,12,,27.436823721894722,0.8195440023012724
1,mild[noise_sigmaxburst_len_lines=18],1.0,,noise_x_burst,B4,6,12,,27.814705014858443,2.38756929112487
1,mild[noise_sigmaxburst_len_lines=18],1.0,,noise_x_burst,P,6,12,,25.481470859711024,2.4601562153399206
4,mild[noise_sigmaxburst_len_lines=19],1.0,,noise_x_burst,B0a-R,6,12,,27.417920490437314,0.8266583578306888
4,mild[noise_sigmaxburst_len_lines=19],1.0,,noise_x_burst,B4,6,12,,27.814705014858443,2.38756929112487
4,mild[noise_sigmaxburst_len_lines=19],1.0,,noise_x_burst,P,6,12,,25.481470859711024,2.4601562153399206
4,mild[noise_sigmaxburst_len_lines=1],1.0,,noise_x_burst,B0a-R,6,0,,29.129303528802,1.6542883696192279
4,mild[noise_sigmaxburst_len_lines=1],1.0,,noise_x_burst,B4,6,0,,27.814705014858443,2.38756929112487
4,mild[noise_sigmaxburst_len_lines=1],1.0,,noise_x_burst,P,6,0,,25.481470859711024,2.4601562153399206
8,mild[noise_sigmaxburst_len_lines=20],1.0,,noise_x_burst,B0a-R,6,12,,27.41119723654208,0.819334202019049
8,mild[noise_sigmaxburst_len_lines=20],1.0,,noise_x_burst,B4,6,12,,27.814705014858443,2.38756929112487
8,mild[noise_sigmaxburst_len_lines=20],1.0,,noise_x_burst,P,6,12,,25.481470859711024,2.4601562153399206
16,mild[noise_sigmaxburst_len_lines=21],1.0,,noise_x_burst,B0a-R,6,12,,27.419768888289706,0.8355867051393088
