burst_lines,column_twist,descriptions_lost_in_one_stripe,fraction,n_burst_positions,n_descriptions,scheme,stripe_lost
1,1,0,0.0072,2,1,sequential,False
1,1,1,0.9928,276,1,sequential,True
2,1,0,0.0036,1,1,sequential,False
2,1,1,0.9964,276,1,sequential,True
4,1,1,1.0,276,1,sequential,True
8,1,1,1.0,274,1,sequential,True
16,1,1,1.0,270,1,sequential,True
24,1,1,1.0,266,1,sequential,True
32,1,1,1.0,262,1,sequential,True
48,1,1,1.0,254,1,sequential,True
64,1,1,1.0,246,1,sequential,True
1,1,0,0.0072,2,2,sequential,False
1,1,1,0.982,273,2,sequential,False
1,1,2,0.0108,3,2,sequential,True
2,1,0,0.0036,1,2,sequential,False
2,1,1,0.9747,270,2,sequential,False
2,1,2,0.0217,6,2,sequential,True
4,1,1,0.9674,267,2,sequential,False
4,1,2,0.0326,9,2,sequential,True
8,1,1,0.9453,259,2,sequential,False
8,1,2,0.0547,15,2,sequential,True
16,1,1,0.9,243,2,sequential,False
16,1,2,0.1,27,2,sequential,True
24,1,1,0.8534,227,2,sequential,False
24,1,2,0.1466,39,2,sequential,True
32,1,1,0.8053,211,2,sequential,False
32,1,2,0.1947,51,2,sequential,True
48,1,1,0.7047,179,2,sequential,False
48,1,2,0.2953,75,2,sequential,True
64,1,1,0.5976,147,2,sequential,False
64,1,2,0.4024,99,2,sequential,True
1,1,0,0.0072,2,4,sequential,False
1,1,1,0.9784,272,4,sequential,False
1,1,2,0.0144,4,4,sequential,False
2,1,0,0.0036,1,4,sequential,False
2,1,1,0.9675,268,4,sequential,False
2,1,2,0.0289,8,4,sequential,False
4,1,1,0.9565,264,4,sequential,False
4,1,2,0.0435,12,4,sequential,False
8,1,1,0.927,254,4,sequential,False
8,1,2,0.073,20,4,sequential,False
16,1,1,0.8667,234,4,sequential,False
16,1,2,0.1333,36,4,sequential,False
24,1,1,0.8045,214,4,sequential,False
24,1,2,0.1955,52,4,sequential,False
32,1,1,0.7405,194,4,sequential,False
32,1,2,0.2595,68,4,sequential,False
48,1,1,0.6063,154,4,sequential,False
48,1,2,0.3937,100,4,sequential,False
64,1,1,0.4634,114,4,sequential,False
64,1,2,0.5366,132,4,sequential,False
1,1,1,1.0,278,1,block-16,True
2,1,1,1.0,277,1,block-16,True
4,1,1,1.0,276,1,block-16,True
8,1,1,1.0,274,1,block-16,True
16,1,1,1.0,270,1,block-16,True
24,1,1,1.0,266,1,block-16,True
32,1,1,1.0,262,1,block-16,True
48,1,1,1.0,254,1,block-16,True
64,1,1,1.0,246,1,block-16,True
1,1,1,0.8273,230,2,block-16,False
1,1,2,0.1727,48,2,block-16,True
2,1,1,0.8159,226,2,block-16,False
2,1,2,0.1841,51,2,block-16,True
4,1,1,0.8043,222,2,block-16,False
4,1,2,0.1957,54,2,block-16,True
8,1,1,0.781,214,2,block-16,False
8,1,2,0.219,60,2,block-16,True
16,1,1,0.7333,198,2,block-16,False
16,1,2,0.2667,72,2,block-16,True
24,1,1,0.6842,182,2,block-16,False
24,1,2,0.3158,84,2,block-16,True
32,1,1,0.6336,166,2,block-16,False
32,1,2,0.3664,96,2,block-16,True
48,1,1,0.5276,134,2,block-16,False
48,1,2,0.4724,120,2,block-16,True
64,1,1,0.4146,102,2,block-16,False
64,1,2,0.5854,144,2,block-16,True
1,1,1,0.7698,214,4,block-16,False
1,1,2,0.2302,64,4,block-16,False
2,1,1,0.7545,209,4,block-16,False
2,1,2,0.2455,68,4,block-16,False
4,1,1,0.7391,204,4,block-16,False
4,1,2,0.2609,72,4,block-16,False
8,1,1,0.708,194,4,block-16,False
8,1,2,0.292,80,4,block-16,False
16,1,1,0.6444,174,4,block-16,False
16,1,2,0.3556,96,4,block-16,False
24,1,1,0.5789,154,4,block-16,False
24,1,2,0.4211,112,4,block-16,False
32,1,1,0.5115,134,4,block-16,False
32,1,2,0.4885,128,4,block-16,False
48,1,1,0.3701,94,4,block-16,False
48,1,2,0.6299,160,4,block-16,False
64,1,1,0.2195,54,4,block-16,False
64,1,2,0.7805,192,4,block-16,False
1,1,1,1.0,278,1,block-64,True
2,1,1,1.0,277,1,block-64,True
4,1,1,1.0,276,1,block-64,True
8,1,1,1.0,274,1,block-64,True
16,1,1,1.0,270,1,block-64,True
24,1,1,1.0,266,1,block-64,True
32,1,1,1.0,262,1,block-64,True
48,1,1,1.0,254,1,block-64,True
64,1,1,1.0,246,1,block-64,True
1,1,1,0.3094,86,2,block-64,False
1,1,2,0.6906,192,2,block-64,True
2,1,1,0.3032,84,2,block-64,False
2,1,2,0.6968,193,2,block-64,True
4,1,1,0.2971,82,2,block-64,False
4,1,2,0.7029,194,2,block-64,True
8,1,1,0.2847,78,2,block-64,False
8,1,2,0.7153,196,2,block-64,True
16,1,1,0.2593,70,2,block-64,False
16,1,2,0.7407,200,2,block-64,True
24,1,1,0.2331,62,2,block-64,False
24,1,2,0.7669,204,2,block-64,True
32,1,1,0.2061,54,2,block-64,False
32,1,2,0.7939,208,2,block-64,True
48,1,1,0.1575,40,2,block-64,False
48,1,2,0.8425,214,2,block-64,True
64,1,1,0.1301,32,2,block-64,False
64,1,2,0.8699,214,2,block-64,True
1,1,1,0.0791,22,4,block-64,False
1,1,2,0.9209,256,4,block-64,False
2,1,1,0.0758,21,4,block-64,False
2,1,2,0.917,254,4,block-64,False
2,1,3,0.0072,2,4,block-64,False
4,1,1,0.0725,20,4,block-64,False
4,1,2,0.913,252,4,block-64,False
4,1,3,0.0145,4,4,block-64,False
8,1,1,0.0657,18,4,block-64,False
8,1,2,0.9051,248,4,block-64,False
8,1,3,0.0292,8,4,block-64,False
16,1,1,0.0519,14,4,block-64,False
16,1,2,0.8889,240,4,block-64,False
16,1,3,0.0593,16,4,block-64,False
24,1,1,0.0376,10,4,block-64,False
24,1,2,0.8722,232,4,block-64,False
24,1,3,0.0902,24,4,block-64,False
32,1,1,0.0229,6,4,block-64,False
32,1,2,0.855,224,4,block-64,False
32,1,3,0.1221,32,4,block-64,False
48,1,2,0.811,206,4,block-64,False
48,1,3,0.189,48,4,block-64,False
64,1,2,0.7398,182,4,block-64,False
64,1,3,0.2602,64,4,block-64,False
1,1,1,1.0,278,1,block-278,True
2,1,1,1.0,277,1,block-278,True
4,1,1,1.0,276,1,block-278,True
8,1,1,1.0,274,1,block-278,True
16,1,1,1.0,270,1,block-278,True
24,1,1,1.0,266,1,block-278,True
32,1,1,1.0,262,1,block-278,True
48,1,1,1.0,254,1,block-278,True
64,1,1,1.0,246,1,block-278,True
1,1,2,1.0,278,2,block-278,True
2,1,2,1.0,277,2,block-278,True
4,1,2,1.0,276,2,block-278,True
8,1,2,1.0,274,2,block-278,True
16,1,2,1.0,270,2,block-278,True
24,1,2,1.0,266,2,block-278,True
32,1,2,1.0,262,2,block-278,True
48,1,2,1.0,254,2,block-278,True
64,1,2,1.0,246,2,block-278,True
1,1,4,1.0,278,4,block-278,True
2,1,4,1.0,277,4,block-278,True
4,1,4,1.0,276,4,block-278,True
8,1,4,1.0,274,4,block-278,True
16,1,4,1.0,270,4,block-278,True
24,1,4,1.0,266,4,block-278,True
32,1,4,1.0,262,4,block-278,True
48,1,4,1.0,254,4,block-278,True
64,1,4,1.0,246,4,block-278,True
1,1,1,1.0,278,1,diagonal-64,True
2,1,1,1.0,277,1,diagonal-64,True
4,1,1,1.0,276,1,diagonal-64,True
8,1,1,1.0,274,1,diagonal-64,True
16,1,1,1.0,270,1,diagonal-64,True
24,1,1,1.0,266,1,diagonal-64,True
32,1,1,1.0,262,1,diagonal-64,True
48,1,1,1.0,254,1,diagonal-64,True
64,1,1,1.0,246,1,diagonal-64,True
1,1,2,1.0,278,2,diagonal-64,True
2,1,2,1.0,277,2,diagonal-64,True
4,1,2,1.0,276,2,diagonal-64,True
8,1,2,1.0,274,2,diagonal-64,True
16,1,2,1.0,270,2,diagonal-64,True
24,1,2,1.0,266,2,diagonal-64,True
32,1,2,1.0,262,2,diagonal-64,True
48,1,2,1.0,254,2,diagonal-64,True
64,1,2,1.0,246,2,diagonal-64,True
1,1,4,1.0,278,4,diagonal-64,True
2,1,4,1.0,277,4,diagonal-64,True
4,1,4,1.0,276,4,diagonal-64,True
8,1,4,1.0,274,4,diagonal-64,True
16,1,4,1.0,270,4,diagonal-64,True
24,1,4,1.0,266,4,diagonal-64,True
32,1,4,1.0,262,4,diagonal-64,True
48,1,4,1.0,254,4,diagonal-64,True
64,1,4,1.0,246,4,diagonal-64,True
1,1,1,1.0,278,1,random-64,True
2,1,1,1.0,277,1,random-64,True
4,1,1,1.0,276,1,random-64,True
8,1,1,1.0,274,1,random-64,True
16,1,1,1.0,270,1,random-64,True
24,1,1,1.0,266,1,random-64,True
32,1,1,1.0,262,1,random-64,True
48,1,1,1.0,254,1,random-64,True
64,1,1,1.0,246,1,random-64,True
1,1,2,1.0,278,2,random-64,True
2,1,2,1.0,277,2,random-64,True
4,1,2,1.0,276,2,random-64,True
8,1,2,1.0,274,2,random-64,True
16,1,2,1.0,270,2,random-64,True
24,1,2,1.0,266,2,random-64,True
32,1,2,1.0,262,2,random-64,True
48,1,2,1.0,254,2,random-64,True
64,1,2,1.0,246,2,random-64,True
1,1,4,1.0,278,4,random-64,True
2,1,4,1.0,277,4,random-64,True
4,1,4,1.0,276,4,random-64,True
8,1,4,1.0,274,4,random-64,True
16,1,4,1.0,270,4,random-64,True
24,1,4,1.0,266,4,random-64,True
32,1,4,1.0,262,4,random-64,True
48,1,4,1.0,254,4,random-64,True
64,1,4,1.0,246,4,random-64,True
1,0,1,1.0,278,1,bawp-8,True
2,0,1,1.0,277,1,bawp-8,True
4,0,1,1.0,276,1,bawp-8,True
8,0,1,1.0,274,1,bawp-8,True
16,0,1,1.0,270,1,bawp-8,True
24,0,1,1.0,266,1,bawp-8,True
32,0,1,1.0,262,1,bawp-8,True
48,0,1,1.0,254,1,bawp-8,True
64,0,1,1.0,246,1,bawp-8,True
1,1,1,1.0,278,1,bawp-8,True
2,1,1,1.0,277,1,bawp-8,True
4,1,1,1.0,276,1,bawp-8,True
8,1,1,1.0,274,1,bawp-8,True
16,1,1,1.0,270,1,bawp-8,True
24,1,1,1.0,266,1,bawp-8,True
32,1,1,1.0,262,1,bawp-8,True
48,1,1,1.0,254,1,bawp-8,True
64,1,1,1.0,246,1,bawp-8,True
1,3,1,1.0,278,1,bawp-8,True
2,3,1,1.0,277,1,bawp-8,True
4,3,1,1.0,276,1,bawp-8,True
8,3,1,1.0,274,1,bawp-8,True
16,3,1,1.0,270,1,bawp-8,True
24,3,1,1.0,266,1,bawp-8,True
32,3,1,1.0,262,1,bawp-8,True
48,3,1,1.0,254,1,bawp-8,True
64,3,1,1.0,246,1,bawp-8,True
1,0,1,1.0,278,2,bawp-8,False
2,0,1,0.9964,276,2,bawp-8,False
2,0,2,0.0036,1,2,bawp-8,True
4,0,1,0.9928,274,2,bawp-8,False
4,0,2,0.0072,2,2,bawp-8,True
8,0,1,0.9854,270,2,bawp-8,False
8,0,2,0.0146,4,2,bawp-8,True
16,0,1,0.9704,262,2,bawp-8,False
16,0,2,0.0296,8,2,bawp-8,True
24,0,1,0.9549,254,2,bawp-8,False
24,0,2,0.0451,12,2,bawp-8,True
32,0,1,0.9389,246,2,bawp-8,False
32,0,2,0.0611,16,2,bawp-8,True
48,0,1,0.9055,230,2,bawp-8,False
48,0,2,0.0945,24,2,bawp-8,True
64,0,1,0.8699,214,2,bawp-8,False
64,0,2,0.1301,32,2,bawp-8,True
1,1,1,1.0,278,2,bawp-8,False
2,1,1,0.9964,276,2,bawp-8,False
2,1,2,0.0036,1,2,bawp-8,True
4,1,1,0.9928,274,2,bawp-8,False
4,1,2,0.0072,2,2,bawp-8,True
8,1,1,0.9854,270,2,bawp-8,False
8,1,2,0.0146,4,2,bawp-8,True
16,1,1,0.9704,262,2,bawp-8,False
16,1,2,0.0296,8,2,bawp-8,True
24,1,1,0.9549,254,2,bawp-8,False
24,1,2,0.0451,12,2,bawp-8,True
32,1,1,0.9389,246,2,bawp-8,False
32,1,2,0.0611,16,2,bawp-8,True
48,1,1,0.9055,230,2,bawp-8,False
48,1,2,0.0945,24,2,bawp-8,True
64,1,1,0.8699,214,2,bawp-8,False
64,1,2,0.1301,32,2,bawp-8,True
1,3,1,1.0,278,2,bawp-8,False
2,3,1,0.9964,276,2,bawp-8,False
2,3,2,0.0036,1,2,bawp-8,True
4,3,1,0.9928,274,2,bawp-8,False
4,3,2,0.0072,2,2,bawp-8,True
8,3,1,0.9854,270,2,bawp-8,False
8,3,2,0.0146,4,2,bawp-8,True
16,3,1,0.9704,262,2,bawp-8,False
16,3,2,0.0296,8,2,bawp-8,True
24,3,1,0.9549,254,2,bawp-8,False
24,3,2,0.0451,12,2,bawp-8,True
32,3,1,0.9389,246,2,bawp-8,False
32,3,2,0.0611,16,2,bawp-8,True
48,3,1,0.9055,230,2,bawp-8,False
48,3,2,0.0945,24,2,bawp-8,True
64,3,1,0.8699,214,2,bawp-8,False
64,3,2,0.1301,32,2,bawp-8,True
1,0,1,1.0,278,4,bawp-8,False
2,0,1,0.9892,274,4,bawp-8,False
2,0,2,0.0108,3,4,bawp-8,False
4,0,1,0.9783,270,4,bawp-8,False
4,0,2,0.0217,6,4,bawp-8,False
8,0,1,0.9562,262,4,bawp-8,False
8,0,2,0.0438,12,4,bawp-8,False
16,0,1,0.9111,246,4,bawp-8,False
16,0,2,0.0889,24,4,bawp-8,False
24,0,1,0.8647,230,4,bawp-8,False
24,0,2,0.1353,36,4,bawp-8,False
32,0,1,0.8168,214,4,bawp-8,False
32,0,2,0.1832,48,4,bawp-8,False
48,0,1,0.7165,182,4,bawp-8,False
48,0,2,0.2835,72,4,bawp-8,False
64,0,1,0.6098,150,4,bawp-8,False
64,0,2,0.3902,96,4,bawp-8,False
1,1,1,1.0,278,4,bawp-8,False
2,1,1,0.9892,274,4,bawp-8,False
2,1,2,0.0108,3,4,bawp-8,False
4,1,1,0.9783,270,4,bawp-8,False
4,1,2,0.0217,6,4,bawp-8,False
8,1,1,0.9562,262,4,bawp-8,False
8,1,2,0.0438,12,4,bawp-8,False
16,1,1,0.9111,246,4,bawp-8,False
16,1,2,0.0889,24,4,bawp-8,False
24,1,1,0.8647,230,4,bawp-8,False
24,1,2,0.1353,36,4,bawp-8,False
32,1,1,0.8168,214,4,bawp-8,False
32,1,2,0.1832,48,4,bawp-8,False
48,1,1,0.7165,182,4,bawp-8,False
48,1,2,0.2835,72,4,bawp-8,False
64,1,1,0.6098,150,4,bawp-8,False
64,1,2,0.3902,96,4,bawp-8,False
1,3,1,1.0,278,4,bawp-8,False
2,3,1,0.9892,274,4,bawp-8,False
2,3,2,0.0108,3,4,bawp-8,False
4,3,1,0.9783,270,4,bawp-8,False
4,3,2,0.0217,6,4,bawp-8,False
8,3,1,0.9562,262,4,bawp-8,False
8,3,2,0.0438,12,4,bawp-8,False
16,3,1,0.9111,246,4,bawp-8,False
16,3,2,0.0889,24,4,bawp-8,False
24,3,1,0.8647,230,4,bawp-8,False
24,3,2,0.1353,36,4,bawp-8,False
32,3,1,0.8168,214,4,bawp-8,False
32,3,2,0.1832,48,4,bawp-8,False
48,3,1,0.7165,182,4,bawp-8,False
48,3,2,0.2835,72,4,bawp-8,False
64,3,1,0.6098,150,4,bawp-8,False
64,3,2,0.3902,96,4,bawp-8,False
1,0,1,1.0,278,1,bawp-16,True
2,0,1,1.0,277,1,bawp-16,True
4,0,1,1.0,276,1,bawp-16,True
8,0,1,1.0,274,1,bawp-16,True
16,0,1,1.0,270,1,bawp-16,True
24,0,1,1.0,266,1,bawp-16,True
32,0,1,1.0,262,1,bawp-16,True
48,0,1,1.0,254,1,bawp-16,True
64,0,1,1.0,246,1,bawp-16,True
1,1,1,1.0,278,1,bawp-16,True
2,1,1,1.0,277,1,bawp-16,True
4,1,1,1.0,276,1,bawp-16,True
8,1,1,1.0,274,1,bawp-16,True
16,1,1,1.0,270,1,bawp-16,True
24,1,1,1.0,266,1,bawp-16,True
32,1,1,1.0,262,1,bawp-16,True
48,1,1,1.0,254,1,bawp-16,True
64,1,1,1.0,246,1,bawp-16,True
1,3,1,1.0,278,1,bawp-16,True
2,3,1,1.0,277,1,bawp-16,True
4,3,1,1.0,276,1,bawp-16,True
8,3,1,1.0,274,1,bawp-16,True
16,3,1,1.0,270,1,bawp-16,True
24,3,1,1.0,266,1,bawp-16,True
32,3,1,1.0,262,1,bawp-16,True
48,3,1,1.0,254,1,bawp-16,True
64,3,1,1.0,246,1,bawp-16,True
1,0,1,1.0,278,2,bawp-16,False
2,0,1,0.9964,276,2,bawp-16,False
2,0,2,0.0036,1,2,bawp-16,True
4,0,1,0.9928,274,2,bawp-16,False
4,0,2,0.0072,2,2,bawp-16,True
8,0,1,0.9854,270,2,bawp-16,False
8,0,2,0.0146,4,2,bawp-16,True
16,0,1,0.9704,262,2,bawp-16,False
16,0,2,0.0296,8,2,bawp-16,True
24,0,1,0.9549,254,2,bawp-16,False
24,0,2,0.0451,12,2,bawp-16,True
32,0,1,0.9389,246,2,bawp-16,False
32,0,2,0.0611,16,2,bawp-16,True
48,0,1,0.9055,230,2,bawp-16,False
48,0,2,0.0945,24,2,bawp-16,True
64,0,1,0.8699,214,2,bawp-16,False
64,0,2,0.1301,32,2,bawp-16,True
1,1,1,1.0,278,2,bawp-16,False
2,1,1,0.9964,276,2,bawp-16,False
2,1,2,0.0036,1,2,bawp-16,True
4,1,1,0.9928,274,2,bawp-16,False
4,1,2,0.0072,2,2,bawp-16,True
8,1,1,0.9854,270,2,bawp-16,False
8,1,2,0.0146,4,2,bawp-16,True
16,1,1,0.9704,262,2,bawp-16,False
16,1,2,0.0296,8,2,bawp-16,True
24,1,1,0.9549,254,2,bawp-16,False
24,1,2,0.0451,12,2,bawp-16,True
32,1,1,0.9389,246,2,bawp-16,False
32,1,2,0.0611,16,2,bawp-16,True
48,1,1,0.9055,230,2,bawp-16,False
48,1,2,0.0945,24,2,bawp-16,True
64,1,1,0.8699,214,2,bawp-16,False
64,1,2,0.1301,32,2,bawp-16,True
1,3,1,1.0,278,2,bawp-16,False
2,3,1,0.9964,276,2,bawp-16,False
2,3,2,0.0036,1,2,bawp-16,True
4,3,1,0.9928,274,2,bawp-16,False
4,3,2,0.0072,2,2,bawp-16,True
8,3,1,0.9854,270,2,bawp-16,False
8,3,2,0.0146,4,2,bawp-16,True
16,3,1,0.9704,262,2,bawp-16,False
16,3,2,0.0296,8,2,bawp-16,True
24,3,1,0.9549,254,2,bawp-16,False
24,3,2,0.0451,12,2,bawp-16,True
32,3,1,0.9389,246,2,bawp-16,False
32,3,2,0.0611,16,2,bawp-16,True
48,3,1,0.9055,230,2,bawp-16,False
48,3,2,0.0945,24,2,bawp-16,True
64,3,1,0.8699,214,2,bawp-16,False
64,3,2,0.1301,32,2,bawp-16,True
1,0,1,1.0,278,4,bawp-16,False
2,0,1,0.9892,274,4,bawp-16,False
2,0,2,0.0108,3,4,bawp-16,False
4,0,1,0.9783,270,4,bawp-16,False
4,0,2,0.0217,6,4,bawp-16,False
8,0,1,0.9562,262,4,bawp-16,False
8,0,2,0.0438,12,4,bawp-16,False
16,0,1,0.9111,246,4,bawp-16,False
16,0,2,0.0889,24,4,bawp-16,False
24,0,1,0.8647,230,4,bawp-16,False
24,0,2,0.1353,36,4,bawp-16,False
32,0,1,0.8168,214,4,bawp-16,False
32,0,2,0.1832,48,4,bawp-16,False
48,0,1,0.7165,182,4,bawp-16,False
48,0,2,0.2835,72,4,bawp-16,False
64,0,1,0.6098,150,4,bawp-16,False
64,0,2,0.3902,96,4,bawp-16,False
1,1,1,1.0,278,4,bawp-16,False
2,1,1,0.9892,274,4,bawp-16,False
2,1,2,0.0108,3,4,bawp-16,False
4,1,1,0.9783,270,4,bawp-16,False
4,1,2,0.0217,6,4,bawp-16,False
8,1,1,0.9562,262,4,bawp-16,False
8,1,2,0.0438,12,4,bawp-16,False
16,1,1,0.9111,246,4,bawp-16,False
