a,b,channel,diffs,equivalence_hi90,equivalence_lo90,equivalence_margin,equivalence_verdict,equivalent,family_label,hi,holm_note,in_family,is_primary,lo,mean,method,metric,n_boot,n_diffs,n_scenes,n_scenes_dropped,n_units,n_units_dropped,p_bootstrap,p_holm,p_raw,p_source,p_wilcoxon,scenes_only_in_a,scenes_only_in_b,significant_at_95,significant_holm,unit_of_independence,units,units_only_in_a,units_only_in_b
B0a,B0a-R,bursty,-5.088169;-5.154566;-4.687633;-5.671361;-4.908117;-4.497626;-5.497914;-5.226554;-4.610237;-4.586081;-4.891030;-5.656609;-5.670763;-5.088402;-4.768735;-5.244691;-4.677681,-4.904212137737378,-5.212001894257699,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-5.21; -4.90]): різниця просто не встановлена,False,exploratory,-4.87701804120699,поза наперед оголошеною сім'єю; не коригується,False,False,-5.243347680759578,-5.054480568403917,paired cluster bootstrap over scenes,psnr_full,10000,17,17,0,17,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",1.52587890625e-05,,,True,False,scene,uav:cal_canopy_mix;uav:cal_dune_flat;uav:cal_sea_edge;uav:cal_water_east;uav:dune_fast;uav:dune_forest_edge;uav:dune_ridge;uav:forest_canopy;uav:forest_fast;uav:sea_open;uav:shoreline;uav:sky_horizon;uav:spit_far;uav:val_coast_curve;uav:val_sand_texture;uav:val_treeline;uav:village,,
B0a,B0d,bursty,-5.998045;-12.829216;-7.086285;-11.364899;-7.827775;-8.370540;-9.641371;-4.921951;-6.135408;-5.122412;-5.298439;-5.005858;-6.288982;-6.042826;-12.078226;-6.911473;-5.243274,-6.467090711913088,-8.462490239455798,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-8.46; -6.47]): різниця просто не встановлена,False,exploratory,-6.315837978816285,поза наперед оголошеною сім'єю; не коригується,False,False,-8.694106462134139,-7.421587066868138,paired cluster bootstrap over scenes,psnr_full,10000,17,17,0,17,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",1.52587890625e-05,,,True,False,scene,uav:cal_canopy_mix;uav:cal_dune_flat;uav:cal_sea_edge;uav:cal_water_east;uav:dune_fast;uav:dune_forest_edge;uav:dune_ridge;uav:forest_canopy;uav:forest_fast;uav:sea_open;uav:shoreline;uav:sky_horizon;uav:spit_far;uav:val_coast_curve;uav:val_sand_texture;uav:val_treeline;uav:village,,
B0a,B1,bursty,0.255649;0.002772;0.088779;0.168567;0.131245;0.146526;0.063585;0.173547;0.078289;0.144775;0.093554;0.111924;0.092439;0.069710;0.013259;0.042017;-0.006819,0.1248147977606158,0.0725375907093813,0.5,еквівалентність у межах ±0.5 показана (90% CI [+0.07; +0.12]),True,exploratory,0.13014023791713442,поза наперед оголошеною сім'єю; не коригується,False,False,0.06738179494692664,0.098224625646283,paired cluster bootstrap over scenes,psnr_full,10000,17,17,0,17,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",4.57763671875e-05,,,True,False,scene,uav:cal_canopy_mix;uav:cal_dune_flat;uav:cal_sea_edge;uav:cal_water_east;uav:dune_fast;uav:dune_forest_edge;uav:dune_ridge;uav:forest_canopy;uav:forest_fast;uav:sea_open;uav:shoreline;uav:sky_horizon;uav:spit_far;uav:val_coast_curve;uav:val_sand_texture;uav:val_treeline;uav:village,,
B0a,B2,bursty,0.342152;0.003652;0.097139;0.166358;0.045774;0.057336;0.046914;-0.007074;0.080547;0.020282;0.059282;0.068838;0.102948;0.119603;0.040956;-0.039229;0.018722,0.10735155504641546,0.042070227414084845,0.5,еквівалентність у межах ±0.5 показана (90% CI [+0.04; +0.11]),True,exploratory,0.115078026554264,поза наперед оголошеною сім'єю; не коригується,False,False,0.03736846728779247,0.07201170759845651,paired cluster bootstrap over scenes,psnr_full,10000,17,17,0,17,0,0.0011998800119988001,nan,0.0011998800119988001,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",0.0002899169921875,,,True,False,scene,uav:cal_canopy_mix;uav:cal_dune_flat;uav:cal_sea_edge;uav:cal_water_east;uav:dune_fast;uav:dune_forest_edge;uav:dune_ridge;uav:forest_canopy;uav:forest_fast;uav:sea_open;uav:shoreline;uav:sky_horizon;uav:spit_far;uav:val_coast_curve;uav:val_sand_texture;uav:val_treeline;uav:village,,
B0a,B3,bursty,-11.148777;-16.945618;-10.191997;-16.957098;-13.191289;-12.997700;-15.628430;-10.710333;-10.199606;-10.032457;-10.129806;-12.295435;-11.510475;-11.396781;-15.322988;-9.689336;-9.061134,-11.244947703176774,-13.231737046960607,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-13.23; -11.24]): різниця просто не встановлена,False,exploratory,-11.083025329190239,поза наперед оголошеною сім'єю; не коригується,False,False,-13.430377647046596,-12.200544715362744,paired cluster bootstrap over scenes,psnr_full,10000,17,17,0,17,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",1.52587890625e-05,,,True,False,scene,uav:cal_canopy_mix;uav:cal_dune_flat;uav:cal_sea_edge;uav:cal_water_east;uav:dune_fast;uav:dune_forest_edge;uav:dune_ridge;uav:forest_canopy;uav:forest_fast;uav:sea_open;uav:shoreline;uav:sky_horizon;uav:spit_far;uav:val_coast_curve;uav:val_sand_texture;uav:val_treeline;uav:village,,
B0a,B4,bursty,-5.973347;-13.040338;-7.131342;-11.188100;-7.637161;-8.390985;-9.449027;-4.966826;-6.261259;-4.885951;-5.374182;-4.746247;-6.255388;-6.132082;-12.102829;-6.854850;-5.204414,-6.424389660347796,-8.44630667997378,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-8.45; -6.42]): різниця просто не встановлена,False,exploratory,-6.272275853852021,поза наперед оголошеною сім'єю; не коригується,False,False,-8.671358874536612,-7.3879017516845185,paired cluster bootstrap over scenes,psnr_full,10000,17,17,0,17,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",1.52587890625e-05,,,True,False,scene,uav:cal_canopy_mix;uav:cal_dune_flat;uav:cal_sea_edge;uav:cal_water_east;uav:dune_fast;uav:dune_forest_edge;uav:dune_ridge;uav:forest_canopy;uav:forest_fast;uav:sea_open;uav:shoreline;uav:sky_horizon;uav:spit_far;uav:val_coast_curve;uav:val_sand_texture;uav:val_treeline;uav:village,,
B0a,B4t,bursty,-7.479077;-13.821149;-7.722275;-11.846763;-10.016601;-9.686157;-12.895298;-7.026589;-7.486479;-7.202090;-7.368498;-8.372227;-9.153873;-7.517708;-12.938173;-7.408416;-6.066182,-8.160431238263874,-10.032976095758357,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-10.03; -8.16]): різниця просто не встановлена,False,exploratory,-8.029088712088978,поза наперед оголошеною сім'єю; не коригується,False,False,-10.22139436935363,-9.059267954656596,paired cluster bootstrap over scenes,psnr_full,10000,17,17,0,17,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",1.52587890625e-05,,,True,False,scene,uav:cal_canopy_mix;uav:cal_dune_flat;uav:cal_sea_edge;uav:cal_water_east;uav:dune_fast;uav:dune_forest_edge;uav:dune_ridge;uav:forest_canopy;uav:forest_fast;uav:sea_open;uav:shoreline;uav:sky_horizon;uav:spit_far;uav:val_coast_curve;uav:val_sand_texture;uav:val_treeline;uav:village,,
B0a,P,bursty,-6.932886;-13.341815;-7.115427;-11.641741;-8.583123;-8.112966;-11.273045;-6.597645;-6.592624;-6.523806;-6.466863;-8.370011;-8.210421;-6.706614;-12.041737;-6.835202;-5.665320,-7.438425294836997,-9.236279119474483,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-9.24; -7.44]): різниця просто не встановлена,False,exploratory,-7.313420159195072,поза наперед оголошеною сім'єю; не коригується,False,False,-9.426748394669907,-8.294779281487948,paired cluster bootstrap over scenes,psnr_full,10000,17,17,0,17,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",1.52587890625e-05,,,True,False,scene,uav:cal_canopy_mix;uav:cal_dune_flat;uav:cal_sea_edge;uav:cal_water_east;uav:dune_fast;uav:dune_forest_edge;uav:dune_ridge;uav:forest_canopy;uav:forest_fast;uav:sea_open;uav:shoreline;uav:sky_horizon;uav:spit_far;uav:val_coast_curve;uav:val_sand_texture;uav:val_treeline;uav:village,,
B0a-R,B0d,bursty,-0.909877;-7.674649;-2.398651;-5.693538;-2.919658;-3.872914;-4.143457;0.304603;-1.525171;-0.536331;-0.407409;0.650751;-0.618218;-0.954424;-7.309491;-1.666782;-0.565593,-1.4182944889124895,-3.4053974017519733,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-3.41; -1.42]): різниця просто не встановлена,False,exploratory,-1.2676125173154704,поза наперед оголошеною сім'єю; не коригується,False,False,-3.626148173823518,-2.367106498464222,paired cluster bootstrap over scenes,psnr_full,10000,17,17,0,17,0,0.00019998000199980003,nan,0.00019998000199980003,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",0.0002899169921875,,,True,False,scene,uav:cal_canopy_mix;uav:cal_dune_flat;uav:cal_sea_edge;uav:cal_water_east;uav:dune_fast;uav:dune_forest_edge;uav:dune_ridge;uav:forest_canopy;uav:forest_fast;uav:sea_open;uav:shoreline;uav:sky_horizon;uav:spit_far;uav:val_coast_curve;uav:val_sand_texture;uav:val_treeline;uav:village,,
B0a-R,B1,bursty,5.343818;5.157339;4.776412;5.839928;5.039362;4.644152;5.561499;5.400101;4.688526;4.730856;4.984584;5.768533;5.763202;5.158112;4.781993;5.286708;4.670862,5.315698362281223,4.99689460722757,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [+5.00; +5.32]): різниця просто не встановлена,False,exploratory,5.34726495673473,поза наперед оголошеною сім'єю; не коригується,False,False,4.969115429322955,5.1527051940502,paired cluster bootstrap over scenes,psnr_full,10000,17,17,0,17,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",1.52587890625e-05,,,True,False,scene,uav:cal_canopy_mix;uav:cal_dune_flat;uav:cal_sea_edge;uav:cal_water_east;uav:dune_fast;uav:dune_forest_edge;uav:dune_ridge;uav:forest_canopy;uav:forest_fast;uav:sea_open;uav:shoreline;uav:sky_horizon;uav:spit_far;uav:val_coast_curve;uav:val_sand_texture;uav:val_treeline;uav:village,,
