censored,clip,criterion,degraded_during_impairment,method,min_coverage_during,n_frames_observed,recovery_frames,repetition,scenario
False,clip_horizon_fast_v3,coverage >= 0.9,False,B0a-R,1.0,20,-1,0,clean_burst_clean
False,clip_horizon_fast_v3,coverage >= 0.9,False,B0a-R,1.0,20,-1,1,clean_burst_clean
False,clip_horizon_fast_v3,coverage >= 0.9,False,B0a-R,1.0,20,-1,2,clean_burst_clean
False,clip_horizon_slow_v0,coverage >= 0.9,False,B0a-R,1.0,20,-1,0,clean_burst_clean
False,clip_horizon_slow_v0,coverage >= 0.9,False,B0a-R,1.0,20,-1,1,clean_burst_clean
False,clip_horizon_slow_v0,coverage >= 0.9,False,B0a-R,1.0,20,-1,2,clean_burst_clean
False,clip_road_fast_v5,coverage >= 0.9,False,B0a-R,1.0,20,-1,0,clean_burst_clean
False,clip_road_fast_v5,coverage >= 0.9,False,B0a-R,1.0,20,-1,1,clean_burst_clean
False,clip_road_fast_v5,coverage >= 0.9,False,B0a-R,1.0,20,-1,2,clean_burst_clean
False,clip_road_slow_v0,coverage >= 0.9,False,B0a-R,1.0,20,-1,0,clean_burst_clean
False,clip_road_slow_v0,coverage >= 0.9,False,B0a-R,1.0,20,-1,1,clean_burst_clean
False,clip_road_slow_v0,coverage >= 0.9,False,B0a-R,1.0,20,-1,2,clean_burst_clean
False,clip_horizon_fast_v3,coverage >= 0.9,True,B4,0.0,20,0,0,clean_burst_clean
False,clip_horizon_fast_v3,coverage >= 0.9,True,B4,0.0,20,0,1,clean_burst_clean
False,clip_horizon_fast_v3,coverage >= 0.9,True,B4,0.0,20,0,2,clean_burst_clean
False,clip_horizon_slow_v0,coverage >= 0.9,True,B4,0.0,20,0,0,clean_burst_clean
False,clip_horizon_slow_v0,coverage >= 0.9,True,B4,0.0,20,0,1,clean_burst_clean
False,clip_horizon_slow_v0,coverage >= 0.9,True,B4,0.0,20,0,2,clean_burst_clean
False,clip_road_fast_v5,coverage >= 0.9,True,B4,0.0,20,0,0,clean_burst_clean
False,clip_road_fast_v5,coverage >= 0.9,True,B4,0.0,20,0,1,clean_burst_clean
False,clip_road_fast_v5,coverage >= 0.9,True,B4,0.0,20,0,2,clean_burst_clean
False,clip_road_slow_v0,coverage >= 0.9,True,B4,0.0,20,0,0,clean_burst_clean
False,clip_road_slow_v0,coverage >= 0.9,True,B4,0.0,20,0,1,clean_burst_clean
False,clip_road_slow_v0,coverage >= 0.9,True,B4,0.0,20,0,2,clean_burst_clean
False,clip_horizon_fast_v3,coverage >= 0.9,True,P,0.0,20,0,0,clean_burst_clean
False,clip_horizon_fast_v3,coverage >= 0.9,True,P,0.0,20,0,1,clean_burst_clean
False,clip_horizon_fast_v3,coverage >= 0.9,True,P,0.0,20,0,2,clean_burst_clean
False,clip_horizon_slow_v0,coverage >= 0.9,True,P,0.0,20,0,0,clean_burst_clean
False,clip_horizon_slow_v0,coverage >= 0.9,True,P,0.0,20,0,1,clean_burst_clean
False,clip_horizon_slow_v0,coverage >= 0.9,True,P,0.0,20,0,2,clean_burst_clean
False,clip_road_fast_v5,coverage >= 0.9,True,P,0.0,20,0,0,clean_burst_clean
False,clip_road_fast_v5,coverage >= 0.9,True,P,0.0,20,0,1,clean_burst_clean
False,clip_road_fast_v5,coverage >= 0.9,True,P,0.0,20,0,2,clean_burst_clean
False,clip_road_slow_v0,coverage >= 0.9,True,P,0.0,20,0,0,clean_burst_clean
False,clip_road_slow_v0,coverage >= 0.9,True,P,0.0,20,0,1,clean_burst_clean
False,clip_road_slow_v0,coverage >= 0.9,True,P,0.0,20,0,2,clean_burst_clean
False,clip_horizon_fast_v3,coverage >= 0.9,False,B0a-R,1.0,20,-1,0,degrade_recover
False,clip_horizon_fast_v3,coverage >= 0.9,False,B0a-R,1.0,20,-1,1,degrade_recover
False,clip_horizon_fast_v3,coverage >= 0.9,False,B0a-R,1.0,20,-1,2,degrade_recover
False,clip_horizon_slow_v0,coverage >= 0.9,False,B0a-R,1.0,20,-1,0,degrade_recover
False,clip_horizon_slow_v0,coverage >= 0.9,False,B0a-R,1.0,20,-1,1,degrade_recover
False,clip_horizon_slow_v0,coverage >= 0.9,False,B0a-R,1.0,20,-1,2,degrade_recover
False,clip_road_fast_v5,coverage >= 0.9,False,B0a-R,1.0,20,-1,0,degrade_recover
False,clip_road_fast_v5,coverage >= 0.9,False,B0a-R,1.0,20,-1,1,degrade_recover
False,clip_road_fast_v5,coverage >= 0.9,False,B0a-R,1.0,20,-1,2,degrade_recover
False,clip_road_slow_v0,coverage >= 0.9,False,B0a-R,1.0,20,-1,0,degrade_recover
False,clip_road_slow_v0,coverage >= 0.9,False,B0a-R,1.0,20,-1,1,degrade_recover
False,clip_road_slow_v0,coverage >= 0.9,False,B0a-R,1.0,20,-1,2,degrade_recover
False,clip_horizon_fast_v3,coverage >= 0.9,True,B4,0.0,20,0,0,degrade_recover
False,clip_horizon_fast_v3,coverage >= 0.9,True,B4,0.0,20,0,1,degrade_recover
False,clip_horizon_fast_v3,coverage >= 0.9,True,B4,0.0,20,0,2,degrade_recover
False,clip_horizon_slow_v0,coverage >= 0.9,True,B4,0.0,20,0,0,degrade_recover
False,clip_horizon_slow_v0,coverage >= 0.9,True,B4,0.0,20,0,1,degrade_recover
False,clip_horizon_slow_v0,coverage >= 0.9,True,B4,0.0,20,0,2,degrade_recover
False,clip_road_fast_v5,coverage >= 0.9,True,B4,0.0,20,0,0,degrade_recover
False,clip_road_fast_v5,coverage >= 0.9,True,B4,0.0,20,0,1,degrade_recover
False,clip_road_fast_v5,coverage >= 0.9,True,B4,0.0,20,0,2,degrade_recover
False,clip_road_slow_v0,coverage >= 0.9,True,B4,0.0,20,0,0,degrade_recover
False,clip_road_slow_v0,coverage >= 0.9,True,B4,0.0,20,0,1,degrade_recover
False,clip_road_slow_v0,coverage >= 0.9,True,B4,0.0,20,0,2,degrade_recover
False,clip_horizon_fast_v3,coverage >= 0.9,True,P,0.0,20,0,0,degrade_recover
False,clip_horizon_fast_v3,coverage >= 0.9,True,P,0.0,20,0,1,degrade_recover
False,clip_horizon_fast_v3,coverage >= 0.9,True,P,0.0,20,0,2,degrade_recover
False,clip_horizon_slow_v0,coverage >= 0.9,True,P,0.0,20,0,0,degrade_recover
False,clip_horizon_slow_v0,coverage >= 0.9,True,P,0.0,20,0,1,degrade_recover
False,clip_horizon_slow_v0,coverage >= 0.9,True,P,0.0,20,0,2,degrade_recover
False,clip_road_fast_v5,coverage >= 0.9,True,P,0.0,20,0,0,degrade_recover
False,clip_road_fast_v5,coverage >= 0.9,True,P,0.0,20,0,1,degrade_recover
False,clip_road_fast_v5,coverage >= 0.9,True,P,0.0,20,0,2,degrade_recover
False,clip_road_slow_v0,coverage >= 0.9,True,P,0.0,20,0,0,degrade_recover
False,clip_road_slow_v0,coverage >= 0.9,True,P,0.0,20,0,1,degrade_recover
