admissible,frames_per_s,height,mean_ms,median_ms,method,p95_ms,pixels,reason,repeats,resolution,warmup,width
True,20.388706613828624,96,49.046760000055656,49.1132999995898,B0a-R,49.51920000003156,12288,,5,128x96,1,128
True,9.692965621001777,96,103.16759999986971,96.98579999985668,B0d,132.32791999980688,12288,,5,128x96,1,128
True,14.453214655097728,96,69.18875999999727,69.27879999966535,B3,72.64085999977397,12288,,5,128x96,1,128
True,6.901722780419629,96,144.89136000029248,143.99600000069768,B4,184.67824000017572,12288,,5,128x96,1,128
True,2.947093888395973,96,339.317320000373,327.6474000003873,P,430.2312000003439,12288,,5,128x96,1,128
True,19.866181402159953,192,50.33679999978631,50.38689999946655,B0a-R,51.205079999817826,49152,,5,256x192,1,256
True,5.166934882253125,192,193.53834000012284,201.30169999993086,B0d,213.94124000053125,49152,,5,256x192,1,256
True,12.975520383239813,192,77.06820000003063,77.67409999996744,B3,86.18210000040563,49152,,5,256x192,1,256
True,3.6964529059729165,192,270.52961999979743,296.1691000000428,B4,336.9483999997101,49152,,5,256x192,1,256
True,1.9857112980695957,192,503.5978800000521,491.12200000035955,P,617.1982599997135,49152,,5,256x192,1,256
True,18.336061128018937,240,54.537340000024415,54.56529999992199,B0a-R,55.11867999994138,76800,,5,320x240,1,320
True,3.409419763123418,240,293.3050400000866,289.8947000003318,B0d,322.3950600002354,76800,,5,320x240,1,320
True,13.156329825951104,240,76.00904000046285,79.56910000029893,B3,84.83412000059616,76800,,5,320x240,1,320
True,2.479014645225126,240,403.3860800000184,418.29839999991236,B4,445.64620000019204,76800,,5,320x240,1,320
False,,,,,P,,,"CapacityExceeded: frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,320x240,,
True,17.561865182395504,288,56.94156000026851,57.40869999954157,B0a-R,59.81156000016199,110592,,5,384x288,1,384
True,3.187317231262654,288,313.7434799999028,301.4929999999367,B0d,355.9852399996089,110592,,5,384x288,1,384
True,11.010162600288627,288,90.82517999995616,93.85370000018156,B3,102.41731999994954,110592,,5,384x288,1,384
True,2.3851343164550647,288,419.2635999997947,437.1839999994336,B4,457.52403999977105,110592,,5,384x288,1,384
False,,,,,P,,,"CapacityExceeded: frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,384x288,,
