axis,channel_value,coverage,method,n_scenes,psnr_full,psnr_full_sd,ssim_full,symbol_errors_pre_fec
burst_len_lines,1.0,1.0,B0a-R,6,28.611774194166003,1.340217652489117,0.9274280448125055,nan
burst_len_lines,1.0,0.9907407407407408,B4,6,27.537067396021133,2.357436625170931,0.7832569004481442,0.01647238756613757
burst_len_lines,1.0,0.9930555555555555,P,6,25.27701252274183,2.4312472675975054,0.652372214947374,0.014661378695208968
burst_len_lines,16.0,1.0,B0a-R,6,24.880473371079166,1.609375993469023,0.8399913882634454,nan
burst_len_lines,16.0,0.9317129629629628,B4,6,26.357323217913716,1.8493729690176124,0.7594316894110307,0.12249939793248217
burst_len_lines,16.0,0.9357638888888888,P,6,24.531782709421538,2.045665854723659,0.6383798636351242,0.11415844919205648
burst_len_lines,2.0,1.0,B0a-R,6,28.654604681369563,1.3867624805395393,0.9273120348649927,nan
burst_len_lines,2.0,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.013335795519898783
burst_len_lines,2.0,0.9976851851851851,P,6,25.394577057841236,2.423282466536787,0.6546750194420015,0.014818590251821648
burst_len_lines,24.0,1.0,B0a-R,6,23.380021495764197,1.5219262872123323,0.8034897104090654,nan
burst_len_lines,24.0,0.9224537037037037,B4,6,26.06189390669019,2.015902831934782,0.7512216630986756,0.15231993688175754
burst_len_lines,24.0,0.9160879629629631,P,6,24.607724767818667,2.1174619409543793,0.6391646374762706,0.15138248834333826
burst_len_lines,32.0,1.0,B0a-R,6,22.0101293974971,1.4163094009463297,0.7585374684564994,nan
burst_len_lines,32.0,0.7766203703703703,B4,6,23.091209748592814,1.2278232347520808,0.6846278908911123,0.19411982221934668
burst_len_lines,32.0,0.8582175925925926,P,6,23.938303705484202,2.2144470675605867,0.6293765148114914,0.19379185425869294
burst_len_lines,4.0,1.0,B0a-R,6,28.47791231848485,1.5476451746651627,0.9192648847828974,nan
burst_len_lines,4.0,0.9814814814814815,B4,6,27.51173899156613,2.4650184602572027,0.7776663251227509,0.034024228275247294
burst_len_lines,4.0,0.986111111111111,P,6,25.27054718951065,2.4475408854214438,0.6501081073692638,0.02918619275493638
burst_len_lines,48.0,1.0,B0a-R,6,18.89365983042611,2.2037819296954857,0.6394456035761356,nan
burst_len_lines,48.0,0.6180555555555556,B4,6,20.64385435903877,3.0193956160991036,0.6112113721059974,0.24109277051702324
burst_len_lines,48.0,0.726851851851852,P,6,23.4984502688589,2.142445731182677,0.6168185147205136,0.2491071681390871
burst_len_lines,64.0,1.0,B0a-R,6,17.182028995055752,1.3633485166259793,0.5581674837929821,nan
burst_len_lines,64.0,0.33101851851851855,B4,6,15.789973244176101,1.2896702399556685,0.49285050891881577,0.3118215507821486
burst_len_lines,64.0,0.5422453703703703,P,6,21.16561884718226,1.9322092981567027,0.5686362682410552,0.3008013070090988
burst_len_lines,8.0,1.0,B0a-R,6,26.95296345737155,1.1591025325871833,0.8874326493141957,nan
