channel,clip,count,frame_id,job_id,method,repetition,scene,status
clean,uav_sea_open,8,0,81f417a9a0c270eb,B0d,0,uav:sea_open,verified
clean,uav_sea_open,8,2,81f417a9a0c270eb,B0d,0,uav:sea_open,verified
clean,uav_sea_open,8,4,81f417a9a0c270eb,B0d,0,uav:sea_open,verified
clean,uav_sea_open,8,6,81f417a9a0c270eb,B0d,0,uav:sea_open,verified
clean,uav_sea_open,8,8,81f417a9a0c270eb,B0d,0,uav:sea_open,verified
clean,uav_sea_open,8,10,81f417a9a0c270eb,B0d,0,uav:sea_open,verified
clean,uav_sea_open,8,12,81f417a9a0c270eb,B0d,0,uav:sea_open,verified
clean,uav_sea_open,8,14,81f417a9a0c270eb,B0d,0,uav:sea_open,verified
clean,uav_sea_open,8,0,8e1c25dc84ef0245,B0d,1,uav:sea_open,verified
clean,uav_sea_open,8,2,8e1c25dc84ef0245,B0d,1,uav:sea_open,verified
clean,uav_sea_open,8,4,8e1c25dc84ef0245,B0d,1,uav:sea_open,verified
clean,uav_sea_open,8,6,8e1c25dc84ef0245,B0d,1,uav:sea_open,verified
clean,uav_sea_open,8,8,8e1c25dc84ef0245,B0d,1,uav:sea_open,verified
clean,uav_sea_open,8,10,8e1c25dc84ef0245,B0d,1,uav:sea_open,verified
clean,uav_sea_open,8,12,8e1c25dc84ef0245,B0d,1,uav:sea_open,verified
clean,uav_sea_open,8,14,8e1c25dc84ef0245,B0d,1,uav:sea_open,verified
clean,uav_sea_open,8,0,d614212347ebab73,B0d,2,uav:sea_open,verified
clean,uav_sea_open,8,2,d614212347ebab73,B0d,2,uav:sea_open,verified
clean,uav_sea_open,8,4,d614212347ebab73,B0d,2,uav:sea_open,verified
clean,uav_sea_open,8,6,d614212347ebab73,B0d,2,uav:sea_open,verified
clean,uav_sea_open,8,8,d614212347ebab73,B0d,2,uav:sea_open,verified
clean,uav_sea_open,8,10,d614212347ebab73,B0d,2,uav:sea_open,verified
clean,uav_sea_open,8,12,d614212347ebab73,B0d,2,uav:sea_open,verified
clean,uav_sea_open,8,14,d614212347ebab73,B0d,2,uav:sea_open,verified
clean,uav_sea_open,8,0,1fa598ccb6bfd47a,B0d,3,uav:sea_open,verified
clean,uav_sea_open,8,2,1fa598ccb6bfd47a,B0d,3,uav:sea_open,verified
clean,uav_sea_open,8,4,1fa598ccb6bfd47a,B0d,3,uav:sea_open,verified
clean,uav_sea_open,8,6,1fa598ccb6bfd47a,B0d,3,uav:sea_open,verified
clean,uav_sea_open,8,8,1fa598ccb6bfd47a,B0d,3,uav:sea_open,verified
clean,uav_sea_open,8,10,1fa598ccb6bfd47a,B0d,3,uav:sea_open,verified
clean,uav_sea_open,8,12,1fa598ccb6bfd47a,B0d,3,uav:sea_open,verified
clean,uav_sea_open,8,14,1fa598ccb6bfd47a,B0d,3,uav:sea_open,verified
clean,uav_sea_open,8,0,28aa9aad46e3b0cd,B0d,4,uav:sea_open,verified
clean,uav_sea_open,8,2,28aa9aad46e3b0cd,B0d,4,uav:sea_open,verified
clean,uav_sea_open,8,4,28aa9aad46e3b0cd,B0d,4,uav:sea_open,verified
clean,uav_sea_open,8,6,28aa9aad46e3b0cd,B0d,4,uav:sea_open,verified
clean,uav_sea_open,8,8,28aa9aad46e3b0cd,B0d,4,uav:sea_open,verified
clean,uav_sea_open,8,10,28aa9aad46e3b0cd,B0d,4,uav:sea_open,verified
clean,uav_sea_open,8,12,28aa9aad46e3b0cd,B0d,4,uav:sea_open,verified
clean,uav_sea_open,8,14,28aa9aad46e3b0cd,B0d,4,uav:sea_open,verified
mild,uav_sea_open,8,0,51ebe13d9a6d7257,B0d,0,uav:sea_open,verified
mild,uav_sea_open,8,2,51ebe13d9a6d7257,B0d,0,uav:sea_open,verified
mild,uav_sea_open,8,4,51ebe13d9a6d7257,B0d,0,uav:sea_open,verified
mild,uav_sea_open,8,6,51ebe13d9a6d7257,B0d,0,uav:sea_open,verified
mild,uav_sea_open,8,8,51ebe13d9a6d7257,B0d,0,uav:sea_open,verified
mild,uav_sea_open,8,10,51ebe13d9a6d7257,B0d,0,uav:sea_open,verified
mild,uav_sea_open,8,12,51ebe13d9a6d7257,B0d,0,uav:sea_open,verified
mild,uav_sea_open,8,14,51ebe13d9a6d7257,B0d,0,uav:sea_open,verified
mild,uav_sea_open,8,0,08e50d316a72171f,B0d,1,uav:sea_open,verified
mild,uav_sea_open,8,2,08e50d316a72171f,B0d,1,uav:sea_open,verified
