applied_rms_levels,case,distinct_confusions,exact_pixels_pct,exact_within_flat_pct,exact_within_varying_pct,flat_window_pct,mean_abs_error_all,mean_abs_error_when_wrong,mechanism,psnr_db,random_value_reference,random_value_reference_when_wrong,strength,wrong_pixels_pct
0.5,ізотропний,,99.63,,,,,,напрям,37.99,,,0.5,
0.5,у площині палітри,,99.35,,,,,,напрям,35.97,,,0.5,
0.5,поперек площини палітри,,100.0,,,,,,напрям,99.0,,,0.5,
0.998,ізотропний,,98.54,,,,,,напрям,30.21,,,1.0,
0.998,у площині палітри,,97.84,,,,,,напрям,28.48,,,1.0,
0.998,поперек площини палітри,,99.9,,,,,,напрям,43.88,,,1.0,
2.001,ізотропний,,93.8,,,,,,напрям,22.7,,,2.0,
2.001,у площині палітри,,90.55,,,,,,напрям,20.82,,,2.0,
2.001,поперек площини палітри,,99.26,,,,,,напрям,31.63,,,2.0,
4.013,ізотропний,,76.11,,,,,,напрям,16.32,,,4.0,
4.013,у площині палітри,,67.95,,,,,,напрям,14.9,,,4.0,
4.013,поперек площини палітри,,97.8,,,,,,напрям,26.13,,,4.0,
7.995,ізотропний,,44.05,,,,,,напрям,12.29,,,8.0,
7.995,у площині палітри,,34.6,,,,,,напрям,11.55,,,8.0,
7.995,поперек площини палітри,,95.52,,,,,,напрям,23.21,,,8.0,
,ядро 2 відліки,,6.66,100.0,0.55,6.14,,,змішування,9.56,,,2.0,
,ядро 3 відліки,,1.58,100.0,0.72,0.86,,,змішування,9.47,,,3.0,
,ядро 4 відліки,,0.89,100.0,0.69,0.21,,,змішування,9.5,,,4.0,
,σ = 1,53,,,,,0.8,55.11,величина,,71.09,71.73,1.0,1.45
,σ = 2,202,,,,,3.87,61.58,величина,,71.09,71.45,2.0,6.28
,σ = 4,660,,,,,15.56,67.04,величина,,71.09,71.22,4.0,23.21
,σ = 8,1584,,,,,38.76,69.97,величина,,71.09,71.06,8.0,55.4
,σ = 16,3601,,,,,58.85,71.49,величина,,71.09,71.06,16.0,82.32
