correlation_with_source,direct_accuracy_pct,neighbour_accuracy_pct,plane,plane_std,sigma_levels
0.0,0.0,0.56,яскравість,0.0,0.0
-0.0022,0.52,1.69,Cb,76.4711,0.0
0.0064,0.0,0.0,яскравість,0.8028,1.0
-0.0022,1.56,1.4,Cb,74.8954,1.0
-0.0008,0.52,0.28,яскравість,1.4048,2.0
-0.0021,0.0,1.4,Cb,73.47,2.0
0.0059,1.04,0.28,яскравість,2.7123,4.0
-0.002,1.04,1.12,Cb,71.2986,4.0
-0.0029,0.0,0.84,яскравість,5.3686,8.0
-0.0016,1.04,2.25,Cb,67.4537,8.0
0.0004,0.0,0.84,яскравість,10.5971,16.0
-0.0021,0.52,1.12,Cb,59.8285,16.0
