cipher_luma_levels_after,cipher_luma_std_after,exact_mean_abs_error,exact_pixels_pct,exact_psnr_db,impairment,nearest_mean_abs_error,nearest_pixels_pct,nearest_psnr_db,strength
1,0.284271,0.0,100.0,99.0,gauss,0.0,100.0,99.0,0.0
3,0.437677,85.84,12.69,8.45,gauss,0.16,99.71,37.15,0.25
5,0.482404,87.51,10.99,8.37,gauss,0.32,99.52,33.65,0.5
6,0.606618,91.63,6.81,8.17,gauss,0.71,99.05,29.41,0.75
7,0.754671,94.49,3.88,8.04,gauss,1.29,98.33,26.57,1.0
10,1.055645,96.77,1.55,7.93,gauss,2.83,96.38,23.03,1.5
12,1.378826,97.65,0.7,7.89,gauss,4.89,93.72,20.66,2.0
17,2.024293,98.13,0.21,7.87,gauss,10.31,86.29,17.55,3.0
22,2.685244,98.25,0.09,7.87,gauss,16.84,77.21,15.56,4.0
33,4.020721,98.31,0.03,7.86,gauss,30.07,59.05,13.17,6.0
44,5.344615,98.32,0.02,7.86,gauss,39.13,45.57,12.13,8.0
66,7.943477,98.35,0.0,7.86,gauss,51.47,27.38,10.99,12.0
84,10.573653,98.35,0.0,7.86,gauss,58.11,18.2,10.44,16.0
1,0.284271,0.0,100.0,99.0,uniform,0.0,100.0,99.0,0.0
2,0.438321,86.05,12.53,8.44,uniform,0.19,99.71,35.97,0.25
2,0.437504,86.15,12.51,8.43,uniform,0.2,99.68,35.95,0.5
2,0.437562,86.1,12.47,8.44,uniform,0.19,99.65,36.64,0.75
3,0.43799,86.12,12.46,8.44,uniform,0.19,99.67,36.12,1.0
4,0.699392,94.65,3.72,8.03,uniform,1.1,98.57,27.37,1.5
4,0.799521,96.84,1.49,7.93,uniform,1.49,98.15,25.79,2.0
6,1.167914,97.81,0.53,7.88,uniform,3.41,95.61,22.18,3.0
8,1.558031,98.12,0.22,7.87,uniform,6.29,91.95,19.54,4.0
12,2.315355,98.3,0.05,7.86,uniform,13.59,81.98,16.34,6.0
16,3.088343,98.32,0.02,7.86,uniform,22.42,69.86,14.33,8.0
24,4.605171,98.34,0.01,7.86,uniform,37.93,47.62,12.23,12.0
32,6.150943,98.35,0.0,7.86,uniform,48.66,32.23,11.2,16.0
1,0.284271,0.0,100.0,99.0,chroma_lowpass,0.0,100.0,99.0,0.0
2,0.372517,93.59,4.45,8.09,chroma_lowpass,61.66,6.83,10.33,2.0
2,0.35503,97.64,0.61,7.9,chroma_lowpass,67.64,2.03,9.87,3.0
2,0.348575,98.16,0.16,7.87,chroma_lowpass,68.12,1.06,9.89,4.0
2,0.346339,98.31,0.01,7.86,chroma_lowpass,69.76,0.66,9.77,6.0
2,0.345484,98.31,0.0,7.86,chroma_lowpass,71.61,0.45,9.62,8.0
2,0.344322,98.3,0.0,7.86,chroma_lowpass,73.53,0.38,9.47,12.0
2,0.344125,98.32,0.0,7.86,chroma_lowpass,74.79,0.3,9.37,16.0
1,0.284271,0.0,100.0,99.0,gain_offset,0.0,100.0,99.0,0.0
2,0.374055,98.35,0.0,7.86,gain_offset,0.45,99.02,34.95,0.5
2,0.435712,98.35,0.0,7.86,gain_offset,0.72,99.53,27.24,1.0
4,0.764794,98.35,0.0,7.86,gain_offset,1.01,98.16,29.34,2.0
8,1.38214,98.35,0.0,7.86,gain_offset,54.0,28.89,10.7,4.0
13,3.334316,98.35,0.0,7.86,gain_offset,62.9,8.6,10.28,8.0
1,0.284271,0.0,100.0,99.0,burst,0.0,100.0,99.0,0.0
221,10.068413,4.34,95.83,21.22,burst,2.86,95.85,23.68,2.0
224,12.875819,7.21,93.23,18.94,burst,4.62,93.26,21.58,4.0
240,20.077289,17.68,83.33,15.1,burst,11.41,83.41,17.72,8.0
244,24.885573,23.19,75.0,14.29,burst,17.92,75.11,15.36,16.0
244,33.282553,45.41,54.69,11.25,burst,31.31,54.85,13.23,24.0
