accumulation_rows,availability,coverage,fec_nsym,fill,max_unit_payload,n_descriptions,placement,psnr_displayed,psnr_full,rs_k,scene,study,window_accumulation_ms,window_rows
278,1.0,0.8958333333333334,,,,1,block,29.318181855970813,29.318181855970813,,synthetic:horizon-v0,factorial,38.611,
278,1.0,0.9097222222222222,,,,1,block,30.979628021545295,30.979628021545295,,synthetic:horizon-v3,factorial,38.611,
278,0.9444444444444444,0.7569444444444444,,,,1,block,23.5345094330116,23.31669995516907,,synthetic:road-v0,factorial,38.611,
278,1.0,0.7291666666666666,,,,1,block,24.87988528665969,24.87988528665969,,synthetic:road-v5,factorial,38.611,
278,1.0,0.9097222222222222,,,,1,block,31.970329142270455,31.970329142270455,,synthetic:targets-v0,factorial,38.611,
278,0.8888888888888888,0.6944444444444444,,,,1,block,27.505355537273132,27.03896392027388,,synthetic:targets-v7,factorial,38.611,
278,1.0,0.8888888888888888,,,,1,bawp,29.20387362773371,29.20387362773371,,synthetic:horizon-v0,factorial,38.611,
278,1.0,0.8958333333333334,,,,1,bawp,30.85933300294068,30.85933300294068,,synthetic:horizon-v3,factorial,38.611,
278,0.9444444444444444,0.7569444444444444,,,,1,bawp,23.612986121026523,23.395176643183987,,synthetic:road-v0,factorial,38.611,
278,1.0,0.7222222222222222,,,,1,bawp,24.927797853868636,24.927797853868636,,synthetic:road-v5,factorial,38.611,
278,1.0,0.9027777777777778,,,,1,bawp,31.85380478985691,31.85380478985691,,synthetic:targets-v0,factorial,38.611,
278,0.8888888888888888,0.6944444444444444,,,,1,bawp,27.505355537273132,27.03896392027388,,synthetic:targets-v7,factorial,38.611,
278,1.0,0.8958333333333334,,,,2,block,30.689224500390075,30.689224500390075,,synthetic:horizon-v0,factorial,38.611,
278,1.0,0.875,,,,2,block,29.180098182846603,29.180098182846603,,synthetic:horizon-v3,factorial,38.611,
278,1.0,0.8368055555555556,,,,2,block,22.59971283297042,22.59971283297042,,synthetic:road-v0,factorial,38.611,
278,1.0,0.8159722222222222,,,,2,block,24.422135185187905,24.422135185187905,,synthetic:road-v5,factorial,38.611,
278,1.0,0.9236111111111112,,,,2,block,30.67798996990139,30.67798996990139,,synthetic:targets-v0,factorial,38.611,
278,1.0,0.7222222222222222,,,,2,block,25.814572119993944,25.814572119993944,,synthetic:targets-v7,factorial,38.611,
278,1.0,0.8333333333333334,,,,2,bawp,30.730638146572133,30.730638146572133,,synthetic:horizon-v0,factorial,38.611,
278,1.0,0.7743055555555556,,,,2,bawp,29.21445811479589,29.21445811479589,,synthetic:horizon-v3,factorial,38.611,
278,1.0,0.7673611111111112,,,,2,bawp,22.32302859434303,22.32302859434303,,synthetic:road-v0,factorial,38.611,
278,1.0,0.8020833333333334,,,,2,bawp,25.16806267003578,25.16806267003578,,synthetic:road-v5,factorial,38.611,
278,1.0,0.8159722222222222,,,,2,bawp,30.739814017571746,30.739814017571746,,synthetic:targets-v0,factorial,38.611,
278,1.0,0.6701388888888888,,,,2,bawp,26.827192110137744,26.827192110137744,,synthetic:targets-v7,factorial,38.611,
