accumulation_rows,admissible,availability,cell_key,coverage,fec_nsym,fill,max_age_frames,max_unit_payload,n_descriptions,n_scenes,placement,psnr_displayed,psnr_full,psnr_sd,reason,rs_k,study,window_accumulation_ms,window_rows
278,True,0.9722222222222223,"factorial|{""accumulation_rows"": 278, ""n_descriptions"": 1, ""placement"": ""block"", ""window_accumulation_ms"": 38.611}",0.8159722222222222,,,0.0,,1,6,block,28.031314879455163,27.9172813636482,3.433081743687518,,,factorial,38.611,
278,True,0.9722222222222223,"factorial|{""accumulation_rows"": 278, ""n_descriptions"": 1, ""placement"": ""bawp"", ""window_accumulation_ms"": 38.611}",0.8101851851851852,,,0.0,,1,6,bawp,27.993858488783264,27.879824972976298,3.345345141822274,,,factorial,38.611,
278,True,1.0,"factorial|{""accumulation_rows"": 278, ""n_descriptions"": 2, ""placement"": ""block"", ""window_accumulation_ms"": 38.611}",0.8449074074074076,,,0.0,,2,6,block,27.230622131881727,27.230622131881727,3.4346717376776983,,,factorial,38.611,
278,True,1.0,"factorial|{""accumulation_rows"": 278, ""n_descriptions"": 2, ""placement"": ""bawp"", ""window_accumulation_ms"": 38.611}",0.7771990740740741,,,0.0,,2,6,bawp,27.500532275576052,27.500532275576052,3.3634630288605405,,,factorial,38.611,
278,False,0.0,,,,,,,4,,block,,,,"жоден запланований момент не дав картинки (capacityx108): frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,factorial,38.611,
278,False,0.0,,,,,,,4,,bawp,,,,"жоден запланований момент не дав картинки (capacityx108): frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,factorial,38.611,
278,True,0.5462962962962963,"payload_x_fec|{""accumulation_rows"": 278, ""fec_nsym"": 32, ""max_unit_payload"": 160, ""rs_k"": 223, ""window_accumulation_ms"": 38.611}",0.2008101851851852,32,,0.0,160,,6,,21.2344672999826,20.123877814791957,4.042637967487546,,223,payload_x_fec,38.611,
278,True,0.851851851851852,"payload_x_fec|{""accumulation_rows"": 278, ""fec_nsym"": 64, ""max_unit_payload"": 160, ""rs_k"": 191, ""window_accumulation_ms"": 38.611}",0.3998842592592593,64,,0.0,160,,6,,24.060599809994045,23.63757866494672,3.6330743815336577,,191,payload_x_fec,38.611,
278,True,0.9722222222222223,"payload_x_fec|{""accumulation_rows"": 278, ""fec_nsym"": 96, ""max_unit_payload"": 160, ""rs_k"": 159, ""window_accumulation_ms"": 38.611}",0.6180555555555555,96,,0.0,160,,6,,26.067358159104543,25.948823562306472,3.4754704760033115,,159,payload_x_fec,38.611,
278,True,0.9722222222222223,"payload_x_fec|{""accumulation_rows"": 278, ""fec_nsym"": 128, ""max_unit_payload"": 160, ""rs_k"": 127, ""window_accumulation_ms"": 38.611}",0.7586805555555555,128,,0.0,160,,6,,27.517581505412085,27.400602928624707,3.157717571004676,,127,payload_x_fec,38.611,
278,True,0.46296296296296297,"payload_x_fec|{""accumulation_rows"": 278, ""fec_nsym"": 32, ""max_unit_payload"": 240, ""rs_k"": 223, ""window_accumulation_ms"": 38.611}",0.1255787037037037,32,,0.0,240,,6,,18.039229690479964,17.206800000828384,1.8148870491388822,,223,payload_x_fec,38.611,
278,True,0.8240740740740741,"payload_x_fec|{""accumulation_rows"": 278, ""fec_nsym"": 64, ""max_unit_payload"": 240, ""rs_k"": 191, ""window_accumulation_ms"": 38.611}",0.34548611111111116,64,,0.0,240,,6,,22.639563982511685,22.147475696897672,3.577477764175881,,191,payload_x_fec,38.611,
