admissible,availability,coverage,delta_availability,delta_availability_hi,delta_availability_lo,delta_availability_significant,delta_coverage,delta_coverage_hi,delta_coverage_lo,delta_coverage_significant,delta_psnr,delta_psnr_displayed,delta_psnr_displayed_hi,delta_psnr_displayed_lo,delta_psnr_displayed_significant,delta_psnr_full,delta_psnr_full_hi,delta_psnr_full_lo,delta_psnr_full_significant,fec_nsym,interleaver,label,max_unit_payload,n_descriptions,n_scenes,n_scenes_available,order,p_raw,psnr_all_scenes,psnr_displayed,psnr_full,psnr_sd,quality,reason,step
True,0.8861111111111112,0.6489583333333333,0.0,,,,0.0,,,,,0.0,,,,0.0,,,,,,B4 (база),,,15,19,fwd,,22.47323252049623,23.783791304229318,23.048900409267485,4.381968218729127,,,0
True,0.913888888888889,0.6729166666666665,0.0278,0.05,0.0083,True,0.024,0.0382,0.0104,True,1.388,1.2216,1.9958,0.3925,True,1.388,1.9829,0.7672,True,,,+ менша одиниця 640→320 Б,320,,15,17,fwd,0.00024993751562109475,24.00064009674694,25.005367250399935,24.436858639400217,4.315377758255887,,,1
True,0.9750000000000001,0.8453125000000001,0.0611,0.0889,0.0361,True,0.1724,0.1969,0.1467,True,4.0758,3.7114,4.4748,2.9869,True,4.0758,4.8083,3.3263,True,128,,+ сильніший FEC nsym 96→128,320,,15,17,fwd,0.00024993751562109475,27.945115598487405,28.71672751808961,28.51264373179508,4.470071942606812,,,2
True,0.9750000000000001,0.84375,0.0,0.0,0.0,False,-0.0016,0.0014,-0.0054,False,-1.281,-1.2906,-0.9359,-1.6408,True,-1.281,-0.9282,-1.6321,True,128,,+ нижча якість 12→8,320,,15,19,fwd,0.00024993751562109475,26.026216017006703,27.426109871456745,27.23165002039128,4.090534267652745,8,,3
True,0.9916666666666668,0.8425347222222223,0.0167,0.0333,0.0028,True,-0.0012,0.0156,-0.0191,False,-1.2706,-1.4032,-0.9411,-2.0191,True,-1.2706,-0.8683,-1.7657,True,128,,+ два описи (MDC),320,2,15,18,fwd,0.00024993751562109475,25.053762132182637,26.022909488258627,25.96109156875961,4.611885448473073,8,,4
True,0.9944444444444446,0.7840277777777778,0.0028,0.0083,0.0,False,-0.0585,-0.0467,-0.0691,True,0.2726,0.2247,0.4073,0.0603,True,0.2726,0.441,0.1147,True,128,bawp/0/8,+ BAWP = P,320,2,15,18,fwd,0.001999500124968758,25.289684725728957,26.247588560768964,26.23366714841007,4.604702658657505,8,,5
True,0.8861111111111112,0.6489583333333333,0.0,,,,0.0,,,,,0.0,,,,0.0,,,,,,B4 (база),,,15,19,rev,,22.47323252049623,23.783791304229318,23.048900409267485,4.381968218729127,,,0
False,0.0,,,,,,,,,,,,,,,,,,,,,+ два описи (MDC),,2,,,rev,,,,,,,"жоден запланований момент не дав картинки (capacityx480): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",1
False,0.0,,,,,,,,,,,,,,,,,,,,bawp/0/8,+ BAWP,,2,,,rev,,,,,,,"жоден запланований момент не дав картинки (capacityx480): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",2
True,0.9944444444444446,0.6270833333333333,0.1083,0.1361,0.0778,True,-0.0219,-0.0002,-0.0457,True,2.7209,2.0,2.98,1.0325,True,2.7209,3.7192,1.6501,True,,bawp/0/8,+ менша одиниця 640→320 Б,320,2,15,15,rev,0.00024993751562109475,25.76979963301223,25.78382878463948,25.76979963301223,5.226381633456092,,,3
True,0.9944444444444446,0.7842013888888889,0.0,0.0,0.0,False,0.1571,0.1681,0.1462,True,1.7213,1.7213,2.1252,1.318,True,1.7213,2.1252,1.318,True,128,bawp/0/8,+ сильніший FEC nsym 96→128,320,2,15,15,rev,0.00024993751562109475,27.491083374480276,27.505110997711498,27.491083374480276,5.064203960034902,,,4
True,0.9944444444444446,0.7840277777777778,0.0,0.0,0.0,False,-0.0002,0.0016,-0.0023,False,-1.2574,-1.2575,-0.9268,-1.6157,True,-1.2574,-0.9267,-1.6156,True,128,bawp/0/8,+ нижча якість 12→8 = P,320,2,15,18,rev,0.00024993751562109475,25.289684725728957,26.247588560768964,26.23366714841007,4.604702658657505,8,,5
