accumulation_rows,admissible,bits_per_symbol,burst_lines,burst_symbol_rows,claimed_bound_bytes,column_twist,correctable_erasures,correctable_errors,frac_positions_stripe_lost,frac_positions_uncorrectable,mean_damaged_bytes,n_burst_positions,n_descriptions,n_rs_blocks_per_unit,n_units_placed,reason,rs_k,rs_nsym,scheme,survives_as_errors,symbols_per_byte,worst_damaged_bytes,worst_damaged_symbols,worst_unit
1,True,2,1,1,-1,1,128,64,0.0,0.0,3.14,278,1,5,6,,127,128,sequential,True,4,19,76,0
1,True,2,2,2,-1,1,128,64,0.1408,0.1408,6.28,277,1,5,6,,127,128,sequential,False,4,38,152,0
1,True,2,4,3,-1,1,128,64,0.1812,0.1812,9.44,276,1,5,6,,127,128,sequential,False,4,57,228,0
1,True,2,8,5,-1,1,128,64,0.9161,0.9161,15.78,274,1,5,6,,127,128,sequential,False,4,95,380,0
1,True,2,16,9,-1,1,128,64,1.0,1.0,28.44,270,1,5,6,,127,128,sequential,False,4,171,684,0
1,True,2,24,13,-1,1,128,64,1.0,1.0,41.11,266,1,5,6,,127,128,sequential,False,4,247,988,0
1,True,2,32,17,-1,1,128,64,1.0,1.0,53.77,262,1,5,6,,127,128,sequential,False,4,323,1292,0
1,True,2,48,25,-1,1,128,64,1.0,1.0,79.11,254,1,5,6,,127,128,sequential,False,4,475,1900,0
1,True,2,64,33,-1,1,128,64,1.0,1.0,104.44,246,1,5,6,,127,128,sequential,False,4,627,2508,0
1,True,2,1,1,-1,1,128,64,0.0,0.0,3.14,278,2,5,6,,127,128,sequential,True,4,19,76,0
1,True,2,2,2,-1,1,128,64,0.0,0.1408,6.28,277,2,5,6,,127,128,sequential,False,4,38,152,0
1,True,2,4,3,-1,1,128,64,0.0,0.1812,9.44,276,2,5,6,,127,128,sequential,False,4,57,228,0
1,True,2,8,5,-1,1,128,64,0.0073,0.9161,15.78,274,2,5,6,,127,128,sequential,False,4,95,380,0
1,True,2,16,9,-1,1,128,64,0.0519,1.0,28.44,270,2,5,6,,127,128,sequential,False,4,171,684,0
1,True,2,24,13,-1,1,128,64,0.0977,1.0,41.11,266,2,5,6,,127,128,sequential,False,4,247,988,0
1,True,2,32,17,-1,1,128,64,0.145,1.0,53.77,262,2,5,6,,127,128,sequential,False,4,323,1292,0
1,True,2,48,25,-1,1,128,64,0.2441,1.0,79.11,254,2,5,6,,127,128,sequential,False,4,475,1900,0
1,True,2,64,33,-1,1,128,64,0.3496,1.0,104.44,246,2,5,6,,127,128,sequential,False,4,627,2508,0
1,True,2,1,1,-1,1,128,64,0.0,0.0,3.14,278,4,5,6,,127,128,sequential,True,4,19,76,0
1,True,2,2,2,-1,1,128,64,0.0,0.1408,6.28,277,4,5,6,,127,128,sequential,False,4,38,152,0
1,True,2,4,3,-1,1,128,64,0.0,0.1812,9.44,276,4,5,6,,127,128,sequential,False,4,57,228,0
1,True,2,8,5,-1,1,128,64,0.0,0.9161,15.78,274,4,5,6,,127,128,sequential,False,4,95,380,0
1,True,2,16,9,-1,1,128,64,0.0,1.0,28.44,270,4,5,6,,127,128,sequential,False,4,171,684,0
1,True,2,24,13,-1,1,128,64,0.0,1.0,41.11,266,4,5,6,,127,128,sequential,False,4,247,988,0
1,True,2,32,17,-1,1,128,64,0.0,1.0,53.77,262,4,5,6,,127,128,sequential,False,4,323,1292,0
1,True,2,48,25,-1,1,128,64,0.0,1.0,79.11,254,4,5,6,,127,128,sequential,False,4,475,1900,0
1,True,2,64,33,-1,1,128,64,0.0,1.0,104.44,246,4,5,6,,127,128,sequential,False,4,627,2508,0
16,True,2,1,1,-1,1,128,64,0.2302,0.2302,12.55,278,1,5,6,,127,128,block-16,False,4,76,76,0
16,True,2,2,2,-1,1,128,64,0.4116,0.4116,15.68,277,1,5,6,,127,128,block-16,False,4,152,152,0
16,True,2,4,3,-1,1,128,64,0.5942,0.5942,18.84,276,1,5,6,,127,128,block-16,False,4,152,228,0
16,True,2,8,5,-1,1,128,64,0.9635,0.9635,25.17,274,1,5,6,,127,128,block-16,False,4,152,380,0
16,True,2,16,9,-1,1,128,64,1.0,1.0,37.84,270,1,5,6,,127,128,block-16,False,4,228,684,0
16,True,2,24,13,-1,1,128,64,1.0,1.0,50.5,266,1,5,6,,127,128,block-16,False,4,304,988,0
16,True,2,32,17,-1,1,128,64,1.0,1.0,63.16,262,1,5,6,,127,128,block-16,False,4,380,1292,0
16,True,2,48,25,-1,1,128,64,1.0,1.0,88.49,254,1,5,6,,127,128,block-16,False,4,532,1900,0
16,True,2,64,33,-1,1,128,64,1.0,1.0,113.82,246,1,5,6,,127,128,block-16,False,4,674,2498,0
16,True,2,1,1,-1,1,128,64,0.0,0.2302,12.55,278,2,5,6,,127,128,block-16,False,4,76,76,0
16,True,2,2,2,-1,1,128,64,0.0108,0.4116,15.68,277,2,5,6,,127,128,block-16,False,4,152,152,0
