category,clip_id,content_sha256,crop,derivation,first_frame_dhash,fps,height,license,n_frames,notes,parent_scene_id,provenance,source_credit,source_id,source_kind,source_license,source_sha256,split,t_end_s,t_start_s,width
structure,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,,,0000001999999999,8.333,192,generated-in-repo,16,"procedural research clip 'horizon', motion=slow, phase0=0.0, viewpoint variant 0, 256x192, 16 frames",synthetic:horizon-v0,synthetic,,synthetic:horizon-v0,"procedural research clip 'horizon', motion=slow, phase0=0.0, viewpoint variant 0, 256x192, 16 frames",,,test,1.9201,0.0,256
structure,clip_horizon_fast_v3,97a634ab3d0688c05fdcc3d5f6ac8008113a25926230e9fe8d7ebdbc6dbc2fd1,,,0002201938393838,8.333,192,generated-in-repo,16,"procedural research clip 'horizon', motion=fast, phase0=0.37, viewpoint variant 3, 256x192, 16 frames",synthetic:horizon-v3,synthetic,,synthetic:horizon-v3,"procedural research clip 'horizon', motion=fast, phase0=0.37, viewpoint variant 3, 256x192, 16 frames",,,test,1.9201,0.0,256
structure,clip_road_slow_v0,31109acf7c9709fceafb84af73d8a3a7005193f8772240f4547251b3ffc052c9,,,0c0c141696131311,8.333,192,generated-in-repo,16,"procedural research clip 'road', motion=slow, phase0=0.0, viewpoint variant 0, 256x192, 16 frames",synthetic:road-v0,synthetic,,synthetic:road-v0,"procedural research clip 'road', motion=slow, phase0=0.0, viewpoint variant 0, 256x192, 16 frames",,,test,1.9201,0.0,256
structure,clip_road_fast_v5,16a91a9c089d79785f35f5af495f6bfc69a7861de7b61296c2b7fb3024e929cf,,,ec67149617121333,8.333,192,generated-in-repo,16,"procedural research clip 'road', motion=fast, phase0=0.51, viewpoint variant 5, 256x192, 16 frames",synthetic:road-v5,synthetic,,synthetic:road-v5,"procedural research clip 'road', motion=fast, phase0=0.51, viewpoint variant 5, 256x192, 16 frames",,,test,1.9201,0.0,256
high-detail,clip_targets_slow_v0,ac8617ba67c998bcbe51f93cb28d61eb9e5fe0b4a2b92ad853f2c3ed5eae3281,,,870787878b8b8f87,8.333,192,generated-in-repo,16,"procedural research clip 'targets', motion=slow, phase0=0.0, viewpoint variant 0, 256x192, 16 frames",synthetic:targets-v0,synthetic,,synthetic:targets-v0,"procedural research clip 'targets', motion=slow, phase0=0.0, viewpoint variant 0, 256x192, 16 frames",,,test,1.9201,0.0,256
high-detail,clip_targets_fast_v7,b43bac6afb200a9cb8688ed967d5d8a1ee684444a748478ebfd75fbb4500adb2,,,0e2e0e0e0e0b0f0f,8.333,192,generated-in-repo,16,"procedural research clip 'targets', motion=fast, phase0=0.29, viewpoint variant 7, 256x192, 16 frames",synthetic:targets-v7,synthetic,,synthetic:targets-v7,"procedural research clip 'targets', motion=fast, phase0=0.29, viewpoint variant 7, 256x192, 16 frames",,,test,1.9201,0.0,256
high-detail,clip_texture_slow_v0,6c9b2d5b899e1a2277be0bb45ebbafa7e3afcdac7eaada27b9e4d05e2f267fa5,,,b55bb45ba55ab64b,8.333,192,generated-in-repo,16,"procedural research clip 'texture', motion=slow, phase0=0.0, viewpoint variant 0, 256x192, 16 frames",synthetic:texture-v0,synthetic,,synthetic:texture-v0,"procedural research clip 'texture', motion=slow, phase0=0.0, viewpoint variant 0, 256x192, 16 frames",,,test,1.9201,0.0,256
high-detail,clip_texture_fast_v2,639af2d0f95cae7185cb45aa65c4900eb74742cf2f51e4bf27ad417595ed92d6,,,b6497649a55934da,8.333,192,generated-in-repo,16,"procedural research clip 'texture', motion=fast, phase0=0.61, viewpoint variant 2, 256x192, 16 frames",synthetic:texture-v2,synthetic,,synthetic:texture-v2,"procedural research clip 'texture', motion=fast, phase0=0.61, viewpoint variant 2, 256x192, 16 frames",,,test,1.9201,0.0,256
structure,clip_edges_slow_v0,45a59c010635de1aa28168cb0e223704c877ccc86fd1c6123090cce774c91843,,,80a2a2a2a2a28200,8.333,192,generated-in-repo,16,"procedural research clip 'edges', motion=slow, phase0=0.0, viewpoint variant 0, 256x192, 16 frames",synthetic:edges-v0,synthetic,,synthetic:edges-v0,"procedural research clip 'edges', motion=slow, phase0=0.0, viewpoint variant 0, 256x192, 16 frames",,,test,1.9201,0.0,256
structure,clip_edges_fast_v9,9f3389499559456128dc7c331bae2bfa417ab9913d2dfc806b9d2134ccf78903,,,343434a4acaced3d,8.333,192,generated-in-repo,16,"procedural research clip 'edges', motion=fast, phase0=0.13, viewpoint variant 9, 256x192, 16 frames",synthetic:edges-v9,synthetic,,synthetic:edges-v9,"procedural research clip 'edges', motion=fast, phase0=0.13, viewpoint variant 9, 256x192, 16 frames",,,test,1.9201,0.0,256
