availability,bit_exact,channel,channel_axis,channel_plan,channel_value,clip,corrected_symbols,coverage,detail,displayed_source,estimated_fraction,frame_id,gap_policy,impaired,job_id,max_age_frames,method,mse_full,payload_bytes,provenance,psnr_displayed,psnr_full,psnr_verified,rasters,repetition,resynchronised,scenario,scenario_label,scene,ssim_full,ssim_verified,stale_fraction,status,status_filler,status_header_invalid,status_header_unrecoverable,status_no_sync,status_payload_unrecoverable,status_raster_dropped,status_verified,symbol_error_denominator,symbol_errors_pre_fec,sync_found,t_frame,trace_id,units_rejected,units_sent,units_verified,wire_bytes,x_authenticated,x_band_complete,x_band_degraded_frac,x_band_lost_frac,x_band_no_usable_description,x_band_partial_segments,x_band_reduced_descriptions,x_bands_total,x_channel_trace,x_combine,x_coverage_meaning,x_desc_fec_failed,x_desc_fec_failed_frac,x_desc_partial,x_desc_total,x_desc_touched,x_desc_touched_frac,x_desc_unusable,x_desc_unusable_frac,x_filler_units,x_rasters_delivered,x_repetitions_received,x_repetitions_sent,x_segments,x_units_from_other_frames,x_units_per_raster
1.0,False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,0,"hold-last, neutral 128 until the first success",False,480b2c70579bd438,0.0,B0a-R,43.400065104166664,0,synthetic,31.755899798724705,31.755899798724705,31.755899798724705,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9389727697295855,0.9389727697295855,0.0,ok,,,,,,,,0,nan,True,0,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,1,"hold-last, neutral 128 until the first success",False,480b2c70579bd438,0.0,B0a-R,41.10162353515625,0,synthetic,31.992213837988096,31.992213837988096,31.992213837988096,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9393546233551987,0.9393546233551987,0.0,ok,,,,,,,,0,nan,True,1,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,2,"hold-last, neutral 128 until the first success",False,480b2c70579bd438,0.0,B0a-R,42.05181884765625,0,synthetic,31.892955759915928,31.892955759915928,31.892955759915928,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9389377229902259,0.9389377229902259,0.0,ok,,,,,,,,0,nan,True,2,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,3,"hold-last, neutral 128 until the first success",False,480b2c70579bd438,0.0,B0a-R,43.476969401041664,0,synthetic,31.748210972631256,31.748210972631256,31.748210972631256,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9386584757722032,0.9386584757722032,0.0,ok,,,,,,,,0,nan,True,3,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,4,"hold-last, neutral 128 until the first success",False,480b2c70579bd438,0.0,B0a-R,42.163655598958336,0,synthetic,31.881421035962774,31.881421035962774,31.881421035962774,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9387989510090593,0.9387989510090593,0.0,ok,,,,,,,,0,nan,True,4,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,5,"hold-last, neutral 128 until the first success",False,480b2c70579bd438,0.0,B0a-R,42.001485188802086,0,synthetic,31.898157133772166,31.898157133772166,31.898157133772166,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9386089471917568,0.9386089471917568,0.0,ok,,,,,,,,0,nan,True,5,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,6,"hold-last, neutral 128 until the first success",False,480b2c70579bd438,0.0,B0a-R,41.87591552734375,0,synthetic,31.911160457990814,31.911160457990814,31.911160457990814,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9386978530223812,0.9386978530223812,0.0,ok,,,,,,,,0,nan,True,6,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,7,"hold-last, neutral 128 until the first success",False,480b2c70579bd438,0.0,B0a-R,42.850321451822914,0,synthetic,31.811262766336817,31.811262766336817,31.811262766336817,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9382870689840818,0.9382870689840818,0.0,ok,,,,,,,,0,nan,True,7,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,8,"hold-last, neutral 128 until the first success",False,480b2c70579bd438,0.0,B0a-R,43.201212565104164,0,synthetic,31.775844241700536,31.775844241700536,31.775844241700536,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9386198728437737,0.9386198728437737,0.0,ok,,,,,,,,0,nan,True,8,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
1.0,False,mild,,mild,nan,clip_horizon_slow_v0,0,1.0,,current,0.0,9,"hold-last, neutral 128 until the first success",False,480b2c70579bd438,0.0,B0a-R,43.345174153645836,0,synthetic,31.761396086544856,31.761396086544856,31.761396086544856,3,1,False,clean_burst_clean,чисто -> пакет завад -> чисто,synthetic:horizon-v0,0.9377903375241258,0.9377903375241258,0.0,ok,,,,,,,,0,nan,True,9,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0,0,0,0,False,,,,,,,,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,median,"picture displayed, not verified",,,,,,,,,,,3,3,,,
