admissible,availability,bits_per_frame,codec,n_descriptions,n_frames,n_scheduled_instants,psnr_full,quality,reason,ssim_full,stripe_height,units_per_frame,wire_bytes_per_frame
False,0.0,,raw,1,,32,,8,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 21 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,raw,1,,32,,8,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 20 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
False,0.0,,raw,1,,32,,8,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 20 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,48,,
False,0.0,,raw,2,,32,,8,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 24 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,raw,2,,32,,8,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 20 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
False,0.0,,raw,2,,32,,8,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 20 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,48,,
False,0.0,,raw,4,,32,,8,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 24 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,raw,4,,32,,8,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 24 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
False,0.0,,raw,4,,32,,8,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 20 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,48,,
True,1.0,12047.75,dct,1,32,32,30.639729709661065,8,,0.8718201939851575,16,12.0,15456.0
True,1.0,15834.0,dct,1,32,32,32.49546228764662,12,,0.9040920995492154,16,12.0,15456.0
True,1.0,20533.0,dct,1,32,32,34.44296667068029,18,,0.9311243288111503,16,12.0,15456.0
True,1.0,25001.0,dct,1,32,32,35.903967613120756,25,,0.9481837367997121,16,12.0,15456.0
True,0.875,24303.714285714286,dct,1,28,32,37.98938478382056,35,,0.9596971098721211,16,12.0,15456.0
True,0.75,26744.0,dct,1,24,32,40.46328756589707,50,,0.9699930882926714,16,12.0,15456.0
True,0.65625,37553.90476190476,dct,1,21,32,42.525056902385835,70,,0.9793955871544807,16,12.0,15456.0
True,1.0,11149.0,dct,1,32,32,30.639729709661065,8,,0.8718201939851575,24,8.0,10304.0
True,1.0,14809.5,dct,1,32,32,32.49546228764662,12,,0.9040920995492154,24,8.0,10304.0
True,0.875,15556.0,dct,1,28,32,34.994068145394024,18,,0.9291997343996956,24,8.0,10304.0
True,0.875,19202.285714285714,dct,1,28,32,36.415496951576365,25,,0.9461848428830207,24,8.571428571428571,11040.0
True,0.75,20614.333333333332,dct,1,24,32,38.94947828985888,35,,0.9596450096048184,24,8.0,10304.0
True,0.75,25537.333333333332,dct,1,24,32,40.46328756589707,50,,0.9699930882926714,24,8.291666666666666,11806.666666666666
True,0.5,28801.5,dct,1,16,32,42.04092982735542,70,,0.9849164230998294,24,9.0,12880.0
True,1.0,10284.0,dct,1,32,32,30.639729709661065,8,,0.8718201939851575,48,4.5625,6118.0
True,1.0,13938.75,dct,1,32,32,32.498665373621726,12,,0.9040637892387811,48,5.0,6440.0
True,1.0,18815.0,dct,1,32,32,34.451416006054245,18,,0.9315687819275518,48,5.96875,8533.0
True,0.9375,20944.533333333333,dct,1,30,32,36.148524938419335,25,,0.9475048551870817,48,6.166666666666667,8586.666666666666
True,0.75,19671.333333333332,dct,1,24,32,38.94947828985888,35,,0.9596450096048184,48,5.375,7728.0
True,0.75,24905.666666666668,dct,1,24,32,40.468473719048646,50,,0.9700890060610105,48,6.625,10518.666666666666
True,0.75,35049.666666666664,dct,1,24,32,42.6866601748977,70,,0.9807581217785218,48,9.208333333333334,13094.666666666666
False,0.0,,dct,2,,32,,8,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 6 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,dct,2,,32,,12,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 6 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,dct,2,,32,,18,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 6 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,dct,2,,32,,25,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 6 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,dct,2,,32,,35,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 6 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,dct,2,,32,,50,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 6 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,dct,2,,32,,70,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 6 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,dct,2,,32,,8,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
False,0.0,,dct,2,,32,,12,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
False,0.0,,dct,2,,32,,18,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
False,0.0,,dct,2,,32,,25,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
False,0.0,,dct,2,,32,,35,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
False,0.0,,dct,2,,32,,50,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
False,0.0,,dct,2,,32,,70,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
True,1.0,13409.0,dct,2,32,32,28.89637154957082,8,,0.8234299213445211,48,8.0,10304.0
True,1.0,17749.5,dct,2,32,32,30.500255919434085,12,,0.8628032616439001,48,8.0,10304.0
True,0.875,19298.85714285714,dct,2,28,32,32.96920909860676,18,,0.896338423733034,48,8.214285714285714,11040.0
True,0.75,21235.666666666668,dct,2,24,32,35.5502065084579,25,,0.9162925503032845,48,8.0,10304.0
True,0.75,26162.666666666668,dct,2,24,32,37.057276826840486,35,,0.9338283175244447,48,8.333333333333334,11162.666666666666
True,0.59375,28208.0,dct,2,19,32,38.14593278735382,50,,0.9440848908557498,48,8.631578947368421,11117.473684210527
True,0.40625,34471.38461538462,dct,2,13,32,40.85523729764601,70,,0.9649882165034646,48,9.76923076923077,13474.461538461539
False,0.0,,dct,4,,32,,8,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 12 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,dct,4,,32,,12,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 12 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,dct,4,,32,,18,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 12 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
