channel,method,n_capacity,n_deadline_miss,n_failed,n_no_sync,n_observations,n_ok
bursty,B0a,,,0,,1600,1600
bursty,B0a-R,,,0,,1600,1600
bursty,B0d,80,46,191,65,1600,1409
bursty,B1,,,0,,1600,1600
bursty,B2,,,0,,1600,1600
bursty,B3,,429,597,168,1600,1003
bursty,B4,80,48,194,66,1600,1406
bursty,B4t,80,,98,18,1600,1502
bursty,P,160,,163,3,1600,1437
clean,B0a,,,0,,1600,1600
clean,B0a-R,,,0,,1600,1600
clean,B0d,80,,80,,1600,1520
clean,B1,,,0,,1600,1600
clean,B2,,,0,,1600,1600
clean,B3,,,0,,1600,1600
clean,B4,80,,80,,1600,1520
clean,B4t,80,,80,,1600,1520
clean,P,160,,160,,1600,1440
harsh,B0a,,,80,80,1600,1520
harsh,B0a-R,,,0,,1600,1600
harsh,B0d,80,1137,1600,383,1600,
harsh,B1,,,80,80,1600,1520
harsh,B2,,,80,80,1600,1520
harsh,B3,,1360,1600,240,1600,
harsh,B4,80,1137,1600,383,1600,
harsh,B4t,80,1120,1600,400,1600,
harsh,P,160,963,1600,477,1600,
mild,B0a,,,0,,1600,1600
mild,B0a-R,,,0,,1600,1600
mild,B0d,80,,80,,1600,1520
mild,B1,,,0,,1600,1600
mild,B2,,,0,,1600,1600
mild,B3,,,0,,1600,1600
mild,B4,80,,80,,1600,1520
mild,B4t,80,,80,,1600,1520
mild,P,160,,160,,1600,1440
moderate,B0a,,,0,,1600,1600
moderate,B0a-R,,,0,,1600,1600
moderate,B0d,80,3,86,3,1600,1514
moderate,B1,,,0,,1600,1600
moderate,B2,,,0,,1600,1600
moderate,B3,,298,328,30,1600,1272
moderate,B4,80,14,102,8,1600,1498
moderate,B4t,80,,82,2,1600,1518
moderate,P,160,,160,,1600,1440
