authenticated,channel,hi,lo,mean,method,metric,n_scenes
False,clean,1.0,1.0,1.0,B0a,coverage,20
False,mild,1.0,1.0,1.0,B0a,coverage,20
False,moderate,1.0,1.0,1.0,B0a,coverage,20
False,bursty,1.0,1.0,1.0,B0a,coverage,20
False,harsh,0.95875,0.940625,0.95,B0a,coverage,20
False,clean,1.0,1.0,1.0,B0a-R,coverage,20
False,mild,1.0,1.0,1.0,B0a-R,coverage,20
False,moderate,1.0,1.0,1.0,B0a-R,coverage,20
False,bursty,1.0,1.0,1.0,B0a-R,coverage,20
False,harsh,1.0,1.0,1.0,B0a-R,coverage,20
False,clean,1.0,1.0,1.0,B0d,coverage,19
False,mild,1.0,1.0,1.0,B0d,coverage,19
False,moderate,0.9196546052631579,0.8902960526315791,0.9047697368421053,B0d,coverage,19
False,bursty,0.7071957236842105,0.6710115131578948,0.6892680921052632,B0d,coverage,19
False,harsh,0.0,0.0,0.0,B0d,coverage,19
False,clean,1.0,1.0,1.0,B1,coverage,20
False,mild,1.0,1.0,1.0,B1,coverage,20
False,moderate,1.0,1.0,1.0,B1,coverage,20
False,bursty,1.0,1.0,1.0,B1,coverage,20
False,harsh,0.95875,0.940625,0.95,B1,coverage,20
False,clean,1.0,1.0,1.0,B2,coverage,20
False,mild,1.0,1.0,1.0,B2,coverage,20
False,moderate,1.0,1.0,1.0,B2,coverage,20
False,bursty,1.0,1.0,1.0,B2,coverage,20
False,harsh,0.95875,0.940625,0.95,B2,coverage,20
True,clean,1.0,1.0,1.0,B3,coverage,20
True,mild,1.0,1.0,1.0,B3,coverage,20
True,moderate,0.827515625,0.7481250000000002,0.79,B3,coverage,20
True,bursty,0.675,0.5718749999999999,0.62625,B3,coverage,20
True,harsh,0.0,0.0,0.0,B3,coverage,20
True,clean,1.0,1.0,1.0,B4,coverage,19
True,mild,1.0,1.0,1.0,B4,coverage,19
True,moderate,0.8723684210526316,0.8472039473684211,0.8600740131578947,B4,coverage,19
True,bursty,0.704935238486842,0.6677210115131579,0.6864720394736841,B4,coverage,19
True,harsh,0.0,0.0,0.0,B4,coverage,19
True,clean,1.0,1.0,1.0,P,coverage,19
True,mild,1.0,1.0,1.0,P,coverage,19
True,moderate,0.9615836466165415,0.951303747650376,0.9566905545112783,P,coverage,19
True,bursty,0.816858552631579,0.7974917763157895,0.8073190789473683,P,coverage,19
True,harsh,0.0,0.0,0.0,P,coverage,19
