P_wins,channel,psnr_B4,psnr_P,scene
False,clean,33.2101113214779,28.994772486509373,synthetic:clouds-v0
False,clean,33.61267493943437,29.54569385661153,synthetic:clouds-v4
False,clean,30.342599422874258,26.92809970865766,synthetic:edges-v0
False,clean,30.741926646539934,26.424831253677894,synthetic:edges-v9
False,clean,21.568282878046745,19.83785609743895,synthetic:grid-v0
False,clean,nan,nan,synthetic:grid-v6
False,clean,33.93930799109218,31.345089637022806,synthetic:horizon-v0
False,clean,35.81187424564281,32.40937502186506,synthetic:horizon-v3
False,clean,30.24827202450186,26.22475998432044,synthetic:illumination-v0
False,clean,34.86551333676051,34.46201621701374,synthetic:lowlight-v0
False,clean,37.075425106928954,33.70176990979039,synthetic:lowlight-v8
False,clean,29.37023328273123,25.606250570193218,synthetic:road-v0
False,clean,32.28116632857699,28.026145153279195,synthetic:road-v5
False,clean,36.805203051753345,34.518922014764975,synthetic:smooth-v0
False,clean,35.61768652412901,32.01754908099195,synthetic:targets-v0
False,clean,35.5924830451233,31.589684674650933,synthetic:targets-v7
False,clean,25.09231825542353,22.033636685914395,synthetic:text-v0
False,clean,26.99395985712846,22.758152276204125,synthetic:text-v11
False,clean,27.16137821489334,22.804078029749554,synthetic:texture-v0
False,clean,27.76772068706448,23.092678442916384,synthetic:texture-v2
False,mild,33.2101113214779,28.994772486509373,synthetic:clouds-v0
False,mild,33.61267493943437,29.54569385661153,synthetic:clouds-v4
False,mild,30.342599422874258,26.92809970865766,synthetic:edges-v0
False,mild,30.741926646539934,26.424831253677894,synthetic:edges-v9
False,mild,21.568282878046745,19.83785609743895,synthetic:grid-v0
False,mild,nan,nan,synthetic:grid-v6
False,mild,33.93930799109218,31.345089637022806,synthetic:horizon-v0
False,mild,35.81187424564281,32.40937502186506,synthetic:horizon-v3
False,mild,30.24827202450186,26.22475998432044,synthetic:illumination-v0
False,mild,34.86551333676051,34.46201621701374,synthetic:lowlight-v0
False,mild,37.075425106928954,33.70176990979039,synthetic:lowlight-v8
False,mild,29.37023328273123,25.606250570193218,synthetic:road-v0
False,mild,32.28116632857699,28.026145153279195,synthetic:road-v5
False,mild,36.805203051753345,34.518922014764975,synthetic:smooth-v0
False,mild,35.61768652412901,32.01754908099195,synthetic:targets-v0
False,mild,35.5924830451233,31.589684674650933,synthetic:targets-v7
False,mild,25.09231825542353,22.033636685914395,synthetic:text-v0
False,mild,26.99395985712846,22.758152276204125,synthetic:text-v11
False,mild,27.16137821489334,22.804078029749554,synthetic:texture-v0
False,mild,27.76772068706448,23.092678442916384,synthetic:texture-v2
False,moderate,29.013123891673967,28.757509538191385,synthetic:clouds-v0
False,moderate,29.6949221794106,29.164832272973495,synthetic:clouds-v4
True,moderate,22.517386133378864,25.86019282427107,synthetic:edges-v0
True,moderate,25.538356380165663,26.094183344758015,synthetic:edges-v9
False,moderate,19.516723073759493,19.372659483865085,synthetic:grid-v0
False,moderate,nan,nan,synthetic:grid-v6
True,moderate,29.778218493214723,30.844297175377413,synthetic:horizon-v0
False,moderate,32.158163653397104,31.649876235925895,synthetic:horizon-v3
True,moderate,23.72641404793502,25.003308247963098,synthetic:illumination-v0
True,moderate,33.04556813974968,34.308626164766466,synthetic:lowlight-v0
False,moderate,33.53916941998939,33.47130815508859,synthetic:lowlight-v8
False,moderate,25.365772206314634,25.222278899002973,synthetic:road-v0
False,moderate,28.60367401490862,27.67516043184994,synthetic:road-v5
True,moderate,32.15829386720346,34.259953472670745,synthetic:smooth-v0
False,moderate,32.87765428736079,31.831522017030238,synthetic:targets-v0
False,moderate,32.520224715476466,31.240591218341592,synthetic:targets-v7
False,moderate,22.75105770024263,21.421636297447993,synthetic:text-v0
False,moderate,23.530674177564855,22.559148806478472,synthetic:text-v11
