category,channel,mean_P_minus_B4,n_scenes
high-detail,clean,-3.4020717599644406,6
high-detail,mild,-3.4020717599644406,6
high-detail,moderate,-0.6087542860349421,6
high-detail,bursty,1.8909507234689222,6
high-detail,harsh,0.0,6
low-detail,clean,-3.6480282487402906,4
low-detail,mild,-3.6480282487402906,4
low-detail,moderate,0.6482123863939186,4
low-detail,bursty,3.1346739773617367,4
low-detail,harsh,0.0,4
structure,clean,-3.353963336195623,7
structure,mild,-3.353963336195623,7
structure,moderate,0.4629077771301842,7
structure,bursty,3.0114047346203905,7
structure,harsh,0.0,7
text,clean,-3.6472445752167335,2
text,mild,-3.6472445752167335,2
text,moderate,-1.1504733869405097,2
text,bursty,-0.16793848989192206,2
text,harsh,-0.004821468948129848,2
