channel,diff_P_minus_B4,scene
clean,-4.675042244148095,synthetic:clouds-v0
clean,-4.357300185143785,synthetic:clouds-v4
clean,-4.31709539286204,synthetic:edges-v0
clean,-4.255021175297792,synthetic:edges-v9
clean,-4.235807580924334,synthetic:grid-v0
clean,-4.215338834968531,synthetic:grid-v6
clean,-4.066981082822842,synthetic:horizon-v0
clean,-4.023512040181419,synthetic:horizon-v3
clean,-4.0027983704723695,synthetic:illumination-v0
clean,-3.763982712538013,synthetic:lowlight-v0
clean,-3.600137443137065,synthetic:lowlight-v8
clean,-3.4144997142166,synthetic:road-v0
clean,-3.4024992237777525,synthetic:road-v5
clean,-3.373655197138561,synthetic:smooth-v0
clean,-3.058681569509133,synthetic:targets-v0
clean,-2.5942183540693726,synthetic:targets-v7
clean,-2.2862810369883704,synthetic:text-v0
clean,-1.730426780607793,synthetic:text-v11
clean,-0.40349711974676694,synthetic:texture-v0
mild,-4.675042244148095,synthetic:clouds-v0
mild,-4.357300185143785,synthetic:clouds-v4
mild,-4.31709539286204,synthetic:edges-v0
mild,-4.255021175297792,synthetic:edges-v9
mild,-4.235807580924334,synthetic:grid-v0
mild,-4.215338834968531,synthetic:grid-v6
mild,-4.066981082822842,synthetic:horizon-v0
mild,-4.023512040181419,synthetic:horizon-v3
mild,-4.0027983704723695,synthetic:illumination-v0
mild,-3.763982712538013,synthetic:lowlight-v0
mild,-3.600137443137065,synthetic:lowlight-v8
mild,-3.4144997142166,synthetic:road-v0
mild,-3.4024992237777525,synthetic:road-v5
mild,-3.373655197138561,synthetic:smooth-v0
mild,-3.058681569509133,synthetic:targets-v0
mild,-2.5942183540693726,synthetic:targets-v7
mild,-2.2862810369883704,synthetic:text-v0
mild,-1.730426780607793,synthetic:text-v11
mild,-0.40349711974676694,synthetic:texture-v0
moderate,-1.508658550830166,synthetic:clouds-v0
moderate,-1.3294214027946367,synthetic:clouds-v4
moderate,-1.2796334971348742,synthetic:edges-v0
moderate,-1.0461322703305527,synthetic:edges-v9
moderate,-1.013298158030043,synthetic:grid-v0
moderate,-0.9715253710863827,synthetic:grid-v6
moderate,-0.928513583058681,synthetic:horizon-v0
moderate,-0.5300899064371052,synthetic:horizon-v3
moderate,-0.5082874174712089,synthetic:illumination-v0
moderate,-0.25561435348258144,synthetic:lowlight-v0
moderate,-0.14406358989440804,synthetic:lowlight-v8
moderate,-0.14349330731166177,synthetic:road-v0
moderate,-0.0678612649007988,synthetic:road-v5
moderate,0.5558269645923524,synthetic:smooth-v0
moderate,1.06607868216269,synthetic:targets-v0
moderate,1.2630580250167824,synthetic:targets-v7
moderate,1.276894200028078,synthetic:text-v0
moderate,2.101659605467283,synthetic:text-v11
moderate,3.342806690892207,synthetic:texture-v0
bursty,-0.8255791525280323,synthetic:clouds-v0
bursty,-0.3071588915686192,synthetic:clouds-v4
bursty,0.4642995344946428,synthetic:edges-v0
bursty,0.48970217274418815,synthetic:edges-v9
bursty,0.49974525184118335,synthetic:grid-v0
bursty,0.7157044663616254,synthetic:grid-v6
bursty,1.4570299293796154,synthetic:horizon-v0
bursty,1.4824155279801765,synthetic:horizon-v3
bursty,1.7204513494993172,synthetic:illumination-v0
bursty,1.757408404322785,synthetic:lowlight-v0
bursty,2.2643325566591166,synthetic:lowlight-v8
bursty,2.512412616526685,synthetic:road-v0
bursty,3.2261398394309637,synthetic:road-v5
bursty,3.43772967156848,synthetic:smooth-v0
bursty,3.482524342946487,synthetic:targets-v0
bursty,4.929501732481942,synthetic:targets-v7
bursty,5.161346271708894,synthetic:text-v0
bursty,5.290815109034082,synthetic:text-v11
bursty,6.8695356799358365,synthetic:texture-v0
harsh,-0.009642937896259696,synthetic:clouds-v0
harsh,0.0,synthetic:clouds-v4
harsh,0.0,synthetic:edges-v0
harsh,0.0,synthetic:edges-v9
harsh,0.0,synthetic:grid-v0
harsh,0.0,synthetic:grid-v6
harsh,0.0,synthetic:horizon-v0
harsh,0.0,synthetic:horizon-v3
harsh,0.0,synthetic:illumination-v0
harsh,0.0,synthetic:lowlight-v0
harsh,0.0,synthetic:lowlight-v8
harsh,0.0,synthetic:road-v0
harsh,0.0,synthetic:road-v5
harsh,0.0,synthetic:smooth-v0
harsh,0.0,synthetic:targets-v0
harsh,0.0,synthetic:targets-v7
harsh,0.0,synthetic:text-v0
harsh,0.0,synthetic:text-v11
harsh,0.0,synthetic:texture-v0
