channel,hi,lo,logical_kb,method,psnr_full
clean,33.32365482032115,29.617638183367912,68.25,B0d,31.53760715533356
clean,33.02702992780319,29.26511165550549,68.25,B3,31.183555513102544
clean,33.32365482032115,29.617638183367912,68.25,B4,31.53760715533356
clean,31.32162087659719,27.802704016076365,68.49,B4t,29.62073799795876
clean,30.25917559673174,26.24878174490817,68.49,P,28.316649016155488
mild,33.32365482032115,29.617638183367912,68.25,B0d,31.53760715533356
mild,33.02702992780319,29.26511165550549,68.25,B3,31.183555513102544
mild,33.32365482032115,29.617638183367912,68.25,B4,31.53760715533356
mild,31.32162087659719,27.802704016076365,68.49,B4t,29.62073799795876
mild,30.25917559673174,26.24878174490817,68.49,P,28.316649016155488
moderate,30.81351929838942,26.707767552507363,68.25,B0d,28.743769861629403
moderate,33.03010363359621,29.268678933819704,68.25,B3,31.18870648907266
moderate,29.787023698739947,25.927036190386406,68.25,B4,27.86005072756061
moderate,30.85844420908363,27.26014101601652,68.49,B4t,29.103142225433466
moderate,29.83606627777993,25.764306618838383,68.49,P,27.863196416129753
bursty,26.276476666340212,22.189005443081705,68.25,B0d,24.169917486850377
bursty,33.025748849024396,29.255749014507842,68.25,B3,31.17748940169637
bursty,26.22033245314617,22.162542544976652,68.25,B4,24.135300394766055
bursty,28.69887400741146,24.902333690799267,68.49,B4t,26.807865782839578
bursty,27.945748306664502,23.805503150889464,68.49,P,25.907045444354626
harsh,nan,nan,68.25,B0d,nan
harsh,nan,nan,68.25,B3,nan
harsh,nan,nan,68.25,B4,nan
harsh,nan,nan,68.49,B4t,nan
harsh,nan,nan,68.49,P,nan
