axis,coverage,method,n_scenes,psnr_full,value
burst_len_lines,,B0a-R,6,31.252678253308872,1.0
burst_len_lines,,B0a-R,6,30.97929092750365,2.0
burst_len_lines,,B0a-R,6,30.64616167567556,4.0
burst_len_lines,,B0a-R,6,29.3150139160949,8.0
burst_len_lines,,B0a-R,6,26.99285443677249,16.0
burst_len_lines,,B0a-R,6,25.24071144008269,24.0
burst_len_lines,,B0a-R,6,23.597809501225573,32.0
burst_len_lines,,B0a-R,6,21.770697655332157,48.0
burst_len_lines,,B0a-R,6,19.639467718193885,64.0
burst_len_lines,,B4,6,33.85508502268938,1.0
burst_len_lines,,B4,6,33.85508502268938,2.0
burst_len_lines,,B4,6,33.434683620346384,4.0
burst_len_lines,,B4,6,32.02764548664454,8.0
burst_len_lines,,B4,6,32.848082392159625,16.0
burst_len_lines,,B4,6,30.535881944066432,24.0
burst_len_lines,,B4,6,27.48891482031792,32.0
burst_len_lines,,B4,6,23.038885840514194,48.0
burst_len_lines,,B4,6,20.458465692507243,64.0
burst_len_lines,,P,6,30.241559729020338,1.0
burst_len_lines,,P,6,30.241559729020338,2.0
burst_len_lines,,P,6,29.972230247537425,4.0
burst_len_lines,,P,6,28.98897105550532,8.0
burst_len_lines,,P,6,29.277812078344738,16.0
burst_len_lines,,P,6,28.584606090775953,24.0
burst_len_lines,,P,6,29.14011828576727,32.0
burst_len_lines,,P,6,28.057987451540697,48.0
burst_len_lines,,P,6,25.772883015758826,64.0
burst_len_lines,1.0,B0a-R,6,,1.0
burst_len_lines,1.0,B0a-R,6,,2.0
burst_len_lines,1.0,B0a-R,6,,4.0
burst_len_lines,1.0,B0a-R,6,,8.0
burst_len_lines,1.0,B0a-R,6,,16.0
burst_len_lines,1.0,B0a-R,6,,24.0
burst_len_lines,1.0,B0a-R,6,,32.0
burst_len_lines,1.0,B0a-R,6,,48.0
burst_len_lines,1.0,B0a-R,6,,64.0
burst_len_lines,1.0,B4,6,,1.0
burst_len_lines,1.0,B4,6,,2.0
burst_len_lines,0.9861111111111112,B4,6,,4.0
burst_len_lines,0.9444444444444445,B4,6,,8.0
burst_len_lines,0.9571759259259259,B4,6,,16.0
burst_len_lines,0.8807870370370371,B4,6,,24.0
burst_len_lines,0.7719907407407408,B4,6,,32.0
burst_len_lines,0.5810185185185185,B4,6,,48.0
burst_len_lines,0.38773148148148157,B4,6,,64.0
burst_len_lines,1.0,P,6,,1.0
burst_len_lines,1.0,P,6,,2.0
burst_len_lines,0.9849537037037037,P,6,,4.0
burst_len_lines,0.9490740740740741,P,6,,8.0
burst_len_lines,0.9548611111111113,P,6,,16.0
burst_len_lines,0.9039351851851851,P,6,,24.0
burst_len_lines,0.8726851851851852,P,6,,32.0
burst_len_lines,0.75,P,6,,48.0
burst_len_lines,0.5584490740740741,P,6,,64.0
