axis,method,n_scenes,psnr_full,symbol_errors_pre_fec,value
lowpass_sigma,B0a-R,6,,nan,0.5
lowpass_sigma,B0a-R,6,,nan,1.0
lowpass_sigma,B0a-R,6,,nan,1.5
lowpass_sigma,B0a-R,6,,nan,2.0
lowpass_sigma,B0a-R,6,,nan,2.5
lowpass_sigma,B4,6,,0.0,0.5
lowpass_sigma,B4,6,,0.0,1.0
lowpass_sigma,B4,6,,0.0,1.5
lowpass_sigma,B4,6,,0.0,2.0
lowpass_sigma,B4,6,,0.0,2.5
lowpass_sigma,P,6,,0.0,0.5
lowpass_sigma,P,6,,0.0,1.0
lowpass_sigma,P,6,,0.0,1.5
lowpass_sigma,P,6,,0.0,2.0
lowpass_sigma,P,6,,0.0,2.5
lowpass_sigma,B0a-R,6,31.525086029226326,,0.5
lowpass_sigma,B0a-R,6,31.542861611256313,,1.0
lowpass_sigma,B0a-R,6,31.514597562028854,,1.5
lowpass_sigma,B0a-R,6,31.522936169249615,,2.0
lowpass_sigma,B0a-R,6,31.535715195812045,,2.5
lowpass_sigma,B4,6,33.85389132068004,,0.5
lowpass_sigma,B4,6,33.85389132068004,,1.0
lowpass_sigma,B4,6,33.85389132068004,,1.5
lowpass_sigma,B4,6,33.85389132068004,,2.0
lowpass_sigma,B4,6,33.85389132068004,,2.5
lowpass_sigma,P,6,30.24118364172915,,0.5
lowpass_sigma,P,6,30.24118364172915,,1.0
lowpass_sigma,P,6,30.24118364172915,,1.5
lowpass_sigma,P,6,30.24118364172915,,2.0
lowpass_sigma,P,6,30.24118364172915,,2.5
