gain,method,offset,sd,value
0.6,P,-20.0,0.0,1.0
0.75,P,-20.0,0.0,1.0
0.9,P,-20.0,0.0,1.0
1.0,P,-20.0,0.0,1.0
1.1,P,-20.0,0.0,1.0
0.6,P,-10.0,0.0,1.0
0.75,P,-10.0,0.0,1.0
0.9,P,-10.0,0.0,1.0
1.0,P,-10.0,0.0,1.0
1.1,P,-10.0,0.0,1.0
0.6,P,0.0,0.0,1.0
0.75,P,0.0,0.0,1.0
0.9,P,0.0,0.0,1.0
1.0,P,0.0,0.0,1.0
1.1,P,0.0,0.0,1.0
0.6,P,10.0,0.0,1.0
0.75,P,10.0,0.0,1.0
0.9,P,10.0,0.0,1.0
1.0,P,10.0,0.0,1.0
1.1,P,10.0,0.0,1.0
0.6,P,20.0,0.0,1.0
0.75,P,20.0,0.0,1.0
0.9,P,20.0,0.0,1.0
1.0,P,20.0,0.0,1.0
1.1,P,20.0,0.0,1.0
0.6,P,40.0,0.0,1.0
0.75,P,40.0,0.0,1.0
0.9,P,40.0,0.0,1.0
1.0,P,40.0,0.0,1.0
1.1,P,40.0,0.0,1.0
