burst_len_lines,method,noise_sigma,sd,value
1.0,P-B4,0.0,3.9267280744774586,-3.600302383044845
1.0,P-B4,4.0,3.9267280744774586,-3.600302383044845
1.0,P-B4,8.0,3.9267280744774586,-3.600302383044845
1.0,P-B4,12.0,3.9267280744774586,-3.600302383044845
1.0,P-B4,16.0,3.9267280744774586,-3.600302383044845
4.0,P-B4,0.0,3.9267280744774586,-3.600302383044845
4.0,P-B4,4.0,3.9267280744774586,-3.600302383044845
4.0,P-B4,8.0,3.9267280744774586,-3.600302383044845
4.0,P-B4,12.0,3.9267280744774586,-3.600302383044845
4.0,P-B4,16.0,3.9267280744774586,-3.600302383044845
8.0,P-B4,0.0,3.9267280744774586,-3.600302383044845
8.0,P-B4,4.0,3.9267280744774586,-3.600302383044845
8.0,P-B4,8.0,3.9267280744774586,-3.600302383044845
8.0,P-B4,12.0,3.9267280744774586,-3.600302383044845
8.0,P-B4,16.0,3.9267280744774586,-3.600302383044845
16.0,P-B4,0.0,3.9267280744774586,-3.600302383044845
16.0,P-B4,4.0,3.9267280744774586,-3.600302383044845
16.0,P-B4,8.0,3.9267280744774586,-3.600302383044845
16.0,P-B4,12.0,3.9267280744774586,-3.600302383044845
16.0,P-B4,16.0,3.9267280744774586,-3.600302383044845
32.0,P-B4,0.0,3.9267280744774586,-3.600302383044845
32.0,P-B4,4.0,3.9267280744774586,-3.600302383044845
32.0,P-B4,8.0,3.9267280744774586,-3.600302383044845
32.0,P-B4,12.0,3.9267280744774586,-3.600302383044845
32.0,P-B4,16.0,3.9267280744774586,-3.600302383044845
48.0,P-B4,0.0,3.9267280744774586,-3.600302383044845
48.0,P-B4,4.0,3.9267280744774586,-3.600302383044845
48.0,P-B4,8.0,3.9267280744774586,-3.600302383044845
48.0,P-B4,12.0,3.9267280744774586,-3.600302383044845
48.0,P-B4,16.0,3.9267280744774586,-3.600302383044845
