burst_lines,rs_nsym,scheme,survives_as_erasures,worst_damaged_bytes
1.0,128,bawp-16,True,26.0
2.0,128,bawp-16,True,52.0
4.0,128,bawp-16,True,78.0
8.0,128,bawp-16,False,130.0
16.0,128,bawp-16,False,234.0
24.0,128,bawp-16,False,338.0
32.0,128,bawp-16,False,438.0
48.0,128,bawp-16,False,638.0
64.0,128,bawp-16,False,838.0
1.0,128,bawp-32,True,26.0
2.0,128,bawp-32,True,52.0
4.0,128,bawp-32,True,78.0
8.0,128,bawp-32,False,130.0
16.0,128,bawp-32,False,234.0
24.0,128,bawp-32,False,338.0
32.0,128,bawp-32,False,438.0
48.0,128,bawp-32,False,638.0
64.0,128,bawp-32,False,838.0
1.0,128,bawp-8,True,26.0
2.0,128,bawp-8,True,52.0
4.0,128,bawp-8,True,78.0
8.0,128,bawp-8,False,130.0
16.0,128,bawp-8,False,234.0
24.0,128,bawp-8,False,338.0
32.0,128,bawp-8,False,438.0
48.0,128,bawp-8,False,638.0
64.0,128,bawp-8,False,838.0
1.0,128,block-16,True,76.0
2.0,128,block-16,False,152.0
4.0,128,block-16,False,228.0
8.0,128,block-16,False,380.0
16.0,128,block-16,False,684.0
24.0,128,block-16,False,988.0
32.0,128,block-16,False,1292.0
48.0,128,block-16,False,1900.0
64.0,128,block-16,False,2498.0
1.0,128,block-278,True,13.0
2.0,128,block-278,True,26.0
4.0,128,block-278,True,39.0
8.0,128,block-278,True,65.0
16.0,128,block-278,True,117.0
24.0,128,block-278,False,169.0
32.0,128,block-278,False,221.0
48.0,128,block-278,False,325.0
64.0,128,block-278,False,429.0
1.0,128,block-64,True,67.0
2.0,128,block-64,False,134.0
4.0,128,block-64,False,201.0
8.0,128,block-64,False,335.0
16.0,128,block-64,False,603.0
24.0,128,block-64,False,871.0
32.0,128,block-64,False,1139.0
48.0,128,block-64,False,1568.0
64.0,128,block-64,False,1824.0
1.0,128,diagonal-64,True,13.0
2.0,128,diagonal-64,True,26.0
4.0,128,diagonal-64,True,39.0
8.0,128,diagonal-64,True,65.0
16.0,128,diagonal-64,True,117.0
24.0,128,diagonal-64,False,169.0
32.0,128,diagonal-64,False,221.0
48.0,128,diagonal-64,False,325.0
64.0,128,diagonal-64,False,429.0
1.0,128,random-64,True,25.0
2.0,128,random-64,True,45.0
4.0,128,random-64,True,56.0
8.0,128,random-64,True,86.0
16.0,128,random-64,False,142.0
24.0,128,random-64,False,194.0
32.0,128,random-64,False,247.0
48.0,128,random-64,False,356.0
64.0,128,random-64,False,464.0
1.0,128,sequential,True,76.0
2.0,128,sequential,False,152.0
4.0,128,sequential,False,228.0
8.0,128,sequential,False,380.0
16.0,128,sequential,False,684.0
24.0,128,sequential,False,988.0
32.0,128,sequential,False,1292.0
48.0,128,sequential,False,1900.0
64.0,128,sequential,False,2508.0
