bound_holds,burst_lines,claimed_bound,measured,scheme
False,1.0,7.0,26.0,bawp-16
False,2.0,13.0,33.0,bawp-16
False,4.0,20.0,40.0,bawp-16
False,8.0,33.0,52.0,bawp-16
False,16.0,59.0,78.0,bawp-16
False,24.0,85.0,104.0,bawp-16
False,32.0,111.0,129.0,bawp-16
False,48.0,163.0,179.0,bawp-16
False,64.0,215.0,229.0,bawp-16
False,1.0,7.0,26.0,bawp-32
False,2.0,13.0,33.0,bawp-32
False,4.0,20.0,40.0,bawp-32
False,8.0,33.0,52.0,bawp-32
False,16.0,59.0,78.0,bawp-32
False,24.0,85.0,104.0,bawp-32
False,32.0,111.0,129.0,bawp-32
False,48.0,163.0,179.0,bawp-32
False,64.0,215.0,229.0,bawp-32
False,1.0,7.0,26.0,bawp-8
False,2.0,13.0,33.0,bawp-8
False,4.0,20.0,40.0,bawp-8
False,8.0,33.0,52.0,bawp-8
False,16.0,59.0,78.0,bawp-8
False,24.0,85.0,104.0,bawp-8
False,32.0,111.0,129.0,bawp-8
False,48.0,163.0,179.0,bawp-8
False,64.0,215.0,229.0,bawp-8
