burst_lines,p_both_descriptions_lost,p_both_descriptions_touched,scheme
1.0,0,0,bawp-16
2.0,0,0.0036,bawp-16
4.0,0,0.0072,bawp-16
8.0,0,0.0146,bawp-16
16.0,0,0.0296,bawp-16
24.0,0,0.0451,bawp-16
32.0,0,0.0611,bawp-16
48.0,0,0.0945,bawp-16
64.0,0,0.1301,bawp-16
1.0,0,0,bawp-32
2.0,0,0.0036,bawp-32
4.0,0,0.0072,bawp-32
8.0,0,0.0146,bawp-32
16.0,0,0.0296,bawp-32
24.0,0,0.0451,bawp-32
32.0,0,0.0611,bawp-32
48.0,0,0.0945,bawp-32
64.0,0,0.1301,bawp-32
1.0,0,0,bawp-8
2.0,0,0.0036,bawp-8
4.0,0,0.0072,bawp-8
8.0,0,0.0146,bawp-8
16.0,0,0.0296,bawp-8
24.0,0,0.0451,bawp-8
32.0,0,0.0611,bawp-8
48.0,0,0.0945,bawp-8
64.0,0,0.1301,bawp-8
1.0,0,0.1727,block-16
2.0,0.0108,0.1841,block-16
4.0,0.0217,0.1957,block-16
8.0,0.0438,0.219,block-16
16.0,0.1778,0.2667,block-16
24.0,0.2256,0.3158,block-16
32.0,0.2748,0.3664,block-16
48.0,0.378,0.4724,block-16
64.0,0.4878,0.5854,block-16
1.0,0,1.0,block-278
2.0,0,1.0,block-278
4.0,0,1.0,block-278
8.0,0,1.0,block-278
16.0,0,1.0,block-278
24.0,0,1.0,block-278
32.0,0,1.0,block-278
48.0,0,1.0,block-278
64.0,0,1.0,block-278
1.0,0,0.6906,block-64
2.0,0,0.6968,block-64
4.0,0,0.7029,block-64
8.0,0,0.7153,block-64
16.0,0,0.7407,block-64
24.0,0,0.7669,block-64
32.0,0.3664,0.7939,block-64
48.0,0.5984,0.8425,block-64
64.0,0.6992,0.8699,block-64
1.0,0,1.0,diagonal-64
2.0,0,1.0,diagonal-64
4.0,0,1.0,diagonal-64
8.0,0,1.0,diagonal-64
16.0,0,1.0,diagonal-64
24.0,0,1.0,diagonal-64
32.0,0,1.0,diagonal-64
48.0,0,1.0,diagonal-64
64.0,0,1.0,diagonal-64
1.0,0,1.0,random-64
2.0,0,1.0,random-64
4.0,0,1.0,random-64
8.0,0,1.0,random-64
16.0,0,1.0,random-64
24.0,0,1.0,random-64
32.0,0.5038,1.0,random-64
48.0,1.0,1.0,random-64
64.0,1.0,1.0,random-64
1.0,0,0.0108,sequential
2.0,0,0.0217,sequential
4.0,0,0.0326,sequential
8.0,0.0073,0.0547,sequential
16.0,0.0519,0.1,sequential
24.0,0.0977,0.1466,sequential
32.0,0.145,0.1947,sequential
48.0,0.2441,0.2953,sequential
64.0,0.3496,0.4024,sequential
