calls,max_ms,mean_ms,median_ms,n_samples,p95_ms,p99_ms,resolution,stage,total_s,warmup_discarded
42,25.156499999866355,18.007638095046527,17.68629999969562,42,19.037610000486893,24.377910000293916,256x192,rx.demodulation,0.7563207999919541,1
6,17.728000002534827,17.549216667248402,17.665800000031595,6,17.720850001751387,17.72657000237814,384x288,B3.demodulation,0.10529530000349041,1
36,19.802300001174444,17.74443888845983,17.608749998544226,36,19.253350000326463,19.692434999888064,320x240,rx.demodulation,0.6387997999845538,1
6,18.00310000180616,17.599916667677462,17.57865000035963,6,17.982350001148006,17.99895000167453,256x192,B3.demodulation,0.10559950000606477,1
24,18.906799999967916,17.65803333319127,17.48234999831766,24,18.768325001656194,18.87696900041192,128x96,rx.demodulation,0.4237927999965905,1
6,17.72479999999632,17.441849999158876,17.440199999327888,6,17.713049999656505,17.722449999928358,128x96,B3.demodulation,0.10465109999495326,1
6,17.753100000845734,17.369649999939913,17.399299998942297,6,17.6882250007111,17.740125000818807,320x240,B3.demodulation,0.10421789999963949,1
36,18.80639999944833,17.425627778013425,17.35335000012128,36,18.037374999948952,18.572075000338373,384x288,rx.demodulation,0.6273226000084833,1
175,35.188099998777034,16.162718856940046,17.268399999011308,175,27.289079998808994,34.09700799878919,256x192,rx.fec_payload,2.828475799964508,1
127,34.36440000223229,14.635638582414083,16.525600000022678,127,22.936719999779598,24.543112001847472,320x240,rx.fec_payload,1.8587260999665887,1
128,34.08580000177608,14.628560156296544,16.51445000061358,128,23.433619998832,24.516554999463555,384x288,rx.fec_payload,1.8724557000059576,1
105,33.19059999921592,15.019083809567661,16.410199998063035,105,26.285379999899305,32.53945199874578,128x96,rx.fec_payload,1.5770038000046043,1
14,5.599399999482557,5.078114285684673,5.058699998699012,14,5.418894998911128,5.56329899936827,384x288,tx.source_coding,0.07109359999958542,1
6,4.355699998995988,4.2034833331854315,4.261350000888342,6,4.34294999922713,4.353149999042216,384x288,B3.source_coding,0.02522089999911259,1
14,4.128500000661006,3.780628571933318,3.7118000000191387,14,4.120570001759916,4.126914000880788,320x240,tx.source_coding,0.05292880000706646,1
6,3.42599999930826,3.0859666664279453,3.007800001796568,6,3.3527999994475977,3.4113599993361277,320x240,B3.source_coding,0.018515799998567672,1
144,5.032700002630008,2.331661805328622,2.7716499989764998,144,3.7086949978402117,3.9585360019555065,320x240,tx.crypto,0.33575929996732157,1
144,3.9364000003843103,2.385704861151478,2.7163000013388228,144,3.7462399972355342,3.8485670010049944,384x288,tx.crypto,0.34354150000581285,1
