burst_lines,ci95,method,psnr_full
1.0,1.6482431326823423,B0a-R,31.252678253308872
2.0,1.4891759044041557,B0a-R,30.97929092750365
4.0,1.550895863056687,B0a-R,30.64616167567556
8.0,1.3530709681196589,B0a-R,29.3150139160949
16.0,1.562126188197559,B0a-R,26.99285443677249
24.0,1.3501025331622898,B0a-R,25.24071144008269
32.0,1.3255110151344696,B0a-R,23.597809501225573
48.0,1.871750879956158,B0a-R,21.770697655332157
64.0,1.3453673041943228,B0a-R,19.639467718193885
1.0,2.1071032446100753,B4,33.85508502268938
2.0,2.1071032446100753,B4,33.85508502268938
4.0,2.086965032508515,B4,33.434683620346384
8.0,1.7812860083486077,B4,32.02764548664454
16.0,2.3152164708003835,B4,32.848082392159625
24.0,2.243445595205189,B4,30.535881944066432
32.0,2.2274031735549955,B4,27.48891482031792
48.0,2.2654130775922465,B4,23.038885840514194
64.0,1.9224925386069347,B4,20.458465692507243
1.0,2.2977917488712425,P,30.241559729020338
2.0,2.2977917488712425,P,30.241559729020338
4.0,2.3615773347062223,P,29.972230247537425
8.0,2.042081278743697,P,28.98897105550532
16.0,2.409741027361336,P,29.277812078344738
24.0,2.4485210243886657,P,28.584606090775953
32.0,2.4154913920572696,P,29.14011828576727
48.0,2.2489425961719394,P,28.057987451540697
64.0,1.778540216738651,P,25.772883015758826
