bits_per_frame,codec,n_descriptions,psnr_full,quality
10981.5,dct,1,30.631142933764064,8
14676.0,dct,1,32.46597785791538,12
15461.714285714286,dct,1,34.93973480229861,18
19114.0,dct,1,36.3349542217368,25
20639.0,dct,1,38.94741045704182,35
25537.0,dct,1,40.457441051745285,50
28837.5,dct,1,42.033311198304546,70
29822.0,jpeg,1,31.301569907119273,8
31887.69230769231,jpeg,1,33.495448791789855,12
32761.0,jpeg,1,36.034952832794396,18
35293.666666666664,jpeg,1,37.39076993389225,25
35451.5,jpeg,1,39.192477342768846,35
39766.0,jpeg,1,40.7228085014796,50
45833.0,jpeg,1,43.64431727857577,70
