burst_len_lines,burst_rate_per_frame,d_P_B4t,operable_B4t,operable_P,significant
1.0,1.0,-1.6476,1.0,1.0,True
4.0,1.0,-1.6123,0.9907407407407408,0.9907407407407408,True
8.0,1.0,-1.7787,0.9907407407407408,0.9722222222222223,True
12.0,1.0,-1.7026,0.9907407407407408,0.9444444444444445,True
16.0,1.0,-1.4123,0.9629629629629631,0.9537037037037037,True
20.0,1.0,-1.6144,0.9722222222222223,0.9722222222222223,True
24.0,1.0,-1.5117,0.9629629629629631,0.9351851851851851,True
28.0,1.0,-1.7461,0.9814814814814815,0.9722222222222223,True
32.0,1.0,-1.7345,0.9629629629629629,0.9537037037037037,True
40.0,1.0,-1.3915,0.9537037037037037,0.8796296296296298,True
48.0,1.0,-1.3328,0.9444444444444445,0.898148148148148,True
64.0,1.0,-1.6473,0.9166666666666666,0.75,True
1.0,2.0,-1.6476,1.0,1.0,True
4.0,2.0,-1.6476,1.0,1.0,True
8.0,2.0,-1.7913,0.9537037037037038,0.9351851851851852,True
12.0,2.0,-1.2357,0.9074074074074074,0.8796296296296297,True
16.0,2.0,-1.521,0.9351851851851851,0.9166666666666665,True
20.0,2.0,-1.5222,0.9444444444444443,0.9074074074074074,True
24.0,2.0,-1.0484,0.8981481481481483,0.861111111111111,False
28.0,2.0,-1.8712,0.9629629629629629,0.9074074074074074,True
32.0,2.0,-1.5429,0.8796296296296297,0.7962962962962963,True
40.0,2.0,-1.3112,0.8703703703703703,0.7037037037037037,True
48.0,2.0,-1.6172,0.9166666666666666,0.7129629629629629,True
64.0,2.0,-0.9426,0.7777777777777778,0.3796296296296296,False
1.0,4.0,-1.6476,1.0,1.0,True
4.0,4.0,-1.4554,0.9629629629629631,0.9537037037037037,True
8.0,4.0,-1.4253,0.888888888888889,0.8611111111111112,True
12.0,4.0,-1.6444,0.9074074074074074,0.824074074074074,True
16.0,4.0,-1.6992,0.9351851851851851,0.8888888888888888,True
20.0,4.0,-1.3923,0.8796296296296298,0.8055555555555555,False
24.0,4.0,-1.7791,0.8703703703703706,0.6944444444444443,True
28.0,4.0,-1.723,0.8796296296296297,0.6296296296296298,True
32.0,4.0,-1.0981,0.8240740740740741,0.5092592592592592,False
40.0,4.0,-1.0134,0.7222222222222222,0.25925925925925924,False
48.0,4.0,1.1013,0.537037037037037,0.25,True
64.0,4.0,0.9581,0.3148148148148148,0.027777777777777776,False
1.0,8.0,-1.7544,0.9907407407407408,0.9722222222222222,True
4.0,8.0,-1.701,0.9074074074074074,0.861111111111111,True
8.0,8.0,-1.818,0.8425925925925926,0.7870370370370371,True
12.0,8.0,-1.6801,0.888888888888889,0.7314814814814814,True
16.0,8.0,-1.3144,0.7314814814814815,0.4259259259259259,False
20.0,8.0,-0.873,0.5,0.2777777777777778,True
24.0,8.0,-0.3142,0.48148148148148145,0.19444444444444442,False
28.0,8.0,1.0457,0.32407407407407407,0.0462962962962963,True
32.0,8.0,1.8907,0.20370370370370372,0.037037037037037035,True
40.0,8.0,2.4359,0.08333333333333333,0.009259259259259259,True
48.0,8.0,2.0567,0.027777777777777776,0.0,True
64.0,8.0,1.9523,0.0,0.0,True
