burst_len_lines,channel,coverage,gain,grid,method,n_scenes,noise_sigma,offset,psnr_full,psnr_full_sd
1,mild[noise_sigmaxburst_len_lines=0],1.0,,noise_x_burst,B0a-R,6,0,,31.599140450118085,2.224384532192201
1,mild[noise_sigmaxburst_len_lines=0],1.0,,noise_x_burst,B4,6,0,,33.8518308336543,2.6701546587709486
1,mild[noise_sigmaxburst_len_lines=0],1.0,,noise_x_burst,P,6,0,,30.252280210321263,2.879750082925159
32,mild[noise_sigmaxburst_len_lines=10],1.0,,noise_x_burst,B0a-R,6,4,,31.268054737234895,1.9780971479873182
32,mild[noise_sigmaxburst_len_lines=10],1.0,,noise_x_burst,B4,6,4,,33.8518308336543,2.6701546587709486
32,mild[noise_sigmaxburst_len_lines=10],1.0,,noise_x_burst,P,6,4,,30.252280210321263,2.879750082925159
48,mild[noise_sigmaxburst_len_lines=11],1.0,,noise_x_burst,B0a-R,6,4,,31.249847021615718,2.0185841563500113
48,mild[noise_sigmaxburst_len_lines=11],1.0,,noise_x_burst,B4,6,4,,33.8518308336543,2.6701546587709486
48,mild[noise_sigmaxburst_len_lines=11],1.0,,noise_x_burst,P,6,4,,30.252280210321263,2.879750082925159
1,mild[noise_sigmaxburst_len_lines=12],1.0,,noise_x_burst,B0a-R,6,8,,30.01405427161461,1.5378994741887217
1,mild[noise_sigmaxburst_len_lines=12],1.0,,noise_x_burst,B4,6,8,,33.8518308336543,2.6701546587709486
1,mild[noise_sigmaxburst_len_lines=12],1.0,,noise_x_burst,P,6,8,,30.252280210321263,2.879750082925159
4,mild[noise_sigmaxburst_len_lines=13],1.0,,noise_x_burst,B0a-R,6,8,,30.012860793161604,1.5466008505658135
4,mild[noise_sigmaxburst_len_lines=13],1.0,,noise_x_burst,B4,6,8,,33.8518308336543,2.6701546587709486
4,mild[noise_sigmaxburst_len_lines=13],1.0,,noise_x_burst,P,6,8,,30.252280210321263,2.879750082925159
8,mild[noise_sigmaxburst_len_lines=14],1.0,,noise_x_burst,B0a-R,6,8,,30.00597837384937,1.5529537378976326
8,mild[noise_sigmaxburst_len_lines=14],1.0,,noise_x_burst,B4,6,8,,33.8518308336543,2.6701546587709486
8,mild[noise_sigmaxburst_len_lines=14],1.0,,noise_x_burst,P,6,8,,30.252280210321263,2.879750082925159
16,mild[noise_sigmaxburst_len_lines=15],1.0,,noise_x_burst,B0a-R,6,8,,30.020962814971156,1.5508708594444909
16,mild[noise_sigmaxburst_len_lines=15],1.0,,noise_x_burst,B4,6,8,,33.8518308336543,2.6701546587709486
