channel,channel_axis,channel_value,clip,clip_hash,config_id,detail,job_id,method,n_frames,n_frames_done,profile_id,repetition,scene,status,trace_id,wall_s
clean,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,128a28541362e79c,B0a,16,16,7fe30b1136,0,synthetic:horizon-v0,ok,clean|clip_horizon_slow_v0|clean|rep0|seed20240909,0.5592
clean,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,bae95a4c077bdfca,B0a,16,16,7fe30b1136,1,synthetic:horizon-v0,ok,clean|clip_horizon_slow_v0|clean|rep1|seed20240909,0.5352
clean,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,a520c072b9578bf8,B0a,16,16,7fe30b1136,2,synthetic:horizon-v0,ok,clean|clip_horizon_slow_v0|clean|rep2|seed20240909,0.5356
clean,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,7675edc41919e8ce,B0a,16,16,7fe30b1136,3,synthetic:horizon-v0,ok,clean|clip_horizon_slow_v0|clean|rep3|seed20240909,0.576
clean,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,c2ef832a8ab222ec,B0a,16,16,7fe30b1136,4,synthetic:horizon-v0,ok,clean|clip_horizon_slow_v0|clean|rep4|seed20240909,0.5474
mild,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,ca0ced5422c8c7dd,B0a,16,16,7fe30b1136,0,synthetic:horizon-v0,ok,mild|clip_horizon_slow_v0|mild|rep0|seed20240909,0.7586
mild,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,1c7e195c417a755b,B0a,16,16,7fe30b1136,3,synthetic:horizon-v0,ok,mild|clip_horizon_slow_v0|mild|rep3|seed20240909,0.5304
mild,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,fa62d3d20fa2709d,B0a,16,16,7fe30b1136,2,synthetic:horizon-v0,ok,mild|clip_horizon_slow_v0|mild|rep2|seed20240909,0.6543
mild,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,562aaea68167213c,B0a,16,16,7fe30b1136,1,synthetic:horizon-v0,ok,mild|clip_horizon_slow_v0|mild|rep1|seed20240909,0.7334
mild,,nan,clip_horizon_slow_v0,d424d0bafb90980838c59d9de19364d1b009ee4fb63d43e8308f06fd05d4cc0f,fe45d509310b99d4,,d6e4e45f0ec72919,B0a,16,16,7fe30b1136,4,synthetic:horizon-v0,ok,mild|clip_horizon_slow_v0|mild|rep4|seed20240909,0.6707
