burst_lines,column_twist,descriptions_in_one_stripe,descriptions_lost_in_one_stripe,fraction,n_burst_positions,n_descriptions,outcome,scheme,stripe_lost
1,1,0,-1,0.0072,2,1,touched,sequential,False
1,1,1,-1,0.9928,276,1,touched,sequential,False
1,1,0,0,1.0,278,1,lost,sequential,False
2,1,0,-1,0.0036,1,1,touched,sequential,False
2,1,1,-1,0.9964,276,1,touched,sequential,False
2,1,0,0,0.8592,238,1,lost,sequential,False
2,1,1,1,0.1408,39,1,lost,sequential,True
4,1,1,-1,1.0,276,1,touched,sequential,False
4,1,0,0,0.8188,226,1,lost,sequential,False
4,1,1,1,0.1812,50,1,lost,sequential,True
8,1,1,-1,1.0,274,1,touched,sequential,False
8,1,0,0,0.0839,23,1,lost,sequential,False
8,1,1,1,0.9161,251,1,lost,sequential,True
16,1,1,-1,1.0,270,1,touched,sequential,False
16,1,1,1,1.0,270,1,lost,sequential,True
24,1,1,-1,1.0,266,1,touched,sequential,False
24,1,1,1,1.0,266,1,lost,sequential,True
32,1,1,-1,1.0,262,1,touched,sequential,False
32,1,1,1,1.0,262,1,lost,sequential,True
48,1,1,-1,1.0,254,1,touched,sequential,False
48,1,1,1,1.0,254,1,lost,sequential,True
64,1,1,-1,1.0,246,1,touched,sequential,False
64,1,1,1,1.0,246,1,lost,sequential,True
1,1,0,-1,0.0072,2,2,touched,sequential,False
1,1,1,-1,0.982,273,2,touched,sequential,False
1,1,2,-1,0.0108,3,2,touched,sequential,False
1,1,0,0,1.0,278,2,lost,sequential,False
2,1,0,-1,0.0036,1,2,touched,sequential,False
2,1,1,-1,0.9747,270,2,touched,sequential,False
2,1,2,-1,0.0217,6,2,touched,sequential,False
2,1,0,0,0.8592,238,2,lost,sequential,False
2,1,1,1,0.1408,39,2,lost,sequential,False
4,1,1,-1,0.9674,267,2,touched,sequential,False
4,1,2,-1,0.0326,9,2,touched,sequential,False
4,1,0,0,0.8188,226,2,lost,sequential,False
4,1,1,1,0.1812,50,2,lost,sequential,False
8,1,1,-1,0.9453,259,2,touched,sequential,False
8,1,2,-1,0.0547,15,2,touched,sequential,False
8,1,0,0,0.0839,23,2,lost,sequential,False
8,1,1,1,0.9088,249,2,lost,sequential,False
8,1,2,2,0.0073,2,2,lost,sequential,True
16,1,1,-1,0.9,243,2,touched,sequential,False
16,1,2,-1,0.1,27,2,touched,sequential,False
16,1,1,1,0.9481,256,2,lost,sequential,False
16,1,2,2,0.0519,14,2,lost,sequential,True
24,1,1,-1,0.8534,227,2,touched,sequential,False
24,1,2,-1,0.1466,39,2,touched,sequential,False
24,1,1,1,0.9023,240,2,lost,sequential,False
24,1,2,2,0.0977,26,2,lost,sequential,True
32,1,1,-1,0.8053,211,2,touched,sequential,False
32,1,2,-1,0.1947,51,2,touched,sequential,False
32,1,1,1,0.855,224,2,lost,sequential,False
32,1,2,2,0.145,38,2,lost,sequential,True
48,1,1,-1,0.7047,179,2,touched,sequential,False
48,1,2,-1,0.2953,75,2,touched,sequential,False
48,1,1,1,0.7559,192,2,lost,sequential,False
48,1,2,2,0.2441,62,2,lost,sequential,True
64,1,1,-1,0.5976,147,2,touched,sequential,False
64,1,2,-1,0.4024,99,2,touched,sequential,False
64,1,1,1,0.6504,160,2,lost,sequential,False
64,1,2,2,0.3496,86,2,lost,sequential,True
1,1,0,-1,0.0072,2,4,touched,sequential,False
1,1,1,-1,0.9784,272,4,touched,sequential,False
