channel_value,clip,corrected_symbols,coverage,detail,estimated_fraction,frame,frame_id,max_age_frames,method,payload_bytes,psnr_full,psnr_verified,rasters,repetition,scene,ssim_full,ssim_verified,stale_fraction,status,status_auth_failed,status_filler,status_fragment_recovered,status_frame_verified,status_header_invalid,status_header_unrecoverable,status_no_sync,status_payload_unrecoverable,status_raster_dropped,status_verified,symbol_error_denominator,symbol_errors_pre_fec,units_rejected,units_sent,units_verified,wire_bytes,x_est_dx,x_est_dy,x_filler_units,x_fragments,x_fragments_recovered,x_rasters_delivered,x_repetitions_received,x_repetitions_sent,x_segments,x_sync_score,x_units_from_other_frames,x_units_per_raster
,clip_grid_fast_v6,,,"frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,B0d,,,,,0,synthetic:grid-v6,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_grid_fast_v6,,,"frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,B0d,,,,,3,synthetic:grid-v6,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_grid_fast_v6,,,"frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,B0d,,,,,1,synthetic:grid-v6,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_grid_fast_v6,,,"frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,B0d,,,,,4,synthetic:grid-v6,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_grid_fast_v6,,,"frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,B0d,,,,,2,synthetic:grid-v6,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_grid_fast_v6,,,"frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,B0d,,,,,0,synthetic:grid-v6,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_grid_fast_v6,,,"frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,B0d,,,,,3,synthetic:grid-v6,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_grid_fast_v6,,,"frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,B0d,,,,,1,synthetic:grid-v6,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_grid_fast_v6,,,"frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,B0d,,,,,4,synthetic:grid-v6,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_grid_fast_v6,,,"frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,B4,,,,,2,synthetic:grid-v6,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_grid_fast_v6,,,"frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,B4,,,,,0,synthetic:grid-v6,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_grid_fast_v6,,,"frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,B4,,,,,3,synthetic:grid-v6,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_grid_fast_v6,,,"frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,B4,,,,,1,synthetic:grid-v6,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_grid_fast_v6,,,"frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,B4,,,,,4,synthetic:grid-v6,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_grid_fast_v6,,,"frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,B4,,,,,2,synthetic:grid-v6,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_grid_fast_v6,,,"frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,B4,,,,,0,synthetic:grid-v6,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_grid_fast_v6,,,"frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,B4,,,,,3,synthetic:grid-v6,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_grid_fast_v6,,,"frame 0 needs 6 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,P,,,,,1,synthetic:grid-v6,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_grid_fast_v6,,,"frame 0 needs 6 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,P,,,,,4,synthetic:grid-v6,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_grid_fast_v6,,,"frame 0 needs 6 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,P,,,,,2,synthetic:grid-v6,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_grid_fast_v6,,,"frame 0 needs 6 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,P,,,,,0,synthetic:grid-v6,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_grid_fast_v6,,,"frame 0 needs 6 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,P,,,,,3,synthetic:grid-v6,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_grid_fast_v6,,,"frame 0 needs 6 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,P,,,,,1,synthetic:grid-v6,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_grid_fast_v6,,,"frame 0 needs 6 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,P,,,,,4,synthetic:grid-v6,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_grid_fast_v6,,,"frame 0 needs 6 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,P,,,,,2,synthetic:grid-v6,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_text_fast_v11,,,"frame 7 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,P,,,,,0,synthetic:text-v11,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_text_fast_v11,,,"frame 7 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,P,,,,,3,synthetic:text-v11,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_text_fast_v11,,,"frame 7 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,P,,,,,1,synthetic:text-v11,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_text_fast_v11,,,"frame 7 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,P,,,,,4,synthetic:text-v11,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_text_fast_v11,,,"frame 7 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,P,,,,,2,synthetic:text-v11,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_text_fast_v11,,,"frame 7 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,P,,,,,2,synthetic:text-v11,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_text_fast_v11,,,"frame 7 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,P,,,,,3,synthetic:text-v11,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_text_fast_v11,,,"frame 7 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,P,,,,,1,synthetic:text-v11,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clip_text_fast_v11,,,"frame 7 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,-1,,,P,,,,,4,synthetic:text-v11,,,,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,2,2.0,0.0,B0a,0.0,53.32252178119467,53.32252178119467,1.0,0.0,synthetic:horizon-v0,0.9973579304891286,0.9973579304891286,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.9999999999999982,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,5,5.0,0.0,B0a,0.0,53.26220213349554,53.26220213349554,1.0,0.0,synthetic:horizon-v0,0.9973412971802956,0.9973412971802956,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.9999999999999982,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,8,8.0,0.0,B0a,0.0,53.28733013890411,53.28733013890411,1.0,0.0,synthetic:horizon-v0,0.997358749134685,0.997358749134685,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.9999999999999982,,
