authenticated,availability,channel,criterion,method,n_scenes,n_scheduled_instants,n_units,not_operable_because,operable_fraction,sd_over_scenes,sd_over_units,unit_of_independence
False,1.0,bursty,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B0a,20,1600,20,"{""below_criterion"": 1436}",0.1025,0.08955298343497699,0.08955298343497699,scene
False,1.0,bursty,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B0a-R,20,1600,20,"{""below_criterion"": 751}",0.530625,0.25541745370646607,0.25541745370646607,scene
False,0.880625,bursty,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B0d,20,1600,20,"{""below_criterion"": 759, ""no_sync"": 65, ""deadline_miss"": 46, ""capacity"": 80}",0.40625,0.12156463517946242,0.12156463517946242,scene
False,1.0,bursty,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B1,20,1600,20,"{""below_criterion"": 1448}",0.095,0.08999268976159296,0.08999268976159296,scene
False,1.0,bursty,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B2,20,1600,20,"{""below_criterion"": 1453}",0.091875,0.08906264427504475,0.08906264427504475,scene
True,0.6268749999999998,bursty,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B3,20,1600,20,"{""no_sync"": 168, ""deadline_miss"": 429}",0.6268749999999998,0.12053028392111777,0.12053028392111777,scene
True,0.8787500000000001,bursty,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B4,20,1600,20,"{""below_criterion"": 760, ""no_sync"": 66, ""deadline_miss"": 48, ""capacity"": 80}",0.40375000000000005,0.1189385622031281,0.1189385622031281,scene
True,0.93875,bursty,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B4t,20,1600,20,"{""below_criterion"": 490, ""no_sync"": 18, ""capacity"": 80}",0.6325,0.16996516670993747,0.16996516670993747,scene
True,0.898125,bursty,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),P,20,1600,20,"{""below_criterion"": 928, ""no_sync"": 3, ""capacity"": 160}",0.318125,0.1371391796871454,0.1371391796871454,scene
False,1.0,clean,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B0a,20,1600,20,{},1.0,0.0,0.0,scene
False,1.0,clean,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B0a-R,20,1600,20,{},1.0,0.0,0.0,scene
False,0.95,clean,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B0d,20,1600,20,"{""capacity"": 80}",0.95,0.22360679774997902,0.22360679774997902,scene
False,1.0,clean,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B1,20,1600,20,{},1.0,0.0,0.0,scene
False,1.0,clean,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B2,20,1600,20,{},1.0,0.0,0.0,scene
True,1.0,clean,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B3,20,1600,20,{},1.0,0.0,0.0,scene
True,0.95,clean,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B4,20,1600,20,"{""capacity"": 80}",0.95,0.22360679774997902,0.22360679774997902,scene
True,0.95,clean,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B4t,20,1600,20,"{""below_criterion"": 25, ""capacity"": 80}",0.934375,0.230733776586556,0.230733776586556,scene
True,0.9,clean,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),P,20,1600,20,"{""below_criterion"": 65, ""capacity"": 160}",0.859375,0.34524197749740076,0.34524197749740076,scene
