availability_B4,availability_B4t,availability_P,burst_len_lines,burst_rate_per_frame,d_P_B4,d_P_B4_hi,d_P_B4_lo,d_P_B4_n,d_P_B4_significant,d_P_B4t,d_P_B4t_hi,d_P_B4t_lo,d_P_B4t_n,d_P_B4t_significant,measured,operable_B4,operable_B4t,operable_P,psnr_B4,psnr_B4t,psnr_P
1.0,1.0,1.0,1,1.0,-3.6135,-3.1856,-3.9809,6,True,-1.6476,-1.0093,-2.2049,6,True,True,1.0,1.0,1.0,33.85508502268938,31.889197612335675,30.241559729020338
1.0,1.0,1.0,4,1.0,-3.6556,-3.2305,-3.9904,6,True,-1.6123,-1.0364,-2.1626,6,True,True,1.0,0.9907407407407408,0.9907407407407408,33.85508502268938,31.811827684687966,30.199534084921282
1.0,1.0,1.0,8,1.0,-3.7025,-3.3165,-4.073,6,True,-1.7787,-1.1538,-2.3287,6,True,True,0.9907407407407408,0.9907407407407408,0.9722222222222223,33.736979870035576,31.813168901400626,30.0344390102314
1.0,1.0,1.0,12,1.0,-3.6497,-2.9574,-4.3297,6,True,-1.7026,-0.8128,-2.5283,6,True,True,0.9907407407407408,0.9907407407407408,0.9444444444444445,33.64385408338681,31.696732362198077,29.994105281896065
0.9907407407407408,0.9907407407407408,1.0,16,1.0,-3.2868,-2.5608,-3.8522,6,True,-1.4123,-0.5308,-2.1433,6,True,True,0.9629629629629631,0.9629629629629631,0.9537037037037037,33.228112998476,31.353644995264787,29.94130540543844
1.0,1.0,1.0,20,1.0,-3.4827,-3.1107,-3.7918,6,True,-1.6144,-1.0019,-2.1617,6,True,True,0.9722222222222223,0.9722222222222223,0.9722222222222223,33.48014650498903,31.611885553077727,29.997475348066956
1.0,1.0,1.0,24,1.0,-3.4729,-2.4305,-4.1959,6,True,-1.5117,-0.2365,-2.4654,6,True,True,0.9629629629629631,0.9629629629629631,0.9351851851851851,33.34572164654137,31.384554085225968,29.872871429937444
1.0,1.0,1.0,28,1.0,-3.6447,-3.2272,-3.9628,6,True,-1.7461,-1.1498,-2.2548,6,True,True,0.9814814814814815,0.9814814814814815,0.9722222222222223,33.62041963911273,31.721847219484744,29.97570358012628
1.0,1.0,1.0,32,1.0,-3.3877,-2.9371,-3.8132,6,True,-1.7345,-1.1617,-2.1766,6,True,True,0.9444444444444443,0.9629629629629629,0.9537037037037037,33.21049262488676,31.55721946392971,29.82275086321859
1.0,1.0,1.0,40,1.0,-3.2357,-2.1154,-4.1613,6,True,-1.3915,-0.3608,-2.3546,6,True,True,0.9444444444444445,0.9537037037037037,0.8796296296296298,32.98208271548252,31.13794017652593,29.746406744371708
1.0,1.0,1.0,48,1.0,-3.001,-2.1622,-3.6463,6,True,-1.3328,-0.4135,-1.9997,6,True,True,0.9259259259259259,0.9444444444444445,0.898148148148148,32.89726092331292,31.229062655811788,29.896282867491305
0.9907407407407408,1.0,1.0,64,1.0,-2.3037,-1.2069,-3.0926,6,True,-1.6473,-1.1984,-2.0627,6,True,True,0.8703703703703703,0.9166666666666666,0.75,32.07949325096379,31.42314418138945,29.775838490133882
1.0,1.0,1.0,1,2.0,-3.6135,-3.1856,-3.9809,6,True,-1.6476,-1.0093,-2.2049,6,True,True,1.0,1.0,1.0,33.85508502268938,31.889197612335675,30.241559729020338
1.0,1.0,1.0,4,2.0,-3.6135,-3.1856,-3.9809,6,True,-1.6476,-1.0093,-2.2049,6,True,True,1.0,1.0,1.0,33.85508502268938,31.889197612335675,30.241559729020338
1.0,1.0,1.0,8,2.0,-3.4454,-2.8447,-3.947,6,True,-1.7913,-1.1677,-2.327,6,True,True,0.9537037037037038,0.9537037037037038,0.9351851851851852,33.16013467896474,31.505992727355913,29.714690292326395
1.0,1.0,1.0,12,2.0,-3.0545,-2.3128,-3.6658,6,True,-1.2357,-0.2578,-2.066,6,True,True,0.9074074074074074,0.9074074074074074,0.8796296296296297,32.559317074513245,30.740558515188415,29.504837100978943
1.0,1.0,1.0,16,2.0,-3.3671,-3.0017,-3.7001,6,True,-1.521,-0.9522,-2.0581,6,True,True,0.9351851851851851,0.9351851851851851,0.9166666666666665,32.92980428400019,31.08366124781942,29.56270581414547
1.0,1.0,1.0,20,2.0,-3.3706,-2.5763,-3.8815,6,True,-1.5222,-0.5705,-2.1369,6,True,True,0.9444444444444443,0.9444444444444443,0.9074074074074074,33.03148027003768,31.183048366244904,29.660859113511524
1.0,1.0,1.0,24,2.0,-2.7971,-1.3953,-3.8634,6,True,-1.0484,0.6942,-2.4137,6,False,True,0.8981481481481483,0.8981481481481483,0.861111111111111,32.33495297523752,30.58622775806649,29.537869509533692
1.0,1.0,1.0,28,2.0,-3.1367,-2.6477,-3.5129,6,True,-1.8712,-1.3687,-2.337,6,True,True,0.9166666666666666,0.9629629629629629,0.9074074074074074,32.921824266971825,31.656337398487803,29.785139709422452
1.0,1.0,1.0,32,2.0,-2.6653,-2.1683,-3.2002,6,True,-1.5429,-1.0669,-2.0185,6,True,True,0.8425925925925926,0.8796296296296297,0.7962962962962963,31.814393075617204,30.692024427510145,29.149108034144025
0.9814814814814815,0.9907407407407408,1.0,40,2.0,-2.1536,-1.2324,-3.02,6,True,-1.3112,-0.3865,-2.1725,6,True,True,0.8055555555555557,0.8703703703703703,0.7037037037037037,31.073713030818656,30.23132609743732,28.920099738629546
1.0,1.0,1.0,48,2.0,-1.8926,-0.2343,-3.1274,6,True,-1.6172,-1.1259,-2.0334,6,True,True,0.8333333333333334,0.9166666666666666,0.7129629629629629,31.44292554507869,31.167540939244063,29.550293522320512
0.9351851851851851,1.0,1.0,64,2.0,0.1255,1.6028,-1.6487,6,False,-0.9426,0.0266,-1.8796,6,False,True,0.6574074074074073,0.7777777777777778,0.3796296296296296,28.970028193961014,30.038088557905322,29.095533152462735
1.0,1.0,1.0,1,4.0,-3.6135,-3.1856,-3.9809,6,True,-1.6476,-1.0093,-2.2049,6,True,True,1.0,1.0,1.0,33.85508502268938,31.889197612335675,30.241559729020338
1.0,1.0,1.0,4,4.0,-3.4625,-2.7893,-3.9361,6,True,-1.4554,-0.6174,-2.1593,6,True,True,0.9722222222222223,0.9629629629629631,0.9537037037037037,33.434683620346384,31.427677469587653,29.972230247537425
1.0,1.0,1.0,8,4.0,-3.0387,-2.2842,-3.7196,6,True,-1.4253,-0.446,-2.2689,6,True,True,0.888888888888889,0.888888888888889,0.8611111111111112,32.02764548664454,30.414265689256467,28.98897105550532
0.9907407407407408,0.9907407407407408,1.0,12,4.0,-3.1614,-2.1391,-4.0273,6,True,-1.6444,-0.5148,-2.739,6,True,True,0.9074074074074074,0.9074074074074074,0.824074074074074,32.32195657075551,30.804911344044744,29.160545961889238
0.9814814814814815,0.9814814814814815,1.0,16,4.0,-3.5703,-3.2319,-3.9682,6,True,-1.6992,-1.1772,-2.2208,6,True,True,0.9259259259259259,0.9351851851851851,0.8888888888888888,32.848082392159625,30.97702602497216,29.27781207834474
1.0,1.0,1.0,20,4.0,-2.4013,-0.6414,-3.4713,6,True,-1.3923,0.1794,-2.3086,6,False,True,0.8425925925925926,0.8796296296296298,0.8055555555555555,31.46634291845756,30.45734004807176,29.06499986648373
0.9814814814814815,0.9907407407407408,1.0,24,4.0,-1.9513,-0.3833,-2.9799,6,True,-1.7791,-1.2052,-2.3455,6,True,True,0.7685185185185186,0.8703703703703706,0.6944444444444443,30.53588194406642,30.36373647671066,28.584606090775953
0.9814814814814815,0.9907407407407408,1.0,28,4.0,-1.3304,-0.3725,-2.276,6,True,-1.723,-0.8578,-2.5848,6,True,True,0.7407407407407408,0.8796296296296297,0.6296296296296298,30.219544908833967,30.61211514061183,28.889122051129977
0.9537037037037036,1.0,1.0,32,4.0,1.6512,3.6106,-0.305,6,False,-1.0981,0.1004,-2.1616,6,False,True,0.5648148148148148,0.8240740740740741,0.5092592592592592,27.48891482031792,30.238202803840053,29.14011828576727
0.9074074074074073,0.9907407407407408,1.0,40,4.0,3.6332,4.9884,1.9499,6,True,-1.0134,0.0985,-2.0955,6,False,True,0.39814814814814814,0.7222222222222222,0.25925925925925924,24.962411755228917,29.6090266266613,28.5956339936016
0.861111111111111,0.9814814814814815,1.0,48,4.0,5.0191,6.2694,3.821,6,True,1.1013,2.1704,0.0837,6,True,True,0.2962962962962963,0.537037037037037,0.25,23.038885840514194,26.956695591304594,28.057987451540697
0.6203703703703703,0.9351851851851851,0.9814814814814815,64,4.0,5.3144,6.6066,4.2477,6,True,0.9581,1.8557,-0.019,6,False,True,0.16666666666666666,0.3148148148148148,0.027777777777777776,20.458465692507243,24.814748891210186,25.772883015758826
1.0,1.0,1.0,1,8.0,-3.6715,-3.1742,-4.1152,6,True,-1.7544,-1.0449,-2.4192,6,True,True,0.9907407407407408,0.9907407407407408,0.9722222222222222,33.74162162732407,31.824503020919547,30.07014630904831
1.0,1.0,1.0,4,8.0,-3.4586,-3.0655,-3.8412,6,True,-1.701,-1.0851,-2.2332,6,True,True,0.9074074074074074,0.9074074074074074,0.861111111111111,32.668444175062675,30.91088848671069,29.20987219401866
0.9907407407407408,0.9907407407407408,0.9907407407407408,8,8.0,-2.6237,-0.8214,-3.6387,6,True,-1.818,-0.7079,-2.5923,6,True,True,0.8240740740740741,0.8425925925925926,0.7870370370370371,31.333371509071384,30.527676930365782,28.70968378545088
0.9907407407407408,0.9907407407407408,1.0,12,8.0,-1.5869,-0.9118,-2.1991,6,True,-1.6801,-0.9588,-2.1709,6,True,True,0.75,0.888888888888889,0.7314814814814814,30.433128564021928,30.526262760382778,28.846201946475148
0.9629629629629629,0.9814814814814815,1.0,16,8.0,0.9763,2.733,-0.415,6,False,-1.3144,0.1311,-2.3826,6,False,True,0.46296296296296297,0.7314814814814815,0.4259259259259259,26.709157259827265,28.999843063489465,27.685417150735276
0.7962962962962963,0.9537037037037037,1.0,20,8.0,3.8871,6.5993,1.7462,6,True,-0.873,-0.0972,-1.5897,6,True,True,0.25,0.5,0.2777777777777778,22.041728642170654,26.80184807364823,25.928828184156306
0.7222222222222222,0.9537037037037037,1.0,24,8.0,5.3121,6.455,4.0222,6,True,-0.3142,0.3843,-1.0114,6,False,True,0.20370370370370372,0.48148148148148145,0.19444444444444442,21.005754296881555,26.632130504554556,26.31789440853753
0.6018518518518517,0.8796296296296294,1.0,28,8.0,6.7933,8.5069,5.0661,6,True,1.0457,2.1436,0.0249,6,True,True,0.08333333333333333,0.32407407407407407,0.0462962962962963,18.86002378644502,24.607656426683196,25.653335013880668
0.4444444444444444,0.8055555555555555,0.9907407407407408,32,8.0,7.1989,9.3394,5.2453,6,True,1.8907,2.6008,1.2878,6,True,True,0.018518518518518517,0.20370370370370372,0.037037037037037035,16.993701081717546,22.301959297614406,24.192635413447487
0.2685185185185185,0.6944444444444443,0.9722222222222223,40,8.0,6.4331,7.056,5.6754,6,True,2.4359,3.1346,1.7996,6,True,True,0.009259259259259259,0.08333333333333333,0.009259259259259259,15.955814431256693,19.953012440703052,22.388898525026406
0.20370370370370372,0.5648148148148149,0.8888888888888888,48,8.0,4.5632,6.3643,2.7015,6,True,2.0567,3.5711,0.3826,6,True,True,0.0,0.027777777777777776,0.0,15.544386590136066,18.05092485748946,20.10758970838506
0.0925925925925926,0.3611111111111111,0.7037037037037037,64,8.0,3.5063,4.848,2.0728,6,True,1.9523,3.5846,0.32,6,True,True,0.0,0.0,0.0,15.12680699356688,16.680790919543043,18.63307900947942
